ID,Pheno,Accept
31,Sex,1
34,Year of birth,1
48,Waist circumference,1
49,Hip circumference,1
52,Month of birth,1
53,Date of attending assessment centre,1
77,"Heel bone ultrasound T-score, manual entry",
78,"Heel bone mineral density (BMD) T-score, automated",
84,Cancer year/age first occurred,
120,Birth weight known,1
191,Date lost to follow-up,
1200,Sleeplessness / insomnia,
1418,Milk type used,
1488,Tea intake,
1498,Coffee intake,
1508,Coffee type,
1528,Water intake,
1558,Alcohol intake frequency.,
1618,Alcohol usually taken with meals,
1628,Alcohol intake versus 10 years previously,
1677,Breastfed as a baby,
1737,Childhood sunburn occasions,
1777,Part of a multiple birth,
1787,Maternal smoking around birth,
1980,Worrier / anxious feelings,
2000,Worry too long after embarrassment,
2030,Guilty feelings,
2443,Diabetes diagnosed by doctor,1
2453,Cancer diagnosed by doctor,
2463,Fractured/broken bones in last 5 years,1
2644,"Light smokers, at least 100 smokes in lifetime",
2744,Birth weight of first child,
2976,Age diabetes diagnosed,
2986,Started insulin within one year diagnosis of diabetes,
3005,Fracture resulting from simple fall,
3062,Forced vital capacity (FVC),
3063,Forced expiratory volume in 1-second (FEV1),
3084,"Heel bone mineral density (BMD), manual entry",
3148,Heel bone mineral density (BMD),
3160,"Weight, manual entry",
3506,Smoking compared to 10 years previous,
3581,Age at menopause (last menstrual period),
3786,Age asthma diagnosed,
4041,Gestational diabetes only,
4105,Heel bone mineral density (BMD) (left),
4106,"Heel bone mineral density (BMD) T-score, automated (left)",
4124,Heel bone mineral density (BMD) (right),
4125,"Heel bone mineral density (BMD) T-score, automated (right)",
4138,"Heel bone mineral density (BMD) T-score, manual entry (left)",
4140,"Heel bone mineral density (BMD), manual entry (left)",
4143,"Heel bone mineral density (BMD) T-score, manual entry (right)",
4145,"Heel bone mineral density (BMD), manual entry (right)",
4581,Financial situation satisfaction,
4924,Attempted fluid intelligence (FI) test.,
4935,FI1 : numeric addition test,
4946,FI2 : identify largest number,
4957,FI3 : word interpolation,
4968,FI4 : positional arithmetic,
4979,FI5 : family relationship calculation,
4990,FI6 : conditional arithmetic,
5001,FI7 : synonym,
5012,FI8 : chained arithmetic,
5556,FI9 : concept interpolation,
5699,FI10 : arithmetic sequence recognition,
5779,FI11 : antonym,
5790,FI12 : square sequence recognition,
5866,FI13 : subset inclusion logic,
6151,Fractured bone site(s),
6152,"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor",
6153,"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones",
6154,"Medication for pain relief, constipation, heartburn",
6155,Vitamin and mineral supplements,
6157,Why stopped smoking,
6158,Why reduced smoking,
6162,Types of transport used (excluding work),
6177,"Medication for cholesterol, blood pressure or diabetes",
10007,Vitamin and mineral supplements (pilot),
10844,Gestational diabetes only (pilot),
10895,"Light smokers, at least 100 smokes in lifetime (pilot)",
12143,Weight (pre-imaging),
12144,Height,
20001,"Cancer code, self-reported",
20002,"Non-cancer illness code, self-reported",
20006,Interpolated Year when cancer first diagnosed,
20007,Interpolated Age of participant when cancer first diagnosed,
20008,Interpolated Year when non-cancer illness first diagnosed,
20009,Interpolated Age of participant when non-cancer illness first diagnosed,
20016,Fluid intelligence score,
20022,Birth weight,
20082,Duration of questionnaire,
20107,Illnesses of father,
20110,Illnesses of mother,
20111,Illnesses of siblings,
20112,Illnesses of adopted father,
20113,Illnesses of adopted mother,
20114,Illnesses of adopted siblings,
20116,Smoking status,
20117,Alcohol drinker status,
