ICD,condition
M111,Familial chondrocalcinosis
M1110,Familial chondrocalcinosis (Multiple sites)
M1111,Familial chondrocalcinosis (Shoulder region)
M1112,Familial chondrocalcinosis (Upper arm)
M1113,Familial chondrocalcinosis (Forearm)
M1114,Familial chondrocalcinosis (Hand)
M1115,Familial chondrocalcinosis (Pelvic region and thigh)
M1116,Familial chondrocalcinosis (Lower leg)
M1117,Familial chondrocalcinosis (Ankle and foot)
M1118,Familial chondrocalcinosis (Other)
M1119,Familial chondrocalcinosis (Site unspecified)
M112,Other chondrocalcinosis
M1120,Other chondrocalcinosis (Multiple sites)
M1121,Other chondrocalcinosis (Shoulder region)
M1122,Other chondrocalcinosis (Upper arm)
M1123,Other chondrocalcinosis (Forearm)
M1124,Other chondrocalcinosis (Hand)
M1125,Other chondrocalcinosis (Pelvic region and thigh)
M1126,Other chondrocalcinosis (Lower leg)
M1127,Other chondrocalcinosis (Ankle and foot)
M1128,Other chondrocalcinosis (Other)
M1129,Other chondrocalcinosis (Site unspecified)
M118,Other specified crystal arthropathies
M1180,Other specified crystal arthropathies (Multiple sites)
M1181,Other specified crystal arthropathies (Shoulder region)
M1182,Other specified crystal arthropathies (Upper arm)
M1183,Other specified crystal arthropathies (Forearm)
M1184,Other specified crystal arthropathies (Hand)
M1185,Other specified crystal arthropathies (Pelvic region and thigh)
M1186,Other specified crystal arthropathies (Lower leg)
M1187,Other specified crystal arthropathies (Ankle and foot)
M1188,Other specified crystal arthropathies (Other)
M1189,Other specified crystal arthropathies (Site unspecified)
M119,"Crystal arthropathy, unspecified"
M1190,"Crystal arthropathy, unspecified (Multiple sites)"
M1191,"Crystal arthropathy, unspecified (Shoulder region)"
M1192,"Crystal arthropathy, unspecified (Upper arm)"
M1193,"Crystal arthropathy, unspecified (Forearm)"
M1194,"Crystal arthropathy, unspecified (Hand)"
M1195,"Crystal arthropathy, unspecified (Pelvic region and thigh)"
M1196,"Crystal arthropathy, unspecified (Lower leg)"
M1197,"Crystal arthropathy, unspecified (Ankle and foot)"
M1198,"Crystal arthropathy, unspecified (Other)"
M1199,"Crystal arthropathy, unspecified (Site unspecified)"
M13,Other arthritis
M130,"Polyarthritis, unspecified"
M1300,"Polyarthritis, unspecified (Multiple sites)"
M1305,"Polyarthritis, unspecified (Pelvic region and thigh)"
M1306,"Polyarthritis, unspecified (Lower leg)"
M1309,"Polyarthritis, unspecified (Site unspecified)"
M131,"Monoarthritis, not elsewhere classified"
M1310,"Monoarthritis, not elsewhere classified (Multiple sites)"
M1314,"Monoarthritis, not elsewhere classified (Hand)"
M1315,"Monoarthritis, not elsewhere classified (Pelvic region and thigh)"
M1316,"Monoarthritis, not elsewhere classified (Lower leg)"
M1319,"Monoarthritis, not elsewhere classified (Site unspecified)"
M138,Other specified arthritis
M1380,Other specified arthritis (Multiple sites)
M1384,Other specified arthritis (Hand)
M1385,Other specified arthritis (Pelvic region and thigh)
M1386,Other specified arthritis (Lower leg)
M1389,Other specified arthritis (Site unspecified)
M139,"Arthritis, unspecified"
M1390,"Arthritis, unspecified (Multiple sites)"
M1394,"Arthritis, unspecified (Hand)"
M1395,"Arthritis, unspecified (Pelvic region and thigh)"
M1396,"Arthritis, unspecified (Lower leg)"
M1399,"Arthritis, unspecified (Site unspecified)"
M15,Polyarthrosis
M150,Primary generalised (osteo)arthrosis
M151,Heberden's nodes (with arthropathy)
M152,Bouchard's nodes (with arthropathy)
M153,Secondary multiple arthrosis
M154,Erosive (osteo)arthrosis
M158,Other polyarthrosis
M159,"Polyarthrosis, unspecified"
M1599,"Polyosteoarthritis, unspecified"
M16,Coxarthrosis [arthrosis of hip]
M160,"Primary coxarthrosis, bilateral"
M161,Other primary coxarthrosis
M162,"Coxarthrosis resulting from dysplasia, bilateral"
M163,Other dysplastic coxarthrosis
M164,"Posttraumatic coxarthrosis, bilateral"
M165,Other posttraumatic coxarthrosis
M166,"Other secondary coxarthrosis, bilateral"
M167,Other secondary coxarthrosis
M169,"Coxarthrosis, unspecified"
M17,Gonarthrosis [arthrosis of knee]
M170,"Primary gonarthrosis, bilateral"
M171,Other primary gonarthrosis
M172,"Posttraumatic gonarthrosis, bilateral"
M173,Other posttraumatic gonarthrosis
M174,"Other secondary gonarthrosis, bilateral"
M175,Other secondary gonarthrosis
M179,"Gonarthrosis, unspecified"
M18,Arthrosis of first carpometacarpal joint
M180,"Primary arthrosis of first carpometacarpal joints, bilateral"
M181,Other primary arthrosis of first carpometacarpal joint
M182,"Posttraumatic arthrosis of first carpometacarpal joints, bilateral"
M183,Other posttraumatic arthrosis of first carpometacarpal joint
M184,"Other secondary arthrosis of first carpometacarpal joints, bilateral"
M185,Other secondary arthrosis of first carpometacarpal joint
M189,"Arthrosis of first carpometacarpal joint, unspecified"
M19,Other arthrosis
M190,Primary arthrosis of other joints
M1900,Primary arthrosis of other joints (Multiple sites)
M1901,Primary arthrosis of other joints (Shoulder region)
M1902,Primary arthrosis of other joints (Upper arm)
M1903,Primary arthrosis of other joints (Forearm)
M1904,Primary arthrosis of other joints (Hand)
M1905,Primary arthrosis of other joints (Pelvic region and thigh)
M1906,Primary arthrosis of other joints-Lower leg
M1907,Primary arthrosis of other joints (Ankle and foot)
M1908,Primary arthrosis of other joints (Other)
M1909,Primary arthrosis of other joints (Site unspecified)
M191,Posttraumatic arthrosis of other joints
M1910,Post-traumatic arthrosis of other joints (Multiple sites)
M1911,Post-traumatic arthrosis of other joints (Shoulder region)
M1912,Post-traumatic arthrosis of other joints (Upper arm)
M1913,Post-traumatic arthrosis of other joints (Forearm)
M1914,Post-traumatic arthrosis of other joints (Hand)
M1915,Post-traumatic arthrosis of other joints (Pelvic region and thigh)
M1916,Post-traumatic arthrosis of other joints-Lower leg
M1917,Post-traumatic arthrosis of other joints (Ankle and foot)
M1918,Post-traumatic arthrosis of other joints (Other)
M1919,Post-traumatic arthrosis of other joints (Site unspecified)
M192,Other secondary arthrosis
M1920,Other secondary arthrosis (Multiple sites)
M1921,Other secondary arthrosis (Shoulder region)
M1922,Other secondary arthrosis (Upper arm)
M1923,Other secondary arthrosis (Forearm)
M1924,Other secondary arthrosis (Hand)
M1925,Other secondary arthrosis (Pelvic region and thigh)
M1926,Other secondary arthrosis of other joints-Lower leg
M1927,Other secondary arthrosis (Ankle and foot)
M1928,Other secondary arthrosis (Other)
M1929,Other secondary arthrosis (Site unspecified)
M198,Other specified arthrosis
M1980,Other specified arthrosis (Multiple sites)
M1981,Other specified arthrosis (Shoulder region)
M1982,Other specified arthrosis (Upper arm)
M1983,Other specified arthrosis (Forearm)
M1984,Other specified arthrosis (Hand)
M1985,Other specified arthrosis (Pelvic region and thigh)
M1986,Other specified arthrosis (Lower leg)
M1987,Other specified arthrosis (Ankle and foot)
M1988,Other specified arthrosis (Other)
M1989,Other specified arthrosis (Site unspecified)
M199,"Arthrosis, unspecified"
M1990,"Arthrosis, unspecified (Multiple sites)"
M1991,"Arthrosis, unspecified (Shoulder region)"
M1992,"Arthrosis, unspecified (Upper arm)"
M1993,"Arthrosis, unspecified (Forearm)"
M1994,"Arthrosis, unspecified (Hand)"
M1995 ,"Arthrosis, unspecified (Pelvic region and thigh)"
M1996,"Arthrosis, unspecified-Lower leg"
M1997,"Arthrosis, unspecified (Ankle and foot)"
M1998,"Arthrosis, unspecified (Other)"
M1999,"Arthrosis, unspecified (Site unspecified)"
M20,Acquired deformities of fingers and toes
M200,Deformity of finger(s)
M21,Other acquired deformities of limbs
M210,"Valgus deformity, not elsewhere classified"
M2100,"Valgus deformity, not elsewhere classified (Multiple sites)"
M2105,"Valgus deformity, not elsewhere classified (Pelvic region and thigh)"
M2106,"Valgus deformity, not elsewhere classified (Lower leg)"
M2109,"Valgus deformity, not elsewhere classified (Site unspecified)"
M211,"Varus deformity, not elsewhere classified"
M2110,"Varus deformity, not elsewhere classified (Multiple sites)"
M2115,"Varus deformity, not elsewhere classified (Pelvic region and thigh)"
M2116,"Varus deformity, not elsewhere classified (Lower leg)"
