,Cases
0,1000153
1,1000203
2,1000255
3,1000362
4,1000439
5,1000482
6,1000527
7,1000638
8,1000656
9,1000734
10,1000844
11,1000875
12,1001013
13,1001028
14,1001045
15,1001052
16,1001076
17,1001302
18,1001349
19,1001406
20,1001515
21,1001594
22,1001687
23,1001700
24,1001758
25,1001809
26,1001856
27,1001860
28,1001883
29,1001897
30,1001937
31,1002227
32,1002322
33,1002335
34,1002572
35,1002615
36,1002621
37,1002806
38,1002871
39,1002989
40,1002993
41,1003074
42,1003097
43,1003143
44,1003258
45,1003293
46,1003347
47,1003462
48,1003537
49,1003541
50,1003628
51,1003667
52,1003710
53,1003787
54,1003819
55,1003822
56,1003854
57,1003878
58,1003995
59,1004098
60,1004122
61,1004154
62,1004163
63,1004190
64,1004223
65,1004262
66,1004461
67,1004616
68,1004651
69,1004695
70,1004706
71,1004714
72,1004952
73,1004967
74,1004980
75,1005092
76,1005205
77,1005309
78,1005413
79,1005499
80,1005544
81,1005575
82,1005604
83,1005623
84,1005708
85,1005830
86,1005919
87,1005946
88,1005978
89,1006043
90,1006174
91,1006233
92,1006259
93,1006292
94,1006612
95,1006664
96,1006670
97,1006751
98,1006784
99,1006818
100,1006910
101,1006991
102,1007000
103,1007058
104,1007061
105,1007168
106,1007201
107,1007321
108,1007453
109,1007464
110,1007622
111,1007690
112,1007760
113,1007783
114,1007836
115,1007848
116,1007918
117,1007957
118,1008208
119,1008277
120,1008328
121,1008345
122,1008352
123,1008380
124,1008487
125,1008938
126,1008942
127,1008956
128,1008960
129,1008974
130,1009003
131,1009188
132,1009209
133,1009305
134,1009312
135,1009364
136,1009430
137,1009468
138,1009473
139,1009484
140,1009495
141,1009845
142,1009876
143,1009939
144,1010044
145,1010149
146,1010151
147,1010173
148,1010234
149,1010245
150,1010267
151,1010280
152,1010321
153,1010350
154,1010514
155,1010619
156,1010622
157,1010836
158,1010940
159,1011042
160,1011060
161,1011083
162,1011108
163,1011177
164,1011244
165,1011359
166,1011485
167,1011553
168,1011586
169,1011634
170,1011652
171,1011667
172,1011676
173,1011710
174,1011854
175,1011916
176,1012015
177,1012039
178,1012111
179,1012271
180,1012358
181,1012435
182,1012862
183,1012936
184,1012991
185,1013035
186,1013063
187,1013203
188,1013269
189,1013318
190,1013421
191,1013752
192,1013767
193,1013780
194,1013826
195,1013914
196,1013959
197,1013971
198,1014158
199,1014243
200,1014294
201,1014328
202,1014491
203,1014704
204,1014723
205,1015023
206,1015031
207,1015096
208,1015273
209,1015295
210,1015319
211,1015524
212,1015548
213,1015650
214,1015798
215,1015806
216,1015892
217,1015975
218,1016178
219,1016181
220,1016417
221,1016630
222,1016673
223,1016684
224,1016808
225,1016882
226,1016976
227,1017048
228,1017312
229,1017329
230,1017337
231,1017353
232,1017531
233,1017658
234,1017693
235,1017867
236,1017939
237,1017950
238,1018014
239,1018065
240,1018191
241,1018270
242,1018480
243,1018544
244,1018575
245,1018919
246,1019104
247,1019219
248,1019235
249,1019281
250,1019349
251,1019351
252,1019406
253,1019447
254,1019539
255,1019594
256,1019603
257,1019700
258,1019732
259,1019744
260,1019793
261,1019937
262,1019964
263,1019986
264,1020002
265,1020030
266,1020051
267,1020410
268,1020519
269,1020581
270,1020692
271,1020723
272,1020841
273,1020960
274,1020983
275,1021031
276,1021040
277,1021145
278,1021167
279,1021176
280,1021180
281,1021268
282,1021381
283,1021442
284,1021456
285,1021474
286,1021650
287,1021666
288,1021694
289,1021729
290,1021737
291,1021958
292,1022196
293,1022222
294,1022302
295,1022327
296,1022349
297,1022414
298,1022508
299,1022566
300,1022603
301,1022775
302,1022809
303,1022825
304,1022842
305,1022874
306,1022964
307,1023229
308,1023397
309,1023544
310,1023604
311,1023662
312,1023782
313,1023895
314,1023963
315,1024032
316,1024058
317,1024089
318,1024151
319,1024213
320,1024429
321,1024547
322,1024565
323,1024681
324,1024725
325,1024783
326,1024940
327,1024957
328,1024996
329,1025083
330,1025232
331,1025496
332,1025541
333,1025586
334,1025676
335,1025822
336,1025854
337,1026010
338,1026147
339,1026209
340,1026312
341,1026451
342,1026484
343,1026596
344,1026661
345,1026754
346,1026763
347,1026778
348,1026834
349,1026845
350,1026921
351,1027037
352,1027064
353,1027070
354,1027119
355,1027204
356,1027296
357,1027387
358,1027444
359,1027583
360,1027684
361,1027765
362,1027815
363,1027850
364,1027882
365,1028019
366,1028153
367,1028186
368,1028291
369,1028408
370,1028450
371,1028494
372,1028516
373,1028611
374,1028625
375,1028889
376,1028906
377,1029109
378,1029138
379,1029160
380,1029206
381,1029233
382,1029332
383,1029375
384,1029446
385,1029629
386,1029653
387,1029686
388,1029857
389,1030148
390,1030169
391,1030309
392,1030532
393,1030640
394,1030679
395,1030802
396,1030873
397,1030954
398,1030990
399,1031109
400,1031358
401,1031419
402,1031446
403,1031463
404,1031528
405,1031545
406,1031795
407,1031804
408,1031948
409,1032025
410,1032074
411,1032108
412,1032115
413,1032143
414,1032177
415,1032217
416,1032293
417,1032333
418,1032431
419,1032457
420,1032541
421,1032628
422,1032634
423,1032699
424,1032822
425,1032846
426,1032878
427,1032995
428,1033031
429,1033057
430,1033113
431,1033216
432,1033249
433,1033295
434,1033354
435,1033442
436,1033497
437,1033615
438,1033677
439,1033958
440,1033961
441,1034106
442,1034165
443,1034260
444,1034297
445,1034398
446,1034402
447,1034473
448,1034484
449,1034722
450,1034790
451,1034813
452,1034899
453,1034908
454,1034950
455,1035153
456,1035450
457,1035466
458,1035482
459,1035595
460,1035625
461,1035683
462,1035745
463,1035767
464,1035800
465,1035889
466,1035914
467,1036001
468,1036052
469,1036080
470,1036099
471,1036219
472,1036246
473,1036316
474,1036447
475,1036459
476,1036465
477,1036471
478,1036543
479,1036582
480,1036594
481,1036603
482,1036624
483,1036691
484,1036842
485,1036874
486,1037030
487,1037049
488,1037051
489,1037073
490,1037117
491,1037126
492,1037158
493,1037189
494,1037193
495,1037208
496,1037215
497,1037239
498,1037266
499,1037282
500,1037345
501,1037455
502,1037491
503,1037581
504,1037812
505,1037837
506,1037974
507,1038017
508,1038032
509,1038075
510,1038149
511,1038173
512,1038486
513,1038738
514,1038824
515,1038855
516,1038887
517,1038891
518,1038918
519,1038996
520,1039163
521,1039178
522,1039231
523,1039285
524,1039324
525,1039372
526,1039417
527,1039850
528,1039882
529,1039928
530,1039934
531,1040056
532,1040143
533,1040404
534,1040485
535,1040512
536,1040586
537,1040787
538,1040863
539,1040930
540,1040973
541,1041165
542,1041225
543,1041274
544,1041297
545,1041312
546,1041364
547,1041370
548,1041449
549,1041473
550,1041523
551,1041632
552,1041763
553,1041921
554,1042047
555,1042237
556,1042253
557,1042383
558,1042401
559,1042452
560,1042476
561,1042589
562,1042794
563,1042946
564,1043001
565,1043028
566,1043104
567,1043118
568,1043123
569,1043207
570,1043235
571,1043278
572,1043465
573,1043539
574,1043543
575,1043648
576,1043744
577,1043758
578,1043897
579,1044111
580,1044138
581,1044300
582,1044317
583,1044326
584,1044446
585,1044513
586,1044580
587,1044599
588,1044670
589,1044716
590,1044749
591,1044924
592,1044936
593,1044987
594,1045030
595,1045117
596,1045144
597,1045250
598,1045345
599,1045399
600,1045448
601,1045864
602,1045911
603,1045938
604,1045974
605,1046230
606,1046295
607,1046390
608,1046438
609,1046442
610,1046705
611,1046712
612,1046753
613,1046764
614,1046900
615,1046926
616,1046944
617,1046975
618,1046993
619,1047022
620,1047248
621,1047357
622,1047379
623,1047421
624,1047502
625,1047530
626,1047549
627,1047660
628,1047713
629,1047914
630,1048037
631,1048122
632,1048262
633,1048355
634,1048387
635,1048458
636,1048509
637,1048597
638,1048706
639,1048759
640,1048815
641,1048839
642,1048999
643,1049000
644,1049184
645,1049280
646,1049394
647,1049429
648,1049470
649,1049619
650,1049663
651,1049690
652,1049709
653,1049923
654,1049985
655,1049996
656,1050099
657,1050179
658,1050196
659,1050219
660,1050316
661,1050351
662,1050433
663,1050488
664,1050508
665,1050687
666,1050793
667,1050860
668,1050929
669,1051044
670,1051061
671,1051075
672,1051093
673,1051102
674,1051116
675,1051195
676,1051308
677,1051437
678,1051441
679,1051464
680,1051607
681,1051654
682,1051663
683,1051678
684,1051742
685,1051756
686,1051931
687,1051957
688,1051985
689,1052027
690,1052282
691,1052380
692,1052472
693,1052546
694,1052590
695,1052731
696,1052812
697,1052853
698,1053192
699,1053238
700,1053242
701,1053274
702,1053386
703,1053531
704,1053707
705,1053876
706,1054023
707,1054040
708,1054096
709,1054128
710,1054167
711,1054284
712,1054381
713,1054524
714,1054639
715,1054764
716,1054833
717,1055262
718,1055279
719,1055391
720,1055432
721,1055574
722,1055583
723,1055649
724,1055684
725,1055815
726,1055850
727,1055980
728,1056020
729,1056124
730,1056155
731,1056229
732,1056253
733,1056428
734,1056467
735,1056593
736,1056721
737,1056827
738,1056954
739,1057011
740,1057042
741,1057261
742,1057306
743,1057314
744,1057365
745,1057553
