feature,mean_importance
feature_2483,-0.01528197641056379
feature_6726,-0.007465189727748456
feature_3256,-0.00658078779491964
feature_8650,-0.0010625875883396364
feature_5787,0.0
feature_5788,0.0
feature_5789,0.0
feature_5790,0.0
feature_5791,0.0
feature_5793,0.0
feature_5786,0.0
feature_5794,0.0
feature_5795,0.0
feature_5796,0.0
feature_5797,0.0
feature_5792,0.0
feature_5785,0.0
feature_5784,0.0
feature_5783,0.0
feature_5782,0.0
feature_5781,0.0
feature_5780,0.0
feature_5779,0.0
feature_5778,0.0
feature_5777,0.0
feature_5776,0.0
feature_5775,0.0
feature_5774,0.0
feature_5773,0.0
feature_5772,0.0
feature_5771,0.0
feature_5770,0.0
feature_5798,0.0
feature_5769,0.0
feature_5799,0.0
feature_5801,0.0
feature_5832,0.0
feature_5831,0.0
feature_5830,0.0
feature_5829,0.0
feature_5828,0.0
feature_5827,0.0
feature_5826,0.0
feature_5825,0.0
feature_5824,0.0
feature_5823,0.0
feature_5822,0.0
feature_5821,0.0
feature_5820,0.0
feature_5819,0.0
feature_5818,0.0
feature_5817,0.0
feature_5816,0.0
feature_5802,0.0
feature_5803,0.0
feature_5804,0.0
feature_5805,0.0
feature_5806,0.0
feature_5807,0.0
feature_5800,0.0
feature_5808,0.0
feature_5810,0.0
feature_5811,0.0
feature_5812,0.0
feature_5813,0.0
feature_5814,0.0
feature_5815,0.0
feature_5809,0.0
feature_5768,0.0
feature_1,0.0
feature_5833,0.0
feature_5731,0.0
feature_5730,0.0
feature_5729,0.0
feature_5728,0.0
feature_5727,0.0
feature_5726,0.0
feature_5725,0.0
feature_5724,0.0
feature_5723,0.0
feature_5722,0.0
feature_5721,0.0
feature_5720,0.0
feature_5719,0.0
feature_5718,0.0
feature_5732,0.0
feature_5717,0.0
feature_5715,0.0
feature_5714,0.0
feature_5713,0.0
feature_5712,0.0
feature_5711,0.0
feature_5710,0.0
feature_5709,0.0
feature_5708,0.0
feature_5707,0.0
feature_5706,0.0
feature_5705,0.0
feature_5704,0.0
feature_5703,0.0
feature_5702,0.0
feature_5716,0.0
feature_5767,0.0
feature_5733,0.0
feature_5735,0.0
feature_5765,0.0
feature_5764,0.0
feature_5763,0.0
feature_5762,0.0
feature_5761,0.0
feature_5760,0.0
feature_5759,0.0
feature_5758,0.0
feature_5757,0.0
feature_5756,0.0
feature_5755,0.0
feature_5754,0.0
feature_5753,0.0
feature_5752,0.0
feature_5734,0.0
feature_5751,0.0
feature_5749,0.0
feature_5748,0.0
feature_5747,0.0
feature_5746,0.0
feature_5745,0.0
feature_5744,0.0
feature_5743,0.0
feature_5742,0.0
feature_5741,0.0
feature_5740,0.0
feature_5739,0.0
feature_5738,0.0
feature_5737,0.0
feature_5736,0.0
feature_5750,0.0
feature_5766,0.0
feature_5834,0.0
feature_5836,0.0
feature_5934,0.0
feature_5933,0.0
feature_5932,0.0
feature_5931,0.0
feature_5930,0.0
feature_5929,0.0
feature_5928,0.0
feature_5927,0.0
feature_5926,0.0
feature_5925,0.0
feature_5924,0.0
feature_5923,0.0
feature_5922,0.0
feature_5921,0.0
feature_5935,0.0
feature_5920,0.0
feature_5918,0.0
feature_5917,0.0
feature_5916,0.0
feature_5915,0.0
feature_5914,0.0
feature_5913,0.0
feature_5912,0.0
feature_5911,0.0
feature_5910,0.0
feature_5909,0.0
feature_5908,0.0
feature_5907,0.0
feature_5906,0.0
feature_5905,0.0
feature_5919,0.0
feature_5904,0.0
feature_5936,0.0
feature_5938,0.0
feature_5968,0.0
feature_5967,0.0
feature_5966,0.0
feature_5965,0.0
feature_5964,0.0
feature_5963,0.0
feature_5962,0.0
feature_5961,0.0
feature_5960,0.0
feature_5959,0.0
feature_5958,0.0
feature_5957,0.0
feature_5956,0.0
feature_5955,0.0
feature_5937,0.0
feature_5954,0.0
feature_5952,0.0
feature_5951,0.0
feature_5950,0.0
feature_5949,0.0
feature_5948,0.0
feature_5947,0.0
feature_5946,0.0
feature_5945,0.0
feature_5944,0.0
feature_5943,0.0
feature_5942,0.0
feature_5941,0.0
feature_5940,0.0
feature_5939,0.0
feature_5953,0.0
feature_5835,0.0
feature_5903,0.0
feature_5901,0.0
feature_5866,0.0
feature_5865,0.0
feature_5864,0.0
feature_5863,0.0
feature_5862,0.0
feature_5861,0.0
feature_5860,0.0
feature_5859,0.0
feature_5858,0.0
feature_5857,0.0
feature_5856,0.0
feature_5855,0.0
feature_5854,0.0
feature_5853,0.0
feature_5867,0.0
feature_5852,0.0
feature_5850,0.0
feature_5849,0.0
feature_5848,0.0
feature_5847,0.0
feature_5846,0.0
feature_5845,0.0
feature_5844,0.0
feature_5843,0.0
feature_5842,0.0
feature_5841,0.0
feature_5840,0.0
feature_5839,0.0
feature_5838,0.0
feature_5837,0.0
feature_5851,0.0
feature_5902,0.0
feature_5868,0.0
feature_5870,0.0
feature_5900,0.0
feature_5899,0.0
feature_5898,0.0
feature_5897,0.0
feature_5896,0.0
feature_5895,0.0
feature_5894,0.0
feature_5893,0.0
feature_5892,0.0
feature_5891,0.0
feature_5890,0.0
feature_5889,0.0
feature_5888,0.0
feature_5887,0.0
feature_5869,0.0
feature_5886,0.0
feature_5884,0.0
feature_5883,0.0
feature_5882,0.0
feature_5881,0.0
feature_5880,0.0
feature_5879,0.0
feature_5878,0.0
feature_5877,0.0
feature_5876,0.0
feature_5875,0.0
feature_5874,0.0
feature_5873,0.0
feature_5872,0.0
feature_5871,0.0
feature_5885,0.0
feature_5701,0.0
feature_5699,0.0
feature_5698,0.0
feature_5527,0.0
feature_5526,0.0
feature_5525,0.0
feature_5524,0.0
feature_5523,0.0
feature_5522,0.0
feature_5521,0.0
feature_5520,0.0
feature_5519,0.0
feature_5518,0.0
feature_5517,0.0
feature_5516,0.0
feature_5515,0.0
feature_5514,0.0
feature_5513,0.0
feature_5512,0.0
feature_5511,0.0
feature_5510,0.0
feature_5509,0.0
feature_5508,0.0
feature_5507,0.0
feature_5506,0.0
feature_5505,0.0
feature_5504,0.0
feature_5503,0.0
feature_5502,0.0
feature_5501,0.0
feature_5500,0.0
feature_5499,0.0
feature_5528,0.0
feature_5529,0.0
feature_5530,0.0
feature_5531,0.0
feature_5561,0.0
feature_5560,0.0
feature_5559,0.0
feature_5558,0.0
feature_5557,0.0
feature_5556,0.0
feature_5555,0.0
feature_5554,0.0
feature_5553,0.0
feature_5552,0.0
feature_5551,0.0
feature_5550,0.0
feature_5549,0.0
feature_5548,0.0
feature_5498,0.0
feature_5547,0.0
feature_5545,0.0
feature_5544,0.0
feature_5543,0.0
feature_5542,0.0
feature_5541,0.0
feature_5540,0.0
feature_5539,0.0
feature_5538,0.0
feature_5537,0.0
feature_5536,0.0
feature_5535,0.0
feature_5534,0.0
feature_5533,0.0
feature_5532,0.0
feature_5546,0.0
feature_5497,0.0
feature_5496,0.0
feature_5495,0.0
feature_5460,0.0
feature_5459,0.0
feature_5458,0.0
feature_5457,0.0
feature_5456,0.0
feature_5455,0.0
feature_5454,0.0
feature_5453,0.0
feature_5452,0.0
feature_5451,0.0
feature_5450,0.0
feature_5449,0.0
feature_5448,0.0
feature_5447,0.0
feature_5461,0.0
feature_5446,0.0
feature_5444,0.0
feature_5443,0.0
feature_5442,0.0
feature_5441,0.0
feature_5440,0.0
feature_5439,0.0
feature_5438,0.0
feature_5437,0.0
feature_5436,0.0
feature_5435,0.0
feature_5434,0.0
feature_5433,0.0
feature_5432,0.0
feature_5431,0.0
feature_5445,0.0
feature_5562,0.0
feature_5462,0.0
feature_5464,0.0
feature_5494,0.0
feature_5493,0.0
feature_5492,0.0
feature_5491,0.0
feature_5490,0.0
feature_5489,0.0
feature_5488,0.0
feature_5487,0.0
feature_5486,0.0
feature_5485,0.0
feature_5484,0.0
feature_5483,0.0
feature_5482,0.0
feature_5481,0.0
feature_5463,0.0
feature_5480,0.0
feature_5478,0.0
feature_5477,0.0
feature_5476,0.0
feature_5475,0.0
feature_5474,0.0
feature_5473,0.0
feature_5472,0.0
feature_5471,0.0
feature_5470,0.0
feature_5469,0.0
feature_5468,0.0
feature_5467,0.0
feature_5466,0.0
feature_5465,0.0
feature_5479,0.0
feature_5563,0.0
feature_5564,0.0
feature_5565,0.0
feature_5663,0.0
feature_5662,0.0
feature_5661,0.0
feature_5660,0.0
feature_5659,0.0
feature_5658,0.0
feature_5657,0.0
feature_5656,0.0
feature_5655,0.0
feature_5654,0.0
feature_5653,0.0
feature_5652,0.0
feature_5651,0.0
feature_5650,0.0
feature_5664,0.0
feature_5649,0.0
feature_5647,0.0
feature_5646,0.0
feature_5645,0.0
feature_5644,0.0
feature_5643,0.0
feature_5642,0.0
feature_5641,0.0
feature_5640,0.0
feature_5639,0.0
feature_5638,0.0
feature_5637,0.0
feature_5636,0.0
feature_5635,0.0
feature_5634,0.0
feature_5648,0.0
feature_5633,0.0
feature_5665,0.0
feature_5667,0.0
feature_5697,0.0
feature_5696,0.0
feature_5695,0.0
feature_5694,0.0
feature_5693,0.0
feature_5692,0.0
feature_5691,0.0
feature_5690,0.0
feature_5689,0.0
feature_5688,0.0
feature_5687,0.0
feature_5686,0.0
feature_5685,0.0
feature_5684,0.0
feature_5666,0.0
feature_5683,0.0
feature_5681,0.0
feature_5680,0.0
feature_5679,0.0
feature_5678,0.0
feature_5677,0.0
feature_5676,0.0
feature_5675,0.0
feature_5674,0.0
feature_5673,0.0
feature_5672,0.0
feature_5671,0.0
feature_5670,0.0
feature_5669,0.0
feature_5668,0.0
feature_5682,0.0
feature_5700,0.0
feature_5632,0.0
feature_5630,0.0
feature_5595,0.0
feature_5594,0.0
feature_5593,0.0
feature_5592,0.0
feature_5591,0.0
feature_5590,0.0
feature_5589,0.0
feature_5588,0.0
feature_5587,0.0
feature_5586,0.0
feature_5585,0.0
feature_5584,0.0
feature_5583,0.0
feature_5582,0.0
feature_5596,0.0
feature_5581,0.0
feature_5579,0.0
feature_5578,0.0
feature_5577,0.0
feature_5576,0.0
feature_5575,0.0
feature_5574,0.0
feature_5573,0.0
feature_5572,0.0
feature_5571,0.0
feature_5570,0.0
feature_5569,0.0
feature_5568,0.0
feature_5567,0.0
feature_5566,0.0
feature_5580,0.0
feature_5631,0.0
feature_5597,0.0
feature_5599,0.0
feature_5629,0.0
feature_5628,0.0
feature_5627,0.0
feature_5626,0.0
feature_5625,0.0
feature_5624,0.0
feature_5623,0.0
feature_5622,0.0
feature_5621,0.0
feature_5620,0.0
feature_5619,0.0
feature_5618,0.0
feature_5617,0.0
feature_5616,0.0
feature_5598,0.0
feature_5615,0.0
feature_5613,0.0
feature_5612,0.0
feature_5611,0.0
feature_5610,0.0
feature_5609,0.0
feature_5608,0.0
feature_5607,0.0
feature_5606,0.0
feature_5605,0.0
feature_5604,0.0
feature_5603,0.0
feature_5602,0.0
feature_5601,0.0
feature_5600,0.0
feature_5614,0.0
feature_5969,0.0
feature_5972,0.0
feature_5971,0.0
feature_6341,0.0
feature_6340,0.0
feature_6339,0.0
feature_6338,0.0
feature_6337,0.0
feature_6336,0.0
feature_6335,0.0
feature_6334,0.0
feature_6333,0.0
feature_6332,0.0
feature_6331,0.0
feature_6330,0.0
feature_6329,0.0
feature_6328,0.0
feature_6327,0.0
feature_6326,0.0
feature_6325,0.0
feature_6324,0.0
feature_6323,0.0
feature_6322,0.0
feature_6321,0.0
feature_6320,0.0
feature_6319,0.0
feature_6318,0.0
feature_6317,0.0
feature_6316,0.0
feature_6315,0.0
feature_6314,0.0
feature_6313,0.0
feature_6342,0.0
feature_6343,0.0
feature_6344,0.0
feature_6345,0.0
feature_6375,0.0
feature_6374,0.0
feature_6373,0.0
feature_6372,0.0
feature_6371,0.0
feature_6370,0.0
feature_6369,0.0
feature_6368,0.0
feature_6367,0.0
feature_6366,0.0
feature_6365,0.0
feature_6364,0.0
feature_6363,0.0
feature_6362,0.0
feature_6312,0.0
feature_6361,0.0
feature_6359,0.0
feature_6358,0.0
feature_6357,0.0
feature_6356,0.0
feature_6355,0.0
feature_6354,0.0
feature_6353,0.0
feature_6352,0.0
feature_6351,0.0
feature_6350,0.0
feature_6349,0.0
feature_6348,0.0
feature_6347,0.0
feature_6346,0.0
feature_6360,0.0
feature_6311,0.0
feature_6310,0.0
feature_6309,0.0
feature_6274,0.0
feature_6273,0.0
feature_6272,0.0
feature_6271,0.0
feature_6270,0.0
feature_6269,0.0
feature_6268,0.0
feature_6267,0.0
feature_6266,0.0
feature_6265,0.0
feature_6264,0.0
feature_6263,0.0
feature_6262,0.0
feature_6261,0.0
feature_6275,0.0
feature_6260,0.0
feature_6258,0.0
feature_6257,0.0
feature_6256,0.0
feature_6255,0.0
feature_6254,0.0
feature_6253,0.0
feature_6252,0.0
feature_6251,0.0
feature_6250,0.0
feature_6249,0.0
feature_6248,0.0
feature_6247,0.0
feature_6246,0.0
feature_6245,0.0
feature_6259,0.0
feature_6376,0.0
feature_6276,0.0
feature_6278,0.0
feature_6308,0.0
feature_6307,0.0
feature_6306,0.0
feature_6305,0.0
feature_6304,0.0
feature_6303,0.0
feature_6302,0.0
feature_6301,0.0
feature_6300,0.0
feature_6299,0.0
feature_6298,0.0
feature_6297,0.0
feature_6296,0.0
feature_6295,0.0
feature_6277,0.0
feature_6294,0.0
feature_6292,0.0
feature_6291,0.0
feature_6290,0.0
feature_6289,0.0
feature_6288,0.0
feature_6287,0.0
feature_6286,0.0
feature_6285,0.0
feature_6284,0.0
feature_6283,0.0
feature_6282,0.0
feature_6281,0.0
feature_6280,0.0
feature_6279,0.0
feature_6293,0.0
feature_6377,0.0
feature_6378,0.0
feature_6379,0.0
feature_6477,0.0
feature_6476,0.0
feature_6475,0.0
feature_6474,0.0
feature_6473,0.0
feature_6472,0.0
feature_6471,0.0
feature_6470,0.0
feature_6469,0.0
feature_6468,0.0
feature_6467,0.0
feature_6466,0.0
feature_6465,0.0
feature_6464,0.0
feature_6478,0.0
feature_6463,0.0
feature_6461,0.0
feature_6460,0.0
feature_6459,0.0
feature_6458,0.0
feature_6457,0.0
feature_6456,0.0
feature_6455,0.0
feature_6454,0.0
feature_6453,0.0
feature_6452,0.0
feature_6451,0.0
feature_6450,0.0
feature_6449,0.0
feature_6448,0.0
feature_6462,0.0
feature_6447,0.0
feature_6479,0.0
feature_6481,0.0
feature_6511,0.0
feature_6510,0.0
feature_6509,0.0
feature_6508,0.0
feature_6507,0.0
feature_6506,0.0
feature_6505,0.0
feature_6504,0.0
feature_6503,0.0
feature_6502,0.0
feature_6501,0.0
feature_6500,0.0
feature_6499,0.0
feature_6498,0.0
feature_6480,0.0
feature_6497,0.0
feature_6495,0.0
feature_6494,0.0
feature_6493,0.0
feature_6492,0.0
feature_6491,0.0
feature_6490,0.0
feature_6489,0.0
feature_6488,0.0
feature_6487,0.0
feature_6486,0.0
feature_6485,0.0
feature_6484,0.0
feature_6483,0.0
feature_6482,0.0
feature_6496,0.0
feature_6244,0.0
feature_6446,0.0
feature_6444,0.0
feature_6409,0.0
feature_6408,0.0
feature_6407,0.0
feature_6406,0.0
feature_6405,0.0
feature_6404,0.0
feature_6403,0.0
feature_6402,0.0
feature_6401,0.0
feature_6400,0.0
feature_6399,0.0
feature_6398,0.0
feature_6397,0.0
feature_6396,0.0
feature_6410,0.0
feature_6395,0.0
feature_6393,0.0
feature_6392,0.0
feature_6391,0.0
feature_6390,0.0
feature_6389,0.0
feature_6388,0.0
feature_6387,0.0
feature_6386,0.0
feature_6385,0.0
feature_6384,0.0
feature_6383,0.0
feature_6382,0.0
feature_6381,0.0
feature_6380,0.0
feature_6394,0.0
feature_6445,0.0
feature_6411,0.0
feature_6413,0.0
feature_6443,0.0
feature_6442,0.0
feature_6441,0.0
feature_6440,0.0
feature_6439,0.0
feature_6438,0.0
feature_6437,0.0
feature_6436,0.0
feature_6435,0.0
feature_6434,0.0
feature_6433,0.0
feature_6432,0.0
feature_6431,0.0
feature_6430,0.0
feature_6412,0.0
feature_6429,0.0
feature_6427,0.0
feature_6426,0.0
feature_6425,0.0
feature_6424,0.0
feature_6423,0.0
feature_6422,0.0
feature_6421,0.0
feature_6420,0.0
feature_6419,0.0
feature_6418,0.0
feature_6417,0.0
feature_6416,0.0
feature_6415,0.0
feature_6414,0.0
feature_6428,0.0
feature_5970,0.0
feature_6243,0.0
feature_6241,0.0
feature_6069,0.0
feature_6068,0.0
feature_6067,0.0
feature_6066,0.0
feature_6065,0.0
feature_6064,0.0
feature_6063,0.0
feature_6062,0.0
feature_6061,0.0
feature_6060,0.0
feature_6059,0.0
feature_6058,0.0
feature_6057,0.0
feature_6056,0.0
feature_6055,0.0
feature_6054,0.0
feature_6053,0.0
feature_6052,0.0
feature_6051,0.0
feature_6050,0.0
feature_6049,0.0
feature_6048,0.0
feature_6047,0.0
feature_6046,0.0
feature_6045,0.0
feature_6044,0.0
feature_6043,0.0
feature_6042,0.0
feature_6041,0.0
feature_6070,0.0
feature_6071,0.0
feature_6072,0.0
feature_6073,0.0
feature_6103,0.0
feature_6102,0.0
feature_6101,0.0
feature_6100,0.0
feature_6099,0.0
feature_6098,0.0
feature_6097,0.0
feature_6096,0.0
feature_6095,0.0
feature_6094,0.0
feature_6093,0.0
feature_6092,0.0
feature_6091,0.0
feature_6090,0.0
feature_6040,0.0
feature_6089,0.0
feature_6087,0.0
feature_6086,0.0
feature_6085,0.0
feature_6084,0.0
feature_6083,0.0
feature_6082,0.0
feature_6081,0.0
feature_6080,0.0
feature_6079,0.0
feature_6078,0.0
feature_6077,0.0
feature_6076,0.0
feature_6075,0.0
feature_6074,0.0
feature_6088,0.0
feature_6039,0.0
feature_6038,0.0
feature_6037,0.0
feature_6002,0.0
feature_6001,0.0
feature_6000,0.0
feature_5999,0.0
feature_5998,0.0
feature_5997,0.0
feature_5996,0.0
feature_5995,0.0
feature_5994,0.0
feature_5993,0.0
feature_5992,0.0
feature_5991,0.0
feature_5990,0.0
feature_5989,0.0
feature_6003,0.0
feature_5988,0.0
feature_5986,0.0
feature_5985,0.0
feature_5984,0.0
feature_5983,0.0
feature_5982,0.0
feature_5981,0.0
feature_5980,0.0
feature_5979,0.0
feature_5978,0.0
feature_5977,0.0
feature_5976,0.0
feature_5975,0.0
feature_5974,0.0
feature_5973,0.0
feature_5987,0.0
feature_6104,0.0
feature_6004,0.0
feature_6006,0.0
feature_6036,0.0
feature_6035,0.0
feature_6034,0.0
feature_6033,0.0
feature_6032,0.0
feature_6031,0.0
feature_6030,0.0
feature_6029,0.0
feature_6028,0.0
feature_6027,0.0
feature_6026,0.0
feature_6025,0.0
feature_6024,0.0
feature_6023,0.0
feature_6005,0.0
feature_6022,0.0
feature_6020,0.0
feature_6019,0.0
feature_6018,0.0
feature_6017,0.0
feature_6016,0.0
feature_6015,0.0
feature_6014,0.0
feature_6013,0.0
feature_6012,0.0
feature_6011,0.0
feature_6010,0.0
feature_6009,0.0
feature_6008,0.0
feature_6007,0.0
feature_6021,0.0
feature_6105,0.0
feature_6106,0.0
feature_6107,0.0
feature_6206,0.0
feature_6205,0.0
feature_6204,0.0
feature_6203,0.0
feature_6202,0.0
feature_6201,0.0
feature_6200,0.0
feature_6199,0.0
feature_6198,0.0
feature_6197,0.0
feature_6196,0.0
feature_6195,0.0
feature_6194,0.0
feature_6193,0.0
feature_6207,0.0
feature_6192,0.0
feature_6190,0.0
feature_6189,0.0
feature_6188,0.0
feature_6187,0.0
feature_6186,0.0
feature_6185,0.0
feature_6184,0.0
feature_6183,0.0
feature_6182,0.0
feature_6181,0.0
feature_6180,0.0
feature_6179,0.0
feature_6178,0.0
feature_6177,0.0
feature_6191,0.0
feature_6176,0.0
feature_6208,0.0
feature_6210,0.0
feature_6240,0.0
feature_6239,0.0
feature_6238,0.0
feature_6237,0.0
feature_6236,0.0
feature_6235,0.0
feature_6234,0.0
feature_6233,0.0
feature_6232,0.0
feature_6231,0.0
feature_6230,0.0
feature_6229,0.0
feature_6228,0.0
feature_6227,0.0
feature_6209,0.0
feature_6226,0.0
feature_6224,0.0
feature_6223,0.0
feature_6222,0.0
feature_6221,0.0
feature_6220,0.0
feature_6219,0.0
feature_6218,0.0
feature_6217,0.0
feature_6216,0.0
