feature,shap_importance
feature_308,0.021480179423279434
feature_321,0.012468032776084053
feature_288,0.010272236906814398
feature_225,0.007510031262896811
feature_198,0.006056490491592941
feature_212,0.005054737417605813
feature_4,0.0019222053359230775
feature_1,0.0
feature_214,0.0
feature_219,0.0
feature_218,0.0
feature_217,0.0
feature_216,0.0
feature_215,0.0
feature_211,0.0
feature_213,0.0
feature_221,0.0
feature_210,0.0
feature_209,0.0
feature_208,0.0
feature_207,0.0
feature_206,0.0
feature_205,0.0
feature_220,0.0
feature_223,0.0
feature_222,0.0
feature_233,0.0
feature_240,0.0
feature_239,0.0
feature_238,0.0
feature_237,0.0
feature_236,0.0
feature_235,0.0
feature_234,0.0
feature_232,0.0
feature_203,0.0
feature_231,0.0
feature_230,0.0
feature_229,0.0
feature_228,0.0
feature_227,0.0
feature_226,0.0
feature_224,0.0
feature_204,0.0
feature_200,0.0
feature_202,0.0
feature_173,0.0
feature_180,0.0
feature_179,0.0
feature_178,0.0
feature_177,0.0
feature_176,0.0
feature_175,0.0
feature_174,0.0
feature_172,0.0
feature_201,0.0
feature_171,0.0
feature_170,0.0
feature_169,0.0
feature_168,0.0
feature_167,0.0
feature_166,0.0
feature_165,0.0
feature_181,0.0
feature_182,0.0
feature_183,0.0
feature_184,0.0
feature_242,0.0
feature_199,0.0
feature_197,0.0
feature_196,0.0
feature_195,0.0
feature_194,0.0
feature_193,0.0
feature_192,0.0
feature_191,0.0
feature_190,0.0
feature_189,0.0
feature_188,0.0
feature_187,0.0
feature_186,0.0
feature_185,0.0
feature_241,0.0
feature_244,0.0
feature_243,0.0
feature_293,0.0
feature_300,0.0
feature_299,0.0
feature_298,0.0
feature_297,0.0
feature_296,0.0
feature_295,0.0
feature_294,0.0
feature_292,0.0
feature_302,0.0
feature_291,0.0
feature_290,0.0
feature_289,0.0
feature_287,0.0
feature_286,0.0
feature_285,0.0
feature_284,0.0
feature_301,0.0
feature_303,0.0
feature_163,0.0
feature_314,0.0
feature_322,0.0
feature_320,0.0
feature_319,0.0
feature_318,0.0
feature_317,0.0
feature_316,0.0
feature_315,0.0
feature_313,0.0
feature_304,0.0
feature_312,0.0
feature_311,0.0
feature_310,0.0
feature_309,0.0
feature_307,0.0
feature_306,0.0
feature_305,0.0
feature_283,0.0
feature_282,0.0
feature_281,0.0
feature_253,0.0
feature_260,0.0
feature_259,0.0
feature_258,0.0
feature_257,0.0
feature_256,0.0
feature_255,0.0
feature_254,0.0
feature_252,0.0
feature_280,0.0
feature_251,0.0
feature_250,0.0
feature_249,0.0
feature_248,0.0
feature_247,0.0
feature_246,0.0
feature_245,0.0
feature_261,0.0
feature_262,0.0
feature_263,0.0
feature_264,0.0
feature_279,0.0
feature_278,0.0
feature_277,0.0
feature_276,0.0
feature_275,0.0
feature_274,0.0
feature_273,0.0
feature_272,0.0
feature_271,0.0
feature_270,0.0
feature_269,0.0
feature_268,0.0
feature_267,0.0
feature_266,0.0
feature_265,0.0
feature_164,0.0
feature_162,0.0
feature_2,0.0
feature_161,0.0
