feature,mean_importance
feature_190,-0.0020397453844547496
feature_142,-0.0018981020599603716
feature_282,-0.0015347594738006841
feature_10,-0.0013610280573367994
feature_64,-0.0012350497215986467
feature_208,-0.0012019645929336686
feature_59,-0.0011869019389152634
feature_226,-0.001104374194145219
feature_62,-0.0008940719485283077
feature_222,-0.0008738584637642211
feature_279,-0.0008570227056742041
feature_35,-0.0008567893683910643
feature_101,-0.0008559570550918716
feature_239,-0.0008532024234533698
feature_310,-0.0008214662194252264
feature_173,-0.0008195333302021268
feature_252,-0.0008162313699722646
feature_263,-0.0007932857513427872
feature_134,-0.0007620763093233007
feature_53,-0.000744108000397703
feature_87,-0.0007358015477657353
feature_317,-0.0007209916919470149
feature_270,-0.0007194581598043426
feature_313,-0.0007160919964313672
feature_56,-0.0006905503839254479
feature_42,-0.0006774193316698262
feature_92,-0.0006557924360036882
feature_184,-0.0006132048517465627
feature_126,-0.0005997736334800718
feature_11,-0.0005946958124637636
feature_43,-0.0005700754582881995
feature_257,-0.000561833512783072
feature_154,-0.0005350726753473367
feature_186,-0.000525698015093834
feature_225,-0.0005085533261299346
feature_74,-0.0005037233948707697
feature_65,-0.0004852105379104854
feature_183,-0.00048208158016207483
feature_103,-0.00046557590365412513
feature_129,-0.0004468100875616443
feature_95,-0.00043748315572740283
feature_136,-0.00043518000245097445
feature_241,-0.0004350091636181164
feature_97,-0.00043500525951387645
feature_234,-0.0004221309363842352
feature_7,-0.00042188009023667037
feature_265,-0.000393724220991154
feature_98,-0.0003746954441070649
feature_8,-0.00037322509288790774
feature_60,-0.00036586601436141566
feature_21,-0.0003449087709188614
feature_160,-0.0003435552537441211
feature_311,-0.0003392015814781546
feature_120,-0.0003376344740390946
feature_38,-0.00033397139310835654
feature_172,-0.00033389604687692474
feature_174,-0.00032454057931901036
feature_176,-0.00031742083430292834
feature_314,-0.00030132430195810577
feature_221,-0.00029254992604259565
feature_128,-0.0002904862225055815
feature_2,-0.000286319380998612
feature_218,-0.0002822145432233913
feature_235,-0.0002746220976114433
feature_212,-0.00026495568156241766
feature_165,-0.0002609018623829007
feature_179,-0.0002594791650772477
feature_124,-0.0002591438859701256
feature_25,-0.00025299172997474975
feature_196,-0.0002523945897817681
feature_68,-0.0002491200834512819
feature_300,-0.00024094641804697225
feature_228,-0.00023241686522961212
feature_244,-0.00021891608536244166
feature_22,-0.00021580266356471255
feature_123,-0.00021358029842377668
feature_164,-0.00021149265766147175
feature_262,-0.00020554642081260788
feature_54,-0.0002049845993518984
feature_131,-0.0002045067906379705
feature_293,-0.00019343108236788976
feature_258,-0.00019202872812749128
feature_46,-0.00019183889329437153
feature_48,-0.0001873692899942325
feature_283,-0.00018684277832510255
feature_90,-0.00018504706025126438
feature_118,-0.0001768773794174505
feature_19,-0.00017687675356865552
feature_115,-0.00017193479537964685
feature_312,-0.00016691766381264904
feature_294,-0.00015861262977123758
feature_181,-0.00015768570303917873
feature_127,-0.00015644079446794912
feature_145,-0.00015637463033200128
feature_219,-0.00015041707158089946
feature_224,-0.0001442786812782426
feature_28,-0.00013460339903834662
feature_206,-0.00013332720398906428
feature_278,-0.00012965547740459993
feature_119,-0.0001287713497877041
feature_40,-0.00012352733016014473
feature_1,-0.00012076055109504491
feature_223,-0.00012061687111859509
feature_200,-0.00012016960382463804
feature_49,-0.00011640131473542593
feature_33,-0.00010760929286484089
feature_17,-0.00010124751627449413
feature_243,-0.00010106699466705393
feature_158,-0.0001004122763872184
feature_268,-9.896355271339363e-05
feature_69,-9.102054536345162e-05
feature_156,-8.990795612335844e-05
feature_149,-8.787007927895108e-05
feature_277,-8.63358676433501e-05
feature_188,-7.942009866241939e-05
feature_207,-7.861284315588968e-05
feature_171,-7.371711134911419e-05
feature_287,-7.113136053087388e-05
feature_269,-6.80625528097556e-05
feature_138,-6.671656966208416e-05
feature_122,-5.680525302891315e-05
feature_105,-5.4419714212450285e-05
feature_240,-5.246376097205463e-05
feature_266,-4.213668107988511e-05
feature_168,-3.52980315685425e-05
feature_322,-3.380781412125611e-05
feature_114,-3.203212320808113e-05
feature_214,-3.1592220067988563e-05
feature_163,-2.4088564515145628e-05
feature_29,-2.2413656115549685e-05
feature_153,-2.3345768451754623e-06
feature_230,-8.762836456677192e-07
feature_210,0.0
feature_281,0.0
feature_202,0.0
feature_189,0.0
feature_318,0.0
feature_261,0.0
feature_298,0.0
feature_161,0.0
feature_264,6.002452969533501e-06
feature_175,1.0644173622109675e-05
feature_299,1.0646998882268833e-05
feature_231,1.3027691841105415e-05
feature_284,1.3268911838504316e-05
feature_137,2.4133777618384755e-05
feature_116,2.5376501679419404e-05
feature_309,2.6971721649138304e-05
feature_319,2.7713906764970097e-05
feature_41,2.7889785170542858e-05
feature_229,2.807069420813768e-05
feature_194,3.838873803614362e-05
feature_76,3.905263245105317e-05
feature_296,4.2396229505525795e-05
feature_152,4.554184675213957e-05
feature_151,5.869847536081885e-05
feature_146,6.141200363634081e-05
feature_276,6.318607032296253e-05
feature_246,7.598387598986011e-05
feature_303,7.88833916187226e-05
feature_67,7.973280251023507e-05
feature_31,8.925846219063339e-05
feature_295,9.18111860751969e-05
feature_292,9.968604743477716e-05
feature_187,0.00011077615022656584
feature_139,0.00011306420266625761
feature_26,0.00011666637361047449
feature_86,0.00011992041766641925
feature_180,0.00012010536789892612
feature_203,0.00012483130395410936
feature_32,0.00012649829685684733
feature_88,0.00014311755597589125
feature_91,0.00015080017149444737
feature_236,0.00015524037480354468
feature_121,0.00016379598975178045
feature_227,0.0001730263143777666
feature_20,0.00017490593492981433
feature_280,0.00017888752222059435
feature_78,0.00017935060262677104
feature_271,0.0001906268686056034
feature_273,0.00019631073176857862
feature_52,0.00020886335670948774
feature_72,0.00020945439338684312
feature_102,0.0002134315639734208
feature_290,0.00021705133020875068
feature_267,0.0002214792251586717
feature_232,0.00022520295679568926
feature_285,0.0002253276020288464
feature_242,0.00023535150587556953
feature_94,0.0002369161188602531
feature_307,0.00023825252652167616
feature_144,0.0002395006060599947
feature_34,0.0002415968149900305
feature_274,0.0002419660151004699
feature_308,0.0002504287958144946
feature_301,0.00027257417440411657
feature_215,0.0002746222019195388
feature_291,0.0002749892592429637
feature_192,0.00027814243733881305
feature_5,0.0002968653976917368
feature_305,0.0003051275014877231
feature_6,0.00030773916244506425
feature_55,0.00031028002202508896
feature_77,0.0003268155962228292
feature_51,0.0003315450608730064
feature_81,0.0003318495929241161
feature_112,0.00033224164843557167
feature_73,0.0003323554784059546
feature_135,0.00034041414856909034
feature_83,0.0003436483800411061
feature_304,0.0003452162861823815
feature_12,0.00034572326540944777
feature_204,0.00035716718733311834
feature_125,0.0003581066608428607
feature_132,0.0003592789053916912
feature_315,0.00036159971952438587
feature_4,0.00036160728335379313
feature_75,0.00036200270056721
feature_254,0.000363669356703733
feature_106,0.00036402707099914
feature_99,0.0003644110441207493
feature_201,0.000372387072443936
feature_23,0.0003855495750903604
feature_108,0.00038638393878933643
feature_104,0.0003886176764964722
feature_233,0.00039620334208010364
feature_259,0.00041089127659796885
feature_272,0.0004138711005449158
feature_71,0.0004257464349269657
feature_237,0.0004388799309730018
feature_82,0.0004432839155197099
feature_157,0.0004445037156343368
feature_109,0.0004504765480756845
feature_193,0.0004597151041030756
feature_162,0.0004743950992822654
feature_191,0.0004871677279472353
feature_84,0.00048764955997466776
feature_253,0.0004909546822309485
feature_185,0.0004914332151412903
feature_166,0.0004939603209495492
feature_111,0.0004971797168254799
feature_70,0.0005056221097707425
feature_79,0.0005089756846427873
feature_133,0.0005091716766357557
feature_3,0.0005103667825460345
feature_13,0.0005221382349729353
feature_323,0.0005238945394754113
feature_85,0.000532070329785328
feature_209,0.0005324447542428556
feature_36,0.0005330597251653524
feature_37,0.0005336727738380232
feature_140,0.0005375714033841739
feature_170,0.0005400885373354036
feature_100,0.0005403106272220404
feature_107,0.0005474418938160141
feature_16,0.0005518683701753568
feature_63,0.0005867853194474693
feature_143,0.0006015492618083762
feature_275,0.0006046284943818758
feature_169,0.0006055036664008862
feature_182,0.0006124625086783908
feature_247,0.0006146308094262976
feature_18,0.0006171423852443514
feature_260,0.0006218565821647593
feature_93,0.0006395593732595239
feature_66,0.0006407579302787347
feature_50,0.0006444193184375502
feature_249,0.0006545283377170196
feature_110,0.0006551441520452394
feature_205,0.0006565167367458269
feature_297,0.0006612493187188928
feature_58,0.000666533696651439
feature_159,0.00066862034499644
feature_306,0.0006712230861186885
feature_178,0.0006883409857749934
feature_27,0.000691298964619591
feature_167,0.00069690648615357
feature_250,0.0007033306986093501
feature_195,0.0007107510387897254
feature_238,0.0007117738395929108
feature_47,0.0007386166006326577
feature_197,0.0007545154929160969
feature_286,0.0007686635076999737
feature_9,0.0007766182482242146
feature_150,0.0007771962761878637
feature_89,0.0007775048613547942
feature_44,0.0008178172260522754
feature_316,0.0008230394631624005
feature_216,0.0008272731333970995
feature_45,0.0008334109932184086
feature_39,0.0008483300447463815
feature_220,0.0009197965413331843
feature_199,0.0009301615327596436
feature_96,0.0009344536930322445
feature_57,0.0009648845314979227
feature_155,0.0009674585372209332
feature_177,0.0009765470027923495
feature_15,0.0009808431804180008
feature_255,0.0009837237060070115
feature_80,0.0009903867095708563
feature_30,0.0010282748073339176
feature_289,0.0010801972687244366
feature_148,0.001147848716378208
feature_248,0.0011707260370254157
feature_117,0.00118593441843986
feature_14,0.0011986334204673542
feature_302,0.001207622829079602
feature_61,0.0012317665249109045
feature_251,0.00123746807277203
feature_147,0.0012397126495838017
feature_320,0.0012408314913511021
feature_113,0.001275060006976103
feature_321,0.0012753482282161555
feature_245,0.0013162816077470607
feature_130,0.001319734242558468
feature_217,0.0015012846201657882
feature_141,0.001510566085577003
feature_256,0.0015282638520002002
feature_24,0.0015712105691432887
feature_198,0.0018427603065967358
feature_288,0.002429612928628888
feature_213,0.0024859580218791867
feature_211,0.0028182879269122996
