feature,mean_importance
feature_28,-0.0009514706465252986
feature_133,-0.0009123677226636984
feature_275,-0.0008981645364396273
feature_1,-0.0008966908526667261
feature_289,-0.000859750154318939
feature_200,-0.0007745965563051183
feature_78,-0.0007628629117449659
feature_54,-0.0007520294716601761
feature_53,-0.0007337457318471019
feature_9,-0.0007203850506671827
feature_296,-0.000715844187210024
feature_272,-0.0006477533336308961
feature_104,-0.0006458459221211355
feature_226,-0.0006434082906799033
feature_249,-0.0006360432515326586
feature_40,-0.0006203741592060386
feature_35,-0.00061504584276042
feature_142,-0.0005771842911612257
feature_25,-0.0005724836995282034
feature_99,-0.0005712988329729995
feature_29,-0.0005238867621986998
feature_315,-0.000502842702535089
feature_261,-0.000498202424195493
feature_135,-0.0004954447826207575
feature_157,-0.000483740042684766
feature_323,-0.00047713547094707653
feature_318,-0.000467117067712941
feature_298,-0.00046705729140963383
feature_55,-0.0004641308042750314
feature_151,-0.00046096041835348435
feature_18,-0.00045612045032661364
feature_179,-0.00045415283597038947
feature_59,-0.0004508862533812108
feature_111,-0.00043375220591601593
feature_257,-0.0004201249424205633
feature_170,-0.0004106154525742367
feature_300,-0.0004082759000456404
feature_26,-0.00040801148464273405
feature_154,-0.00040264031115455623
feature_287,-0.00040237906570750326
feature_236,-0.00037666737250316993
feature_227,-0.00037561339899743195
feature_171,-0.00036112975721085404
feature_293,-0.00035694690423875296
feature_212,-0.00035158962655506
feature_186,-0.0003483232243789436
feature_58,-0.0003482868981860898
feature_213,-0.000345889780888986
feature_166,-0.0003155316178718337
feature_176,-0.0003121279552573242
feature_3,-0.000303969903373269
feature_175,-0.000300807126261482
feature_124,-0.0002951059298504477
feature_210,-0.0002932902020064576
feature_310,-0.00029042581807479093
feature_204,-0.0002880740809126925
feature_292,-0.000287013392041624
feature_118,-0.00028411561429204647
feature_241,-0.0002837049906775135
feature_194,-0.00028346711986759754
feature_168,-0.0002698343541686521
feature_254,-0.0002685239574024889
feature_14,-0.00026152240752073117
feature_102,-0.0002598887930274962
feature_155,-0.0002598122866785513
feature_132,-0.00025701559779449655
feature_185,-0.0002550051377307572
feature_252,-0.0002495123660450016
feature_270,-0.00024587825416251264
feature_189,-0.00024573240025898
feature_77,-0.00024354405921975797
feature_92,-0.00023873793568169878
feature_161,-0.0002339877030104187
feature_316,-0.0002317132302519953
feature_173,-0.0002270282160883097
feature_66,-0.00022596301275186194
feature_65,-0.0002189034878771423
feature_97,-0.00021861797394659988
feature_6,-0.00021692709113723118
feature_109,-0.00021468432487738997
feature_85,-0.00020901690747647804
feature_74,-0.00020856165854674647
feature_262,-0.00020494087531408578
feature_44,-0.00020388723760464967
feature_76,-0.00020269491769202562
feature_182,-0.0002026861984357975
feature_233,-0.00020051782024466114
feature_125,-0.00019741944254179078
feature_115,-0.00019468438790617437
feature_24,-0.00018330357632230233
feature_117,-0.00018099108853775192
feature_80,-0.00018062324816863206
feature_88,-0.00017527256570193384
feature_89,-0.00017383278324925033
feature_83,-0.00017335838697054572
feature_174,-0.00017208241561359472
feature_30,-0.00016929775935774493
feature_319,-0.00016928486999803204
feature_205,-0.00016683291187875594
feature_246,-0.0001665416826025279
