feature,mean_importance
feature_213,-0.00032253191815496686
feature_154,-0.0002521439646023138
feature_252,-0.00023560233987354184
feature_222,-0.00020864935390945137
feature_298,-0.00020677144848950667
feature_59,-0.00019560261957192183
feature_190,-0.00016674645400693855
feature_293,-0.00014193515706979466
feature_308,-0.0001236030612393968
feature_209,-0.00012117043233357272
feature_64,-0.00011454087755331521
feature_56,-0.00010198442334228286
feature_272,-9.239546416806022e-05
feature_15,-8.497631385919746e-05
feature_71,-8.155764383965813e-05
feature_315,-7.376105722356474e-05
feature_117,-6.40836314273141e-05
feature_185,-5.934043441124803e-05
feature_136,-5.407410594893136e-05
feature_78,-5.188763024281951e-05
feature_221,-5.1226947303284474e-05
feature_86,-4.943918859545704e-05
feature_49,-4.9179984512970346e-05
feature_80,-4.8463626706873876e-05
feature_250,-4.806876951057859e-05
feature_118,-4.685314682699726e-05
feature_58,-4.6285878431451265e-05
feature_70,-4.621808379257075e-05
feature_178,-4.57220297920502e-05
feature_230,-4.5599516503314065e-05
feature_241,-4.508591643344051e-05
feature_233,-4.4717993277965105e-05
feature_193,-4.3192314071527346e-05
feature_236,-4.273141623649668e-05
feature_87,-4.073934022907899e-05
feature_275,-4.070010318379946e-05
feature_176,-3.856324781597032e-05
feature_278,-3.828661547118361e-05
feature_11,-3.767555056422012e-05
feature_31,-3.765465657612488e-05
feature_172,-3.752028631061055e-05
feature_302,-3.729820972349085e-05
feature_89,-3.682976190797493e-05
feature_10,-3.547571795896598e-05
feature_60,-3.4088197009918277e-05
feature_75,-3.40610716928591e-05
feature_294,-3.323510026349563e-05
feature_29,-3.307063162878432e-05
feature_231,-3.2785826210290916e-05
feature_256,-3.2073461780557365e-05
feature_189,-3.169457353717764e-05
feature_274,-3.1253995836943994e-05
feature_234,-3.099686001510893e-05
feature_203,-3.002598108765575e-05
feature_53,-2.8982747632411154e-05
feature_224,-2.8761205557059633e-05
feature_290,-2.8458612648463168e-05
feature_124,-2.840788571492059e-05
feature_69,-2.4947364777672122e-05
feature_283,-2.4661535837755544e-05
feature_214,-2.3980885541918796e-05
feature_235,-2.393123492254734e-05
feature_280,-2.3710603281723586e-05
feature_184,-2.3665263573713346e-05
feature_88,-2.3334976065125802e-05
feature_263,-2.2869599028507713e-05
feature_152,-2.1392053869329077e-05
feature_297,-2.0534975195651838e-05
feature_270,-2.03864558268263e-05
feature_218,-2.0131554013169685e-05
feature_257,-1.9116952805586784e-05
feature_42,-1.899532987594821e-05
feature_321,-1.8822372912530307e-05
feature_119,-1.8036829340428717e-05
feature_25,-1.7474710164000484e-05
feature_125,-1.7266626904288708e-05
feature_169,-1.7007507747912598e-05
feature_246,-1.6256256965840877e-05
feature_317,-1.5951459632157493e-05
feature_156,-1.595029767182954e-05
feature_61,-1.572532942237803e-05
feature_229,-1.465008229992737e-05
feature_106,-1.4310409341833364e-05
feature_14,-1.3702602837373235e-05
feature_277,-1.3468945756600625e-05
feature_9,-1.3340458476962525e-05
feature_100,-1.318186635266283e-05
feature_85,-1.2850056175572888e-05
feature_63,-1.2586638807299267e-05
feature_318,-1.2473836413118278e-05
feature_323,-1.2270083824383882e-05
feature_7,-1.086901799827178e-05
feature_44,-1.0721034000060747e-05
feature_115,-1.069822954813393e-05
feature_4,-1.059658593169921e-05
feature_287,-1.0097077930093512e-05
feature_18,-1.0066839264943895e-05
feature_175,-9.828316208615463e-06
feature_17,-9.283239576718394e-06
feature_93,-9.121815020374235e-06
feature_73,-9.000943744008616e-06
feature_137,-8.75583455584028e-06
feature_5,-8.515337639658505e-06
feature_244,-8.326253349211222e-06
feature_109,-7.596134137921595e-06
feature_12,-7.2476850581537635e-06
feature_232,-6.81257103221089e-06
feature_237,-5.773147368004494e-06
feature_168,-5.054323906672487e-06
feature_21,-4.440363707503003e-06
feature_320,-2.3119558724360446e-06
feature_258,-2.2796677850100978e-06
feature_180,-2.2291360813886385e-06
feature_121,-2.228531278425372e-06
feature_160,-2.025419411344487e-06
feature_289,-1.7314774674925814e-06
feature_296,-1.719947139999789e-06
feature_187,-1.6105686672318598e-06
feature_43,-1.5095800547593186e-06
feature_207,-1.4157515108914608e-06
feature_227,-1.3406879833199881e-06
feature_65,-1.2919731758653795e-06
feature_306,-8.48779422546464e-07
feature_159,-7.672327615448893e-07
feature_96,-9.772945928077092e-08
feature_200,0.0
feature_286,0.0
feature_166,0.0
feature_163,0.0
feature_161,0.0
feature_301,0.0
feature_138,0.0
