feature,mean_importance
feature_41,-0.0020855212303689365
feature_39,-0.0011903563385374572
feature_85,-0.0007863891446640902
feature_24,-0.0007395100939228128
feature_76,-0.000612252523800283
feature_96,-0.0005550397687566156
feature_15,-0.0005532145302880487
feature_100,-0.0005337395421259883
feature_78,-0.0004666936865244997
feature_83,-0.0004314532234896085
feature_74,-0.0004086342686018707
feature_91,-0.0003642614336127004
feature_69,-0.00030167763485027254
feature_35,-0.0002570057672410586
feature_95,-0.00022151006626922599
feature_31,-0.0002094542814117917
feature_30,-0.00016911125066494393
feature_82,-0.0001673415115172494
feature_21,-0.00014766851007494975
feature_36,-0.00014600981504000465
feature_84,-0.00011747774089276852
feature_93,-0.00011017762418836785
feature_70,-0.00010146345135599865
feature_19,-9.530598070566221e-05
feature_28,-9.110371204377188e-05
feature_32,-8.304403979026986e-05
feature_47,-5.3939508913547486e-05
feature_10,3.6297225241277434e-05
feature_54,7.743291156299126e-05
feature_22,8.726148461526417e-05
feature_49,9.193191762444375e-05
feature_63,0.00011335245622396961
feature_87,0.00011567661555367259
feature_1,0.00012365742621680553
feature_44,0.00017679914198278634
feature_18,0.00019032501051450268
feature_42,0.00020907587574645615
feature_89,0.00021279196333556794
feature_16,0.0002211684983423945
feature_97,0.00023701990998996613
feature_29,0.0002607565739181306
feature_64,0.00026319540154078335
feature_8,0.0002631954015408056
feature_79,0.0002871624343336654
feature_52,0.00029203123847176826
feature_65,0.00030595984677253
feature_86,0.00032391672769107596
feature_92,0.00033334489178922234
feature_81,0.0003494456025502801
feature_14,0.0003965472165400996
feature_50,0.000406824750292456
feature_3,0.00041737084013238057
feature_62,0.0004260052637725664
feature_88,0.00044284056374390703
feature_57,0.00045075591009662296
feature_25,0.00046719204838425733
feature_33,0.00046918741464991865
feature_73,0.000474647721912258
feature_71,0.0005283115110457315
feature_20,0.0005283115110457537
feature_46,0.000549465632720314
feature_75,0.000575473856621711
feature_58,0.0005850270309205819
feature_90,0.0005996123671113684
feature_66,0.000628636665049509
feature_34,0.0006936129050052698
feature_45,0.0006952281962176344
feature_7,0.0007133826078583149
feature_12,0.0007775503692454722
feature_23,0.0008005964594357762
feature_2,0.0008377060445091233
feature_11,0.0009440422406657767
feature_55,0.0009614034770589974
feature_37,0.0009882590048574391
feature_38,0.00100035000645462
feature_56,0.0010178740957752508
feature_53,0.0010395812592318033
feature_77,0.0010440257165165612
feature_51,0.0010534085553209004
feature_99,0.00107050796777155
feature_27,0.0011253287082182873
feature_6,0.0011383685236444618
feature_43,0.0011837736025707367
feature_59,0.0012196846299451058
feature_67,0.0012226038997558142
feature_13,0.001232894669923179
feature_61,0.0012793577553900982
feature_9,0.0012975081634778007
feature_26,0.0013599098547182331
feature_4,0.001620166468672335
feature_72,0.0016331220910168697
feature_17,0.0016507707075004597
feature_48,0.0016708109556843765
feature_68,0.001910031534473311
feature_5,0.002157427111110821
feature_60,0.0022525830437072347
feature_40,0.0025179314029336597
feature_80,0.0025708630641259277
feature_98,0.0026787428789134538
feature_94,0.0045141745914611285
