feature,shap_importance
feature_4,0.12256622
feature_76,0.1118907
feature_60,0.07655037
feature_80,0.07363022
feature_35,0.07054207
feature_100,0.06773435
feature_41,0.06708646
feature_97,0.06398401
feature_17,0.058633953
feature_74,0.058474682
feature_69,0.057227552
feature_91,0.055558562
feature_92,0.054918677
feature_14,0.05475417
feature_5,0.052103624
feature_29,0.051758
feature_79,0.051383365
feature_39,0.05005831
feature_58,0.049780775
feature_30,0.048604857
feature_55,0.048427857
feature_52,0.04690575
feature_20,0.046190336
feature_98,0.045332402
feature_63,0.045041922
feature_78,0.044210993
feature_50,0.04389225
feature_75,0.043733973
feature_12,0.043714795
feature_77,0.043207195
feature_27,0.043064434
feature_56,0.042697914
feature_18,0.04214377
feature_84,0.04080009
feature_89,0.04079908
feature_57,0.040596176
feature_1,0.040151194
feature_94,0.039308093
feature_93,0.039217655
feature_99,0.03825674
feature_8,0.036627594
feature_9,0.03533955
feature_51,0.034514345
feature_25,0.03437308
feature_82,0.03427329
feature_45,0.034046482
feature_47,0.03402947
feature_21,0.03382827
feature_59,0.03376607
feature_28,0.03307058
feature_2,0.032086555
feature_3,0.032018896
feature_48,0.03139105
feature_66,0.031235123
feature_83,0.031131588
feature_96,0.030241651
feature_46,0.029964311
feature_44,0.029055204
feature_13,0.027802672
feature_24,0.027222076
feature_85,0.026431207
feature_16,0.026240138
feature_95,0.026095651
feature_61,0.025740312
feature_68,0.02543798
feature_90,0.024173912
feature_43,0.023430392
feature_72,0.023053065
feature_62,0.022994682
feature_38,0.022615068
feature_53,0.021838544
feature_88,0.021550834
feature_67,0.021314288
feature_37,0.021171467
feature_6,0.020178001
feature_7,0.020033998
feature_31,0.020003047
feature_73,0.019576536
feature_54,0.01933407
feature_23,0.01916927
feature_36,0.019075636
feature_19,0.018936548
feature_34,0.0183839
feature_26,0.018252682
feature_11,0.018193876
feature_65,0.018096656
feature_81,0.01731085
feature_86,0.01710172
feature_15,0.01683031
feature_70,0.01588223
feature_42,0.015829595
feature_33,0.0147379795
feature_10,0.014667236
feature_40,0.014379291
feature_32,0.013659247
feature_22,0.012750829
feature_87,0.012219659
feature_49,0.0015373566
feature_64,0.0
feature_71,0.0
