feature,mean_importance
feature_5,-0.020656076443744918
feature_85,-0.018734470965899686
feature_21,-0.015410643906858978
feature_22,-0.01479343340021395
feature_110,-0.00968834294364147
feature_25,-0.008281047653162754
feature_52,-0.008181455434239737
feature_26,-0.007982308920576742
feature_109,-0.007850162520153848
feature_33,-0.007697532921303596
feature_66,-0.007302387851430181
feature_65,-0.007302387851430181
feature_64,-0.007302387851430137
feature_103,-0.006221121724347345
feature_214,-0.005561551452496061
feature_67,-0.004542759238660987
feature_155,-0.0045027558707251055
feature_3,-0.004188813853365825
feature_29,-0.004030702381406815
feature_60,-0.003962133555234759
feature_59,-0.003962133555234759
feature_58,-0.003962133555234759
feature_53,-0.003962133555234759
feature_57,-0.003962133555234759
feature_56,-0.003962133555234759
feature_54,-0.003962133555234759
feature_55,-0.003962133555234759
feature_62,-0.003962133555234737
feature_102,-0.0031505765465513536
feature_12,-0.0031100372634416786
feature_89,-0.0028330318482736594
feature_91,-0.0028330318482736594
feature_92,-0.0028330318482736594
feature_93,-0.0028330318482736594
feature_87,-0.0025168057944953805
feature_96,-0.0022939422591001122
feature_139,-0.0017933698577176748
feature_245,-0.0017378479824893712
feature_247,-0.0017378479824893712
feature_248,-0.0017378479824893712
feature_249,-0.0017378479824893712
feature_250,-0.0017378479824893712
feature_251,-0.0017378479824893712
feature_252,-0.0017378479824893712
feature_254,-0.0017378479824893712
feature_246,-0.0017378479824893712
feature_186,-0.0017323890777159346
feature_185,-0.0017323890777159346
feature_184,-0.0017323890777159346
feature_183,-0.0017323890777159346
feature_182,-0.0017323890777159346
feature_181,-0.0017323890777159346
feature_180,-0.0017323890777159346
feature_179,-0.0017323890777159346
feature_157,-0.0017323890777159346
feature_187,-0.0017323890777159346
feature_171,-0.0017323890777159346
feature_170,-0.0017323890777159346
feature_195,-0.0017323890777159346
feature_194,-0.0017323890777159346
feature_193,-0.0017323890777159346
feature_169,-0.0017323890777159346
feature_178,-0.0017323890777159346
feature_168,-0.0017323890777159346
feature_167,-0.0017323890777159346
feature_191,-0.0017323890777159346
feature_190,-0.0017323890777159346
feature_189,-0.0017323890777159346
feature_166,-0.0017323890777159346
feature_188,-0.0017323890777159346
feature_192,-0.0017323890777159346
feature_177,-0.0017323890777159346
feature_137,-0.0017323890777159346
feature_175,-0.0017323890777159346
feature_154,-0.0017323890777159346
feature_153,-0.0017323890777159346
feature_152,-0.0017323890777159346
feature_151,-0.0017323890777159346
feature_150,-0.0017323890777159346
feature_149,-0.0017323890777159346
feature_148,-0.0017323890777159346
feature_147,-0.0017323890777159346
feature_146,-0.0017323890777159346
feature_145,-0.0017323890777159346
feature_144,-0.0017323890777159346
feature_143,-0.0017323890777159346
feature_142,-0.0017323890777159346
feature_174,-0.0017323890777159346
feature_158,-0.0017323890777159346
feature_159,-0.0017323890777159346
feature_160,-0.0017323890777159346
feature_161,-0.0017323890777159346
feature_138,-0.0017323890777159346
feature_162,-0.0017323890777159346
feature_163,-0.0017323890777159346
feature_164,-0.0017323890777159346
feature_156,-0.0017323890777159346
feature_165,-0.0017323890777159346
feature_136,-0.0017323890777159346
feature_176,-0.0017323890777159346
feature_140,-0.0017323890777159346
feature_173,-0.0017323890777159346
feature_196,-0.0017323890777159346
feature_172,-0.0017323890777159346
feature_200,-0.0017323890777159346
feature_199,-0.0017323890777159346
feature_197,-0.0017323890777159346
feature_198,-0.0017323890777159346
feature_13,-0.001719718206371601
feature_14,-0.0015102832428581347
feature_90,-0.0014998341635811042
feature_257,-0.0014606019824389583
feature_255,-0.0014606019824389583
feature_256,-0.0014606019824389583
feature_253,-0.001352860414446111
feature_32,-0.001204011003007399
feature_95,-0.0010873051500475573
feature_211,-0.0010804313143537802
feature_206,-0.0010804313143537802
feature_210,-0.0010804313143537802
feature_205,-0.0010804313143537802
feature_212,-0.0010427847153628989
feature_213,-0.0010427847153628989
feature_217,-0.0010427847153628989
feature_231,-0.0010427847153628989
feature_223,-0.0010427847153628989
feature_224,-0.0010427847153628989
feature_227,-0.0010427847153628989
feature_228,-0.0010427847153628989
feature_229,-0.0010427847153628989
feature_222,-0.0010427847153628989
feature_226,-0.0010427847153628989
feature_221,-0.0010427847153628989
feature_79,-0.0010426142903524616
feature_9,-0.0008486132838845028
feature_82,-0.0008418317199636816
feature_97,-0.0007765498383690117
feature_11,-0.0007764509019211107
feature_34,-0.0006648309001927366
feature_73,-0.00046181677401122554
feature_74,-0.00039686386021522415
feature_8,-0.00035440413669241
feature_258,-0.00031377210406415836
feature_78,-0.000283262424275188
feature_35,-0.00020077349588429883
feature_83,-0.00013614645369810496
feature_80,-6.841291865642419e-05
feature_106,1.565236596465791e-05
feature_108,2.02973342002144e-05
feature_104,6.514250101457009e-05
feature_107,0.00010399580450550782
feature_84,0.00013325212821124754
feature_43,0.00022427142117023013
feature_112,0.00023299080325507316
feature_77,0.000479698576420029
feature_239,0.00048504838096699034
feature_4,0.0005153771388620055
feature_115,0.0005660574361850079
feature_37,0.0005831475348242688
feature_81,0.0006668810262447477
feature_244,0.0006793834716538827
feature_243,0.0006793834716538827
feature_241,0.0006793834716538827
feature_240,0.0006793834716538827
feature_238,0.0006793834716538827
feature_242,0.0006793834716538827
feature_10,0.0007005286984304915
feature_40,0.0010731010527388785
feature_101,0.001090304981568213
feature_113,0.0011240675934573786
feature_30,0.0012895946042865702
feature_105,0.00144088980890138
feature_24,0.0018059483932049592
feature_1,0.0019023799355833092
feature_2,0.0019023799355833092
feature_44,0.0022209220805748052
feature_71,0.0022701384359859354
feature_72,0.0022701384359859354
feature_68,0.0023602209236968986
feature_69,0.0023602209236968986
feature_70,0.0023602209236968986
feature_36,0.0023978841696854934
feature_135,0.002470354779825645
feature_116,0.002470354779825645
feature_117,0.002470354779825645
feature_119,0.002470354779825645
feature_120,0.002470354779825645
feature_129,0.002470354779825645
feature_122,0.002470354779825645
feature_128,0.002470354779825645
feature_130,0.002470354779825645
feature_131,0.002470354779825645
feature_121,0.002470354779825645
feature_127,0.002470354779825645
feature_132,0.002470354779825645
feature_126,0.002470354779825645
feature_133,0.002470354779825645
feature_125,0.002470354779825645
feature_124,0.002470354779825645
feature_134,0.002470354779825645
feature_123,0.002470354779825645
feature_141,0.0027000784311189464
feature_41,0.0027382771076923883
feature_225,0.002882786795473158
feature_220,0.002882786795473158
feature_230,0.002882786795473158
feature_216,0.002882786795473158
feature_208,0.002980236197112607
feature_209,0.002980236197112607
feature_204,0.002980236197112607
feature_207,0.002980236197112607
feature_6,0.003106845352815246
feature_215,0.004210196683570056
feature_94,0.00546959882821616
feature_31,0.0055685607367774725
feature_48,0.0073214970164327655
feature_237,0.007526153077890463
feature_236,0.007526153077890463
feature_235,0.007526153077890463
feature_234,0.007526153077890463
feature_232,0.007526153077890463
feature_233,0.007526153077890463
feature_46,0.008056253105068144
feature_51,0.008224345259207632
feature_75,0.008331761493048618
feature_76,0.008331761493048618
feature_111,0.008630716216046674
feature_201,0.00918429736489974
feature_202,0.00918429736489974
feature_7,0.010067484402958016
feature_99,0.010565860893538104
feature_86,0.01074208590341219
feature_50,0.011519796287888195
feature_42,0.011804800033927542
feature_63,0.01269772180851927
feature_38,0.012704391473748067
feature_16,0.012871543678709107
feature_15,0.012871543678709107
feature_17,0.01566945516069911
feature_19,0.01566945516069911
feature_18,0.015669455160699154
feature_218,0.016419174053972974
feature_219,0.016419174053972974
feature_203,0.01693929852358944
feature_118,0.017634418751903504
feature_47,0.03000282606276381
feature_20,0.03639455125683577
