feature,mean_importance
feature_16,-0.008328922653414606
feature_19,-0.008013019974234514
feature_18,-0.006947652238045343
feature_15,-0.006609329100239281
feature_20,-0.006302824128853013
feature_96,-0.006032829185180111
feature_97,-0.005892063995589369
feature_87,-0.005736380405989028
feature_98,-0.005663823937757351
feature_17,-0.0056513851158586535
feature_105,-0.005196026513334706
feature_14,-0.0049626722692428515
feature_91,-0.004225888681814083
feature_92,-0.004125875857021377
feature_93,-0.0034518954930776945
feature_111,-0.0031013225418589307
feature_253,-0.003000913973481567
feature_90,-0.002864458545362436
feature_94,-0.0027052066282477584
feature_61,-0.002491485559600126
feature_112,-0.00206431997211074
feature_49,-0.0018598025312952294
feature_28,-0.001858548030906526
feature_89,-0.001844480477252297
feature_67,-0.0018233080471492969
feature_51,-0.0016855385780234267
feature_32,-0.001445301693686596
feature_102,-0.0013555348534507905
feature_78,-0.0009984400681111838
feature_250,-0.0009603651849621863
feature_27,-0.0009569611816955037
feature_9,-0.0009336118275216742
feature_85,-0.0008793098507810182
feature_73,-0.0008126723528916413
feature_257,-0.0007828483359825888
feature_72,-0.0006571796636662298
feature_162,-0.0006186004021435209
feature_252,-0.0006179459885455651
feature_218,-0.0005521335254276671
feature_108,-0.0005251588430409849
feature_1,-0.000523929384705557
feature_200,-0.0005199064270515307
feature_2,-0.0005096774271846627
feature_248,-0.0004986816404239924
feature_187,-0.0004655871985382642
feature_237,-0.0004575717294741821
feature_247,-0.0004536668024316626
feature_224,-0.0004286404290453127
feature_107,-0.0004193415865007655
feature_192,-0.00041847542475736965
feature_209,-0.0003118444438881429
feature_13,-0.00030928159444270075
feature_249,-0.00030358061509201396
feature_64,-0.00029643055704775545
feature_144,-0.0002922171440010946
feature_71,-0.0002853595777897011
feature_75,-0.0002660872368135836
feature_113,-0.00025607265871936403
feature_74,-0.00025593653233839663
feature_177,-0.0002445976477866152
feature_202,-0.00023157342671478176
feature_234,-0.00022249410654244793
feature_33,-0.00021827832994152362
feature_251,-0.00021718279596703028
feature_226,-0.00019336032531787063
feature_201,-0.0001909556249618305
feature_181,-0.0001802623728614394
feature_255,-0.00017712534687126525
feature_245,-0.00016809904515324714
feature_159,-0.0001605438742584564
feature_37,-0.00015853499275033655
feature_151,-0.00015664707550271383
feature_138,-0.00015456465186418632
feature_183,-0.0001420086791515729
feature_163,-0.0001392977572344023
feature_214,-0.0001376655914843372
feature_206,-0.00013145690418268075
feature_143,-0.000128045692989609
feature_173,-0.00012244843580262456
feature_176,-0.00012201869572416867
feature_235,-0.0001184046902072744
feature_109,-0.00011822035756561266
feature_186,-0.00011718375506659661
feature_140,-0.00010875842374351574
feature_174,-0.00010666048133762817
feature_167,-0.00010602171789031445
feature_203,-9.758793403928934e-05
feature_238,-9.642998069858688e-05
feature_211,-8.778669255551374e-05
feature_213,-7.954981418252238e-05
feature_185,-7.184415628309626e-05
feature_149,-6.182389250131148e-05
feature_158,-4.795219024242847e-05
feature_170,-2.6915084183087858e-05
feature_171,-1.828067369542552e-05
feature_154,-1.7241788280886183e-05
feature_240,-1.3609474286702117e-05
feature_180,-1.2862238022526285e-05
feature_139,-1.0874878564237633e-05
feature_125,-2.4828921813213612e-06
feature_95,-2.1387249865556512e-06
feature_212,7.1808491546754285e-06
feature_230,9.039729865278901e-06
feature_83,1.0544185740535283e-05
feature_244,1.4853099140532677e-05
feature_29,2.5312945731648106e-05
feature_227,3.776443835421528e-05
feature_172,3.9311751994652865e-05
feature_8,5.011193478621223e-05
feature_79,5.0192141648230935e-05
feature_246,5.4459591796796045e-05
feature_145,5.806892692792331e-05
feature_148,6.196656149457525e-05
feature_70,6.436340450743927e-05
feature_153,7.54341340605924e-05
feature_155,7.813964031655463e-05
feature_164,8.749050629783817e-05
feature_216,0.00010040521580951811
feature_82,0.00011770188073516597
feature_184,0.00014549264069052548
feature_205,0.00014665779037628112
feature_34,0.00014886870647603522
feature_84,0.0001533238944910309
feature_5,0.00015969431680449287
feature_80,0.00016154304011744002
feature_254,0.0001631274471079136
feature_223,0.00016482742094818813
feature_124,0.00016847240621045145
feature_195,0.00017225761751429313
feature_168,0.00017296209904840154
feature_69,0.00017948255088282573
feature_152,0.00018463754629618467
feature_225,0.00018860750886899867
feature_194,0.0001915571144534889
feature_169,0.0001996675496308775
feature_136,0.00019968664957121797
feature_175,0.0002002362333671126
feature_198,0.00020741704020819097
feature_232,0.0002194128168014009
feature_129,0.00021961195999782302
feature_220,0.00022361011139451214
feature_256,0.00022468520170075833
feature_141,0.00022655317872628534
feature_197,0.000229435011861856
feature_142,0.00023583722128299732
feature_128,0.0002368426197538076
feature_178,0.0002370094049465532
feature_166,0.000238556269607626
feature_59,0.00024466031360697026
feature_242,0.0002518776487661301
feature_131,0.0002543144614810311
feature_189,0.0002668492571911152
feature_147,0.0002706797521579318
feature_193,0.00028255691468335173
feature_137,0.0002994474308632311
feature_188,0.0003035791424789602
feature_190,0.0003040801333375587
feature_210,0.0003054476818652452
feature_161,0.00031685176237250534
feature_77,0.0003220045640614178
feature_150,0.0003224391268035642
feature_133,0.0003309741448528136
feature_76,0.00033445239982754504
feature_3,0.00033522459607921996
feature_204,0.00035462976732558715
feature_208,0.0003602304281267399
feature_228,0.00036394754713535703
feature_182,0.0003643969850154249
feature_215,0.0003661546106377367
feature_233,0.000371667173636947
feature_219,0.0003742921804870569
feature_120,0.0003746988903787551
feature_122,0.0003777454293499849
feature_231,0.00041214354474625734
feature_157,0.0004445934084786662
feature_207,0.0004566521931661516
feature_229,0.0004770541013573215
feature_221,0.0004922461601254646
feature_236,0.0005071869354516644
feature_121,0.000519406522833532
feature_68,0.0005224868798782811
feature_117,0.0005290030636075693
feature_179,0.0005430157908735023
feature_196,0.000551666773250048
feature_7,0.0005570479892155422
feature_44,0.0005573776744868697
feature_135,0.000565572420545557
feature_130,0.0005722876013559475
feature_165,0.0005790356859417089
feature_88,0.0005978709076022604
feature_118,0.0006114406471574574
feature_116,0.000617544292249117
feature_134,0.000619987356219065
feature_146,0.0006274349704072258
feature_81,0.0006328382349307215
feature_127,0.0006552771857780915
feature_156,0.0006644273403413337
feature_25,0.0007102270239331965
feature_199,0.0007126843553116214
feature_241,0.0007177342726145675
feature_123,0.000733411912479065
feature_160,0.0007460050123811346
feature_243,0.0007551111747327477
feature_191,0.0007929153011004608
feature_217,0.0007938119976519164
feature_222,0.0008215719180244996
feature_12,0.0008404779331028899
feature_132,0.0009241282766502046
feature_26,0.0009767873034733476
feature_53,0.0009861069838593473
feature_110,0.0009864463205677466
feature_126,0.0010658888782173026
feature_35,0.0011245339671885901
feature_119,0.0011356335850863264
feature_55,0.0011713535923829842
feature_60,0.0012709449141525386
feature_114,0.0012941878891058467
feature_11,0.0013613876024098693
feature_23,0.0015420431841367322
feature_258,0.0016014948063142408
feature_65,0.0017114289904489155
feature_115,0.0017201165192081147
feature_66,0.0017960460882344709
feature_42,0.0017977465190551546
feature_50,0.0018550406041792256
feature_63,0.001858800784733039
feature_40,0.0018823099721402502
feature_52,0.001924086759075272
feature_48,0.0019460689695109056
feature_57,0.0019502330920376566
feature_38,0.00206316237370614
feature_56,0.002364122655467571
feature_47,0.0023684712243410956
feature_58,0.002503702742010727
feature_54,0.0025401038968276613
feature_100,0.0026170975043574574
feature_62,0.0027062223069447945
feature_101,0.0027247935922641853
feature_104,0.002753606108182494
feature_103,0.002956803483701376
feature_36,0.003055861575799357
feature_45,0.003060597972586887
feature_24,0.0033068171782008717
feature_239,0.0035689107020041356
feature_99,0.003599923369240088
feature_21,0.004000284388612174
feature_10,0.004026601647709316
feature_39,0.004246834864453297
feature_46,0.004282805352507602
feature_4,0.004679773111611829
feature_41,0.005163960136413581
feature_106,0.005190505822421376
feature_43,0.005232453570705542
feature_22,0.005534790236763598
feature_31,0.005697698620211989
feature_30,0.0058435965085766204
feature_86,0.00807413268627628
feature_6,0.016629073837448893
