feature,shap_importance
feature_78,0.18223192
feature_61,0.14524505
feature_48,0.07576331
feature_105,0.06362729
feature_45,0.0620359
feature_10,0.055423487
feature_108,0.050241083
feature_17,0.049754992
feature_97,0.04834723
feature_33,0.047719676
feature_29,0.047662567
feature_51,0.047184814
feature_101,0.044691406
feature_9,0.044677295
feature_22,0.04140122
feature_5,0.03971964
feature_27,0.038653463
feature_257,0.03789015
feature_110,0.037857257
feature_37,0.03646479
feature_102,0.036164828
feature_238,0.03414268
feature_104,0.032782275
feature_85,0.032722596
feature_14,0.031453945
feature_114,0.030401098
feature_107,0.029288102
feature_252,0.02883251
feature_4,0.0282039
feature_49,0.027916817
feature_30,0.027479617
feature_76,0.026870416
feature_11,0.026628975
feature_93,0.026198173
feature_77,0.0260306
feature_94,0.024302384
feature_24,0.024224082
feature_111,0.024114918
feature_7,0.022569934
feature_138,0.021481354
feature_72,0.021457888
feature_84,0.02053209
feature_106,0.020152146
feature_154,0.019692063
feature_68,0.01938687
feature_86,0.019058395
feature_69,0.018721495
feature_44,0.017661514
feature_75,0.017581642
feature_96,0.016954461
feature_31,0.015097368
feature_21,0.014796903
feature_103,0.014308369
feature_112,0.0138605945
feature_99,0.013204071
feature_52,0.013143765
feature_98,0.01186162
feature_87,0.011649692
feature_3,0.01151445
feature_6,0.011455671
feature_39,0.011260836
feature_28,0.01123628
feature_32,0.0111537315
feature_81,0.010952706
feature_46,0.010917245
feature_26,0.010856333
feature_35,0.010486232
feature_15,0.010275526
feature_100,0.010102397
feature_34,0.008924561
feature_254,0.008021323
feature_113,0.0074405433
feature_83,0.006921331
feature_67,0.006779211
feature_79,0.005939226
feature_18,0.0058648116
feature_25,0.0058361003
feature_12,0.0056577194
feature_36,0.0052741286
feature_244,0.005122511
feature_80,0.00475152
feature_43,0.0042714844
feature_63,0.0042086532
feature_23,0.004024555
feature_50,0.0031981003
feature_115,0.0021068472
feature_1,0.0018031421
feature_213,0.0015372375
feature_214,0.0014296394
feature_217,0.0012518356
feature_42,0.0010130489
feature_41,0.0006517838
feature_47,0.0006106815
feature_82,0.00033175363
feature_109,0.00010034513
feature_203,0.0
feature_198,0.0
feature_199,0.0
feature_200,0.0
feature_201,0.0
feature_202,0.0
feature_88,0.0
feature_204,0.0
feature_205,0.0
feature_207,0.0
feature_208,0.0
feature_209,0.0
feature_210,0.0
feature_211,0.0
feature_212,0.0
feature_215,0.0
feature_206,0.0
feature_197,0.0
feature_196,0.0
feature_195,0.0
feature_178,0.0
feature_179,0.0
feature_180,0.0
feature_181,0.0
feature_182,0.0
feature_183,0.0
feature_184,0.0
feature_185,0.0
feature_186,0.0
feature_187,0.0
feature_188,0.0
feature_189,0.0
feature_190,0.0
feature_191,0.0
feature_192,0.0
feature_193,0.0
feature_194,0.0
feature_216,0.0
feature_220,0.0
feature_218,0.0
feature_219,0.0
feature_240,0.0
feature_241,0.0
feature_242,0.0
feature_243,0.0
feature_16,0.0
feature_245,0.0
feature_246,0.0
feature_247,0.0
feature_248,0.0
feature_249,0.0
feature_250,0.0
feature_251,0.0
feature_13,0.0
feature_253,0.0
feature_8,0.0
feature_255,0.0
feature_256,0.0
feature_239,0.0
feature_19,0.0
feature_237,0.0
feature_227,0.0
feature_176,0.0
feature_221,0.0
feature_222,0.0
feature_223,0.0
feature_224,0.0
feature_225,0.0
feature_226,0.0
feature_228,0.0
feature_236,0.0
feature_229,0.0
feature_230,0.0
feature_231,0.0
feature_232,0.0
feature_233,0.0
feature_234,0.0
feature_235,0.0
feature_177,0.0
feature_173,0.0
feature_175,0.0
feature_53,0.0
feature_116,0.0
feature_117,0.0
feature_118,0.0
feature_119,0.0
feature_120,0.0
feature_121,0.0
feature_122,0.0
feature_123,0.0
feature_124,0.0
feature_125,0.0
feature_126,0.0
feature_127,0.0
feature_128,0.0
feature_2,0.0
feature_130,0.0
feature_131,0.0
feature_132,0.0
feature_40,0.0
feature_54,0.0
feature_174,0.0
feature_55,0.0
feature_90,0.0
feature_91,0.0
feature_92,0.0
feature_74,0.0
feature_95,0.0
feature_73,0.0
feature_71,0.0
feature_70,0.0
feature_66,0.0
feature_65,0.0
feature_64,0.0
feature_62,0.0
feature_60,0.0
feature_59,0.0
feature_58,0.0
feature_57,0.0
feature_56,0.0
feature_133,0.0
feature_134,0.0
feature_135,0.0
feature_136,0.0
feature_157,0.0
feature_158,0.0
feature_159,0.0
feature_160,0.0
feature_161,0.0
feature_162,0.0
feature_163,0.0
feature_164,0.0
feature_165,0.0
feature_166,0.0
feature_167,0.0
feature_168,0.0
feature_169,0.0
feature_170,0.0
feature_171,0.0
feature_172,0.0
feature_89,0.0
feature_156,0.0
feature_155,0.0
feature_20,0.0
feature_144,0.0
feature_137,0.0
feature_38,0.0
feature_139,0.0
feature_140,0.0
feature_141,0.0
feature_142,0.0
feature_143,0.0
feature_145,0.0
feature_153,0.0
feature_146,0.0
feature_147,0.0
feature_148,0.0
feature_149,0.0
feature_150,0.0
feature_151,0.0
feature_152,0.0
feature_129,0.0
