feature,mean_importance
feature_108,-0.0007517196172203144
feature_30,-0.0003944649821209789
feature_110,-0.00034958384008135777
feature_69,-0.0003480716417717522
feature_101,-0.0003010893262933023
feature_28,-0.00029889381673362523
feature_95,-0.00027773472253794784
feature_8,-0.0002629960378230267
feature_112,-0.0002539434703423105
feature_14,-0.0002460019316400941
feature_40,-0.00024127659248491807
feature_7,-0.00022841172902550167
feature_138,-0.0002243950307674325
feature_70,-0.00021186498723415603
feature_257,-0.00019733121590648217
feature_105,-0.00019073203511881242
feature_254,-0.00018757481177346104
feature_34,-0.00018731977849826276
feature_35,-0.00018030086531594102
feature_24,-0.0001672914318621821
feature_233,-0.00015501385042619996
feature_20,-0.00015492840574885536
feature_43,-0.0001335108094232762
feature_81,-0.00013076125627947688
feature_37,-0.00012949328531179914
feature_102,-0.00012510380994100733
feature_238,-0.00011828291986148987
feature_4,-0.0001157811432736966
feature_10,-0.00010739685130332078
feature_246,-0.00010732254346844661
feature_41,-0.0001062262473121689
feature_42,-8.906722147389301e-05
feature_60,-7.087743690937786e-05
feature_206,-6.339896730336302e-05
feature_36,-5.24312875512023e-05
feature_49,-4.4878428291927897e-05
feature_39,-3.6639608179778185e-05
feature_107,-3.267962574079464e-05
feature_23,-2.687547670457979e-05
feature_11,-2.6812841071099936e-05
feature_9,-1.980614078472831e-05
feature_71,-1.7708929560766862e-05
feature_6,-1.718417123942606e-05
feature_87,-1.525092363734437e-05
feature_142,-3.3306690738754695e-17
feature_26,-3.3306690738754695e-17
feature_55,-2.2204460492503132e-17
feature_202,-2.2204460492503132e-17
feature_176,-2.2204460492503132e-17
feature_29,-2.2204460492503132e-17
feature_247,-2.2204460492503132e-17
feature_218,-2.2204460492503132e-17
feature_153,-2.2204460492503132e-17
feature_217,-2.2204460492503132e-17
feature_149,-2.2204460492503132e-17
feature_209,-2.2204460492503132e-17
feature_158,-2.2204460492503132e-17
feature_201,-1.1102230246251566e-17
feature_204,-1.1102230246251566e-17
feature_91,-1.1102230246251566e-17
feature_169,-1.1102230246251566e-17
feature_140,-1.1102230246251566e-17
feature_156,-1.1102230246251566e-17
feature_210,-1.1102230246251566e-17
feature_183,-1.1102230246251566e-17
feature_144,-1.1102230246251566e-17
feature_199,-1.1102230246251566e-17
feature_127,-1.1102230246251566e-17
feature_196,-1.1102230246251566e-17
feature_132,-1.1102230246251566e-17
feature_194,-1.1102230246251566e-17
feature_168,-1.1102230246251566e-17
feature_180,-1.1102230246251566e-17
feature_148,-1.1102230246251566e-17
feature_165,-1.1102230246251566e-17
feature_115,-1.1102230246251566e-17
feature_117,-1.1102230246251566e-17
feature_119,-1.1102230246251566e-17
feature_184,-1.1102230246251566e-17
feature_96,-1.1102230246251566e-17
feature_164,-1.1102230246251566e-17
feature_159,-1.1102230246251566e-17
feature_213,-1.1102230246251566e-17
feature_59,-1.1102230246251566e-17
feature_47,-1.1102230246251566e-17
feature_19,-1.1102230246251566e-17
feature_248,-1.1102230246251566e-17
feature_224,-1.1102230246251566e-17
feature_223,-1.1102230246251566e-17
feature_242,-1.1102230246251566e-17
feature_234,-1.1102230246251566e-17
feature_15,-1.1102230246251566e-17
feature_240,-1.1102230246251566e-17
feature_252,-1.1102230246251566e-17
feature_73,-1.1102230246251566e-17
feature_50,-1.1102230246251566e-17
feature_237,-1.1102230246251566e-17
feature_230,-1.1102230246251566e-17
feature_241,0.0
feature_178,0.0
feature_179,0.0
feature_239,0.0
feature_175,0.0
feature_174,0.0
feature_173,0.0
feature_181,0.0
feature_172,0.0
feature_177,0.0
feature_170,0.0
feature_243,0.0
feature_244,0.0
feature_245,0.0
feature_167,0.0
feature_166,0.0
feature_249,0.0
feature_251,0.0
feature_163,0.0
feature_253,0.0
feature_162,0.0
feature_161,0.0
feature_255,0.0
feature_160,0.0
feature_171,0.0
feature_182,0.0
feature_186,0.0
feature_185,0.0
feature_214,0.0
feature_208,0.0
feature_207,0.0
feature_215,0.0
feature_216,0.0
feature_205,0.0
feature_219,0.0
feature_203,0.0
feature_220,0.0
feature_221,0.0
feature_222,0.0
feature_200,0.0
feature_198,0.0
feature_197,0.0
feature_225,0.0
feature_226,0.0
feature_227,0.0
feature_211,0.0
feature_187,0.0
feature_235,0.0
feature_188,0.0
feature_189,0.0
feature_190,0.0
feature_236,0.0
feature_191,0.0
feature_192,0.0
feature_231,0.0
feature_193,0.0
feature_229,0.0
feature_228,0.0
feature_195,0.0
feature_232,0.0
feature_212,0.0
feature_129,0.0
feature_155,0.0
feature_118,0.0
feature_116,0.0
feature_18,0.0
feature_25,0.0
feature_31,0.0
feature_106,0.0
feature_38,0.0
feature_44,0.0
feature_53,0.0
feature_54,0.0
feature_56,0.0
feature_57,0.0
feature_93,0.0
feature_92,0.0
feature_90,0.0
feature_58,0.0
feature_88,0.0
feature_62,0.0
feature_64,0.0
feature_157,0.0
feature_65,0.0
feature_68,0.0
feature_121,0.0
feature_120,0.0
feature_123,0.0
feature_13,0.0
feature_152,0.0
feature_151,0.0
feature_150,0.0
feature_147,0.0
feature_146,0.0
feature_145,0.0
feature_143,0.0
feature_141,0.0
feature_139,0.0
feature_137,0.0
feature_122,0.0
feature_136,0.0
feature_135,0.0
feature_134,0.0
feature_133,0.0
feature_131,0.0
feature_130,0.0
feature_256,0.0
feature_128,0.0
feature_126,0.0
feature_125,0.0
feature_124,0.0
feature_74,0.0
feature_82,1.0667147129939103e-06
feature_33,3.748127526725931e-06
feature_99,8.138156263515217e-06
feature_1,9.321319339450351e-06
feature_89,1.8028900593070053e-05
feature_250,1.8089207992799673e-05
feature_2,3.5623023737985096e-05
feature_113,4.842719475349755e-05
feature_63,5.1110211746285826e-05
feature_79,6.43954296627336e-05
feature_104,7.365987563524578e-05
feature_84,7.398586552660457e-05
feature_22,8.884594998694872e-05
feature_67,0.00010378370787031966
feature_51,0.00011042966108987251
feature_86,0.00013364524478067796
feature_3,0.000169340229956616
feature_154,0.00017676737708245406
feature_100,0.00018097848037432752
feature_94,0.000185692757015421
feature_111,0.00020214779351913626
feature_114,0.00020991114385168208
feature_103,0.0002502826390825108
feature_46,0.0002565002716412801
feature_97,0.0002702009348220291
feature_32,0.0002750381342347619
feature_80,0.00027913795740184264
feature_27,0.00030385140586365323
feature_77,0.00033303682414113076
feature_16,0.00035948204987789055
feature_98,0.00048693726013036007
feature_85,0.0005287466738026936
feature_78,0.0005653144019228451
feature_76,0.0005845893283314418
feature_72,0.0005976309081916487
feature_83,0.0006098383726540369
feature_66,0.0006798369239872759
feature_109,0.0006840077008368972
feature_48,0.0007355745989040208
feature_12,0.0007623133734169119
feature_21,0.0007744525501585109
feature_45,0.0008517330927217071
feature_17,0.0012262887316289218
feature_52,0.0018706172174589141
feature_61,0.0021090434856622987
feature_75,0.003105619829695794
feature_5,0.00501003373700667
