feature,mean_importance
feature_34,-0.0003045300126075512
feature_10,-4.9294996261584066e-05
feature_86,-2.7518618106836534e-05
feature_57,-1.1478626728034235e-05
feature_1,0.0
feature_72,0.0
feature_71,0.0
feature_70,0.0
feature_69,0.0
feature_68,0.0
feature_67,0.0
feature_66,0.0
feature_64,0.0
feature_73,0.0
feature_63,0.0
feature_62,0.0
feature_61,0.0
feature_60,0.0
feature_59,0.0
feature_58,0.0
feature_55,0.0
feature_54,0.0
feature_65,0.0
feature_74,0.0
feature_76,0.0
feature_53,0.0
feature_98,0.0
feature_97,0.0
feature_96,0.0
feature_95,0.0
feature_94,0.0
feature_93,0.0
feature_92,0.0
feature_91,0.0
feature_90,0.0
feature_75,0.0
feature_89,0.0
feature_87,0.0
feature_85,0.0
feature_84,0.0
feature_82,0.0
feature_81,0.0
feature_80,0.0
feature_79,0.0
feature_78,0.0
feature_77,0.0
feature_88,0.0
feature_52,0.0
feature_50,0.0
feature_100,0.0
feature_30,0.0
feature_29,0.0
feature_28,0.0
feature_27,0.0
feature_12,0.0
feature_13,0.0
feature_7,0.0
feature_24,0.0
feature_22,0.0
feature_21,0.0
feature_14,0.0
feature_19,0.0
feature_18,0.0
feature_15,0.0
feature_23,0.0
feature_32,0.0
feature_33,0.0
feature_35,0.0
feature_2,0.0
feature_48,0.0
feature_47,0.0
feature_3,0.0
feature_5,0.0
feature_6,0.0
feature_44,0.0
feature_43,0.0
feature_41,0.0
feature_40,0.0
feature_39,0.0
feature_38,0.0
feature_37,0.0
feature_36,0.0
feature_17,0.0
feature_16,0.0
feature_42,8.844709396371719e-06
feature_25,1.5003585815409615e-05
feature_46,2.309582233430696e-05
feature_31,3.645091056827532e-05
feature_56,7.978138923645517e-05
feature_26,0.00014422650337218013
feature_99,0.0002578644514084294
feature_83,0.00033783502578736967
feature_20,0.0003802647352218802
feature_11,0.0006267167210579183
feature_51,0.0006756540894508501
feature_45,0.00080193178653718
feature_4,0.0012038839697838144
feature_8,0.0014544392466545376
feature_49,0.0016160555601119953
feature_9,0.0026027680158615006
