feature,shap_importance
feature_9,0.10458475
feature_26,0.07954094
feature_10,0.07745169
feature_34,0.074129246
feature_71,0.056755442
feature_51,0.053746033
feature_94,0.034579538
feature_11,0.030328305
feature_55,0.029820511
feature_19,0.02947137
feature_4,0.027011111
feature_61,0.02555012
feature_16,0.023646595
feature_73,0.022759901
feature_86,0.019230874
feature_20,0.018750237
feature_83,0.018535482
feature_39,0.016204432
feature_1,0.01589841
feature_52,0.01535039
feature_8,0.014874036
feature_45,0.014654093
feature_82,0.014638447
feature_18,0.014400355
feature_2,0.0140681565
feature_49,0.013778405
feature_29,0.013763804
feature_46,0.00955131
feature_99,0.006850429
feature_47,0.006731421
feature_56,0.005762751
feature_95,0.00499434
feature_68,0.00455875
feature_31,0.0043860343
feature_53,0.003901761
feature_69,0.0038705198
feature_25,0.0033168318
feature_38,0.003306642
feature_37,0.0026529627
feature_13,0.0021285499
feature_23,0.0017433059
feature_17,0.0012754784
feature_42,0.0012234085
feature_57,0.0011925414
feature_5,0.0010801565
feature_14,0.0004899145
feature_77,0.00034236378
feature_3,4.787374e-05
feature_74,0.0
feature_7,0.0
feature_76,0.0
feature_81,0.0
feature_75,0.0
feature_80,0.0
feature_79,0.0
feature_78,0.0
feature_85,0.0
feature_6,0.0
feature_84,0.0
feature_98,0.0
feature_87,0.0
feature_88,0.0
feature_89,0.0
feature_90,0.0
feature_91,0.0
feature_92,0.0
feature_93,0.0
feature_96,0.0
feature_97,0.0
feature_72,0.0
feature_60,0.0
feature_70,0.0
feature_43,0.0
feature_22,0.0
feature_24,0.0
feature_27,0.0
feature_28,0.0
feature_30,0.0
feature_32,0.0
feature_33,0.0
feature_15,0.0
feature_35,0.0
feature_36,0.0
feature_40,0.0
feature_41,0.0
feature_44,0.0
feature_67,0.0
feature_48,0.0
feature_50,0.0
feature_54,0.0
feature_58,0.0
feature_59,0.0
feature_21,0.0
feature_12,0.0
feature_62,0.0
feature_63,0.0
feature_64,0.0
feature_65,0.0
feature_66,0.0
feature_100,0.0
