feature,mean_importance
feature_72,-0.0001914097164123385
feature_100,-0.00012983149950962503
feature_16,-0.00012530329951294662
feature_94,-0.00012401753647144352
feature_36,-0.00010867383428425637
feature_15,-0.00010783482562313207
feature_91,-0.00010696814640920316
feature_1,-0.00010198398583527446
feature_32,-9.244684246016988e-05
feature_7,-8.691841931061096e-05
feature_34,-8.467709809434343e-05
feature_89,-6.847142145078866e-05
feature_6,-6.797520959178627e-05
feature_83,-6.599341866173614e-05
feature_46,-6.519106118612062e-05
feature_4,-6.06318445097509e-05
feature_75,-5.655482949775692e-05
feature_98,-5.3324609822857914e-05
feature_56,-5.175211879384634e-05
feature_20,-5.102424413183648e-05
feature_29,-4.737982833735721e-05
feature_99,-4.437205576615089e-05
feature_54,-4.0990594944845246e-05
feature_50,-4.041697797965149e-05
feature_62,-4.001837597353841e-05
feature_73,-3.969769664722289e-05
feature_76,-3.4123697796362154e-05
feature_26,-3.1608326950638424e-05
feature_38,-2.8071456709977128e-05
feature_5,-2.7664610047350992e-05
feature_77,-2.3420680850305686e-05
feature_19,-2.1343697398412686e-05
feature_47,-1.978942236795511e-05
feature_74,-9.241516689484363e-06
feature_39,-8.816779583398216e-06
feature_63,-4.851238600167562e-06
feature_25,-4.839507087117667e-06
feature_64,-3.7499676375674086e-06
feature_42,-3.4635560856477456e-06
feature_8,-2.80014230855663e-06
feature_68,-2.2119287373056907e-06
feature_51,1.1876912788810757e-07
feature_96,6.739707185010601e-07
feature_30,5.3112319828851895e-06
feature_81,5.3508409924907244e-06
feature_49,5.467004671100284e-06
feature_12,5.605228394656159e-06
feature_48,6.124890891534562e-06
feature_33,6.53445918661344e-06
feature_61,7.12981555857084e-06
feature_40,8.135998031955083e-06
feature_60,8.676641254012907e-06
feature_86,9.203248960454325e-06
feature_9,1.2067318448516495e-05
feature_71,1.5336390335818352e-05
feature_13,1.738894292775406e-05
feature_41,1.8550223299773627e-05
feature_78,2.3932806546067554e-05
feature_18,3.139289269253887e-05
feature_65,3.3774496403227164e-05
feature_45,3.550451931662035e-05
feature_82,3.6527517894868745e-05
feature_27,3.667258761805847e-05
feature_66,3.717363012816222e-05
feature_10,3.767263531468945e-05
feature_95,3.8973361797634e-05
feature_85,4.056392433542389e-05
feature_59,4.066659996424526e-05
feature_80,4.886223764619668e-05
feature_2,5.172883039996634e-05
feature_92,5.427463351261874e-05
feature_69,5.960771201944937e-05
feature_43,6.074440313519336e-05
feature_88,6.124623523420247e-05
feature_3,6.398751923415435e-05
feature_70,7.056860066223525e-05
feature_79,7.225395292187464e-05
feature_55,7.261834530531974e-05
feature_90,7.301581160004122e-05
feature_35,7.621347837913906e-05
feature_87,8.247030075316796e-05
feature_14,9.004101023109001e-05
feature_28,9.328181811871784e-05
feature_24,9.648659803191961e-05
feature_58,0.00010014783065397382
feature_21,0.00010277254559203364
feature_53,0.00010882136551646494
feature_44,0.00011472102804621631
feature_17,0.00012656059286899612
feature_57,0.00013178674838463245
feature_11,0.0001402344014818313
feature_37,0.00015285461427221313
feature_52,0.00015293051860501005
feature_84,0.00015329578746234863
feature_23,0.00016353911895152783
feature_93,0.00016697322528593794
feature_67,0.000173942676381289
feature_22,0.00017444768311078996
feature_31,0.00019164900173136435
feature_97,0.00025971944746194797
