feature,shap_importance
feature_7,0.01714322159474561
feature_80,0.01557313547793769
feature_81,0.014813888583852472
feature_26,0.01445988160924225
feature_11,0.013524489185493085
feature_71,0.012492931160464286
feature_9,0.011249399697938336
feature_52,0.009749440829437012
feature_20,0.008398095489334245
feature_46,0.006562366660221281
feature_2,0.005905985871151565
feature_63,0.00586761751986255
feature_49,0.0057753628130075415
feature_53,0.005648334795340698
feature_61,0.0054484912675358335
feature_55,0.005423250954333875
feature_86,0.005100752726514614
feature_34,0.004173974835479777
feature_91,0.004091284417505974
feature_83,0.0037284978198974506
feature_51,0.0037228906139279813
feature_39,0.003117714759058432
feature_24,0.0018100165753676158
feature_94,0.0016364784243587535
feature_22,0.0011330548596453515
feature_4,0.0009395202587716512
feature_68,0.0
feature_67,0.0
feature_93,0.0
feature_66,0.0
feature_65,0.0
feature_95,0.0
feature_64,0.0
feature_70,0.0
feature_96,0.0
feature_97,0.0
feature_98,0.0
feature_62,0.0
feature_99,0.0
feature_69,0.0
feature_72,0.0
feature_92,0.0
feature_79,0.0
feature_84,0.0
feature_87,0.0
feature_88,0.0
feature_82,0.0
feature_89,0.0
feature_59,0.0
feature_78,0.0
feature_85,0.0
feature_77,0.0
feature_90,0.0
feature_76,0.0
feature_75,0.0
feature_74,0.0
feature_73,0.0
feature_60,0.0
feature_1,0.0
feature_58,0.0
feature_29,0.0
feature_27,0.0
feature_25,0.0
feature_23,0.0
feature_21,0.0
feature_19,0.0
feature_18,0.0
feature_17,0.0
feature_16,0.0
feature_15,0.0
feature_14,0.0
feature_13,0.0
feature_12,0.0
feature_10,0.0
feature_8,0.0
feature_6,0.0
feature_5,0.0
feature_3,0.0
feature_28,0.0
feature_30,0.0
feature_57,0.0
feature_31,0.0
feature_56,0.0
feature_54,0.0
feature_50,0.0
feature_48,0.0
feature_47,0.0
feature_45,0.0
feature_44,0.0
feature_43,0.0
feature_42,0.0
feature_41,0.0
feature_40,0.0
feature_38,0.0
feature_37,0.0
feature_36,0.0
feature_35,0.0
feature_33,0.0
feature_32,0.0
feature_100,0.0
