feature,shap_importance
feature_8,0.10407308539499306
feature_78,0.07548947022782906
feature_6,0.07362871998502667
feature_119,0.017274965873973848
feature_126,0.00738113293125234
feature_95,0.0
feature_90,0.0
feature_92,0.0
feature_93,0.0
feature_94,0.0
feature_1,0.0
feature_96,0.0
feature_89,0.0
feature_98,0.0
feature_100,0.0
feature_101,0.0
feature_97,0.0
feature_87,0.0
feature_88,0.0
feature_104,0.0
feature_86,0.0
feature_85,0.0
feature_84,0.0
feature_83,0.0
feature_80,0.0
feature_79,0.0
feature_77,0.0
feature_75,0.0
feature_103,0.0
feature_108,0.0
feature_105,0.0
feature_120,0.0
feature_135,0.0
feature_133,0.0
feature_132,0.0
feature_131,0.0
feature_129,0.0
feature_128,0.0
feature_127,0.0
feature_125,0.0
feature_122,0.0
feature_121,0.0
feature_118,0.0
feature_106,0.0
feature_117,0.0
feature_116,0.0
feature_115,0.0
feature_114,0.0
feature_113,0.0
feature_112,0.0
feature_111,0.0
feature_110,0.0
feature_109,0.0
feature_72,0.0
feature_73,0.0
feature_71,0.0
feature_2,0.0
feature_70,0.0
feature_36,0.0
feature_34,0.0
feature_32,0.0
feature_31,0.0
feature_29,0.0
feature_28,0.0
feature_27,0.0
feature_26,0.0
feature_25,0.0
feature_24,0.0
feature_23,0.0
feature_21,0.0
feature_17,0.0
feature_16,0.0
feature_15,0.0
feature_14,0.0
feature_12,0.0
feature_10,0.0
feature_9,0.0
feature_7,0.0
feature_5,0.0
feature_4,0.0
feature_3,0.0
feature_37,0.0
feature_38,0.0
feature_39,0.0
feature_54,0.0
feature_69,0.0
feature_67,0.0
feature_66,0.0
feature_65,0.0
feature_62,0.0
feature_61,0.0
feature_60,0.0
feature_58,0.0
feature_56,0.0
feature_55,0.0
feature_52,0.0
feature_40,0.0
feature_51,0.0
feature_50,0.0
feature_49,0.0
feature_48,0.0
feature_47,0.0
feature_46,0.0
feature_44,0.0
feature_43,0.0
feature_42,0.0
feature_41,0.0
feature_136,0.0
