feature,mean_importance
feature_88,-0.001758860807259155
feature_58,-0.001368942007745355
feature_71,-0.0007922384763330292
feature_51,-0.0007658887158034089
feature_79,-0.000729837060811378
feature_37,-0.0007287840708982473
feature_127,-0.0006657716395157109
feature_24,-0.0006165738805900434
feature_85,-0.0005551994965149243
feature_101,-0.0005344209090413443
feature_116,-0.0004957123987465728
feature_70,-0.0004921592080519455
feature_97,-0.00045481593481631053
feature_46,-0.000413233752302844
feature_48,-0.0003931939320633404
feature_28,-0.00034755261815888616
feature_108,-0.00029942572552295045
feature_61,-0.000298139899248806
feature_15,-0.00028545537985174007
feature_114,-0.00022205640348231802
feature_3,-0.00021422275040707816
feature_65,-0.0001864517618067829
feature_120,-0.00018456398283723808
feature_54,-0.00017061993219649185
feature_118,-0.0001475255536604214
feature_129,-0.00013753647507721566
feature_75,-0.00012196468411900252
feature_122,-0.00011497468706975767
feature_131,-6.890878858758497e-05
feature_47,-5.64282972412844e-05
feature_49,-3.168389364904822e-05
feature_9,-1.0468165943300356e-05
feature_117,0.0
feature_133,0.0
feature_106,3.4318505628250226e-05
feature_4,3.7821960800488164e-05
feature_103,5.7923133612192146e-05
feature_31,8.158077517401718e-05
feature_135,9.283183741446433e-05
feature_26,0.00010599868863012674
feature_44,0.00010602436807851667
feature_73,0.00011653513238802926
feature_41,0.00012064969529881341
feature_121,0.0001850097748942403
feature_69,0.00019070944187682404
feature_16,0.00020283423991880324
feature_111,0.00020672942959678586
feature_100,0.00021220662602576822
feature_115,0.00023534384915848693
feature_55,0.00023782087829014032
feature_56,0.00024939771396672585
feature_34,0.0002856471065716404
feature_98,0.0003056721860240863
feature_52,0.0003147553416774196
feature_27,0.00031624550242221884
feature_92,0.00034277349068494444
feature_132,0.0003458016238132355
feature_86,0.0003580098219079897
feature_60,0.0003764809823232795
feature_84,0.000391124533188858
feature_42,0.00039647301233636245
feature_25,0.0004033225466744561
feature_67,0.00041513597969586866
feature_112,0.00041752584768601776
feature_136,0.0005191080974203732
feature_62,0.0005483189361488394
feature_32,0.0005702051240138673
feature_1,0.0005951163134891857
feature_38,0.0006103127980197076
feature_83,0.0006483586748877058
feature_94,0.0006638076624859935
feature_78,0.0006863259868344462
feature_77,0.0006912506005317453
feature_90,0.0007063751109536831
feature_125,0.0007708678016481896
feature_10,0.0007897055728950831
feature_89,0.0008223499212696827
feature_113,0.0008771398164784782
feature_66,0.0009546247491770465
feature_17,0.0009688367716232937
feature_104,0.0010162020014863105
feature_23,0.0010309425642079928
feature_29,0.0010756471883821561
feature_39,0.001111523113963697
feature_105,0.0011920932556606534
feature_12,0.0012088300667444595
feature_95,0.0012497213922243455
feature_110,0.0013207536415244191
feature_36,0.001490306414954734
feature_72,0.001532293111605032
feature_87,0.0015878743054917655
feature_50,0.0017217339059363735
feature_43,0.0018259083694323718
feature_96,0.0018443621173467317
feature_5,0.0018444004336004793
feature_14,0.001893450385976081
feature_128,0.0019225920489061687
feature_80,0.001984021058536167
feature_7,0.0022193486819084727
feature_93,0.0023715920171395234
feature_109,0.002443253294247727
feature_119,0.002630369811072364
feature_2,0.0027884078400843837
feature_21,0.0029408221798550736
feature_126,0.0029892262504788826
feature_40,0.004306625882038872
feature_6,0.045171618896818776
feature_8,0.08998082314111963
