feature,mean_importance
feature_125,-0.0007860257059336462
feature_27,-0.0006529273107648504
feature_34,-0.0005696941718459803
feature_72,-0.0004531800135970654
feature_110,-0.0004517685294151752
feature_12,-0.0004404246464372319
feature_109,-0.00039729161262516135
feature_58,-0.0003729325592518373
feature_48,-0.00034062191843993174
feature_114,-0.0003402812808752431
feature_83,-0.00033928245306018566
feature_127,-0.000334355998039304
feature_70,-0.0003266924887896039
feature_55,-0.00030928376764065567
feature_10,-0.0003081630602479457
feature_44,-0.00028858187049629613
feature_116,-0.00023959972560410047
feature_38,-0.00021412128359084016
feature_21,-0.0002118565693498109
feature_41,-0.0002089077666402428
feature_115,-0.0001795793674886692
feature_23,-0.0001652013242245287
feature_32,-0.0001014458596706902
feature_95,-7.411140501503155e-05
feature_121,-6.683224141601496e-05
feature_65,-6.550811082126629e-05
feature_136,-5.9965428710007096e-05
feature_92,-5.162495821717794e-05
feature_36,-3.934205323463669e-05
feature_118,-3.376860469583853e-05
feature_61,-2.758422195916488e-05
feature_85,-2.6001481711923623e-05
feature_106,-2.0770101249278915e-05
feature_73,-2.0505863428166293e-05
feature_25,-1.0636341571856888e-05
feature_112,-9.370344877290825e-06
feature_117,0.0
feature_103,0.0
feature_133,0.0
feature_26,0.0
feature_15,3.727467358038972e-06
feature_4,6.013509631075387e-06
feature_75,2.6297363638860816e-05
feature_24,4.312061518423338e-05
feature_135,4.3409232795177385e-05
feature_89,4.587265998119427e-05
feature_60,4.7854216396747695e-05
feature_98,4.946996718637742e-05
feature_47,5.344882607456469e-05
feature_104,5.422185212369257e-05
feature_52,5.949369445437114e-05
feature_56,7.115263491863644e-05
feature_96,9.531422406430234e-05
feature_67,0.00010374760329716626
feature_122,0.00010628136098382868
feature_97,0.00011168648004529213
feature_77,0.0001289675280451208
feature_14,0.00016093177422875636
feature_90,0.00016732235550873665
feature_9,0.00016853966563934453
feature_69,0.00016892999261612917
feature_111,0.00017010029554362927
feature_100,0.00019610053747889377
feature_79,0.00019835724234573693
feature_5,0.00020603295415633216
feature_29,0.00020744880810374955
feature_129,0.00024709028750651284
feature_84,0.0002580388113855747
feature_31,0.0002702886939048188
feature_28,0.000282188817858664
feature_2,0.00030392669364804893
feature_132,0.000315167966484986
feature_113,0.00032871258556839146
feature_101,0.00033242027163500333
feature_62,0.0003374982476233912
feature_16,0.0003616192787884831
feature_120,0.0003818150490521921
feature_88,0.00038234606981271126
feature_128,0.0003886752583085906
feature_37,0.00039364179819818547
feature_105,0.00040697923153636405
feature_51,0.0005040962323545894
feature_17,0.0005143322363495128
feature_40,0.0005290404856204578
feature_86,0.0005662011444568016
feature_108,0.0005836360022424935
feature_126,0.0006718963697552427
feature_43,0.0007253981962799472
feature_3,0.0007286101318895177
feature_80,0.000830168224126071
feature_39,0.0008531249284743803
feature_131,0.0008787677779793279
feature_94,0.0008903358295559328
feature_1,0.001019628413021545
feature_42,0.0010468598768114568
feature_49,0.0013952996306120901
feature_50,0.0014152591139077408
feature_119,0.0014227747231721154
feature_71,0.0014526300966739125
feature_46,0.0014693594872950966
feature_54,0.0016918252997099703
feature_7,0.0017356291502713672
feature_78,0.001792564825713594
feature_66,0.0024384039551018865
feature_87,0.0028796196147799157
feature_93,0.0032590435221790948
feature_6,0.043502321352809625
feature_8,0.058368482202291426
