feature,shap_importance
feature_8,0.44168666
feature_6,0.3237227
feature_5,0.0643443
feature_66,0.061891507
feature_78,0.05747337
feature_40,0.05356793
feature_1,0.04630876
feature_87,0.044329748
feature_42,0.044219438
feature_93,0.03691105
feature_2,0.035233658
feature_119,0.03280107
feature_34,0.03054473
feature_3,0.030407188
feature_7,0.029685019
feature_50,0.02935352
feature_72,0.026622681
feature_127,0.026129501
feature_126,0.02579223
feature_96,0.024232438
feature_113,0.024015179
feature_80,0.023939842
feature_88,0.023568813
feature_112,0.023543373
feature_49,0.023271844
feature_97,0.023167208
feature_125,0.023021888
feature_46,0.022519998
feature_29,0.021159524
feature_58,0.02109272
feature_54,0.020114869
feature_98,0.020009115
feature_104,0.01967099
feature_17,0.019401625
feature_114,0.019284181
feature_39,0.019275567
feature_94,0.017132223
feature_92,0.016518572
feature_28,0.015659617
feature_83,0.015014225
feature_36,0.014948126
feature_71,0.014396899
feature_115,0.014346371
feature_128,0.014262353
feature_131,0.013204493
feature_23,0.013118564
feature_70,0.012764578
feature_105,0.012241323
feature_51,0.011846249
feature_116,0.010758786
feature_100,0.0107268775
feature_32,0.010331157
feature_27,0.010074045
feature_136,0.009921831
feature_43,0.009295592
feature_10,0.0092311315
feature_132,0.008783366
feature_90,0.008544981
feature_52,0.008378879
feature_108,0.0077462764
feature_41,0.0076325135
feature_25,0.007282366
feature_69,0.0066019674
feature_110,0.00658553
feature_48,0.006487036
feature_106,0.0064436165
feature_120,0.006356414
feature_118,0.006311458
feature_37,0.006222068
feature_109,0.0061932043
feature_62,0.00606509
feature_15,0.0057827067
feature_77,0.0057233004
feature_121,0.0056294184
feature_9,0.005537693
feature_65,0.0055220537
feature_14,0.0054561985
feature_12,0.005301861
feature_24,0.0052593676
feature_101,0.0051821596
feature_21,0.0051332028
feature_44,0.0049629468
feature_55,0.0047358624
feature_56,0.0039370153
feature_4,0.0034683398
feature_85,0.0034642806
feature_89,0.0034159194
feature_38,0.0033587217
feature_129,0.0032547733
feature_84,0.0029501545
feature_67,0.0028023145
feature_60,0.0026991095
feature_86,0.002644687
feature_16,0.0024824764
feature_111,0.002452108
feature_79,0.002256041
feature_61,0.0020044334
feature_95,0.0018005781
feature_75,0.0017796754
feature_31,0.0015678741
feature_122,0.0012914465
feature_73,0.0011139645
feature_135,0.00084191374
feature_47,0.0005408611
feature_117,0.0
feature_26,0.0
feature_103,0.0
feature_133,0.0
