feature,mean_importance
feature_29,-0.0018677940184443687
feature_52,-0.0009366040114063612
feature_83,-0.0007718154566300539
feature_73,-0.0006114701492147878
feature_94,-0.0003533712907555442
feature_4,-0.00033091391508019983
feature_62,-0.00027763586086979595
feature_119,-0.0002545614238557148
feature_55,-0.00024263944693743157
feature_109,-0.00023112894965462427
feature_86,-0.000179045394987698
feature_43,-0.0001689933740771421
feature_24,-0.00014856474042621582
feature_25,-0.0001150087403866129
feature_115,-0.00010305440086653129
feature_103,-0.0001014094568986046
feature_111,-7.171589218419871e-05
feature_121,-6.991381793171047e-05
feature_100,-6.639953458276171e-05
feature_61,-3.618727985368331e-05
feature_89,-2.954141024749113e-05
feature_34,-2.7572039598289243e-05
feature_80,0.0
feature_133,0.0
feature_65,0.0
feature_117,0.0
feature_75,0.0
feature_79,0.0
feature_116,0.0
feature_48,0.0
feature_10,0.0
feature_9,0.0
feature_31,0.0
feature_26,0.0
feature_105,0.0
feature_15,0.0
feature_85,0.0
feature_49,1.8998945529036249e-06
feature_54,6.751458534859367e-06
feature_112,3.131021389068955e-05
feature_132,3.495800130213222e-05
feature_16,4.7962750498009576e-05
feature_27,5.127828951276836e-05
feature_60,6.0747926769311175e-05
feature_70,8.101829283408968e-05
feature_38,9.27191850588871e-05
feature_56,9.718069572060007e-05
feature_67,9.898585919989599e-05
feature_108,0.00010450270260764505
feature_32,0.00011653927319070778
feature_21,0.00014162889448652294
feature_71,0.00015613916186336675
feature_66,0.00015694767631082573
feature_131,0.0001985422692250438
feature_97,0.0002284884158004541
feature_78,0.00028740981468684535
feature_77,0.00029204704689844707
feature_127,0.00030923216359646233
feature_47,0.00032806743572528775
feature_128,0.0003975645914889414
feature_120,0.00040319543844067327
feature_129,0.0004056178759575868
feature_14,0.0004395021323765347
feature_69,0.00045023241378701063
feature_135,0.0004714046841160613
feature_104,0.0004767107016143468
feature_17,0.0005272324180873866
feature_39,0.0005774563105605645
feature_101,0.0006130086377985844
feature_118,0.0006542214494647203
feature_23,0.000706400593433365
feature_92,0.0007686664788176146
feature_2,0.0008168663692225797
feature_51,0.0008512380344441129
feature_95,0.0009135607136764978
feature_90,0.0009815548115317484
feature_7,0.001013152573499565
feature_46,0.0010256630414614775
feature_58,0.0011271266487766329
feature_122,0.0011985231951401553
feature_42,0.0012247330572768167
feature_110,0.0013122951512118952
feature_126,0.0013709457544897718
feature_84,0.001503396855209771
feature_96,0.0016040002595582247
feature_41,0.0016472468430015486
feature_72,0.0016715187324638503
feature_93,0.00175762402836801
feature_44,0.001834479141542955
feature_50,0.0019037596821727342
feature_114,0.0019255595103853773
feature_125,0.0019527553925095865
feature_37,0.00209972823318747
feature_113,0.002148514834553983
feature_136,0.0021579789253387107
feature_5,0.0022217145388673475
feature_1,0.002281170833906709
feature_87,0.002341137097691459
feature_98,0.002528176975577301
feature_3,0.0025568330416448903
feature_40,0.002855154642071045
feature_106,0.002951922720621769
feature_36,0.0033826905164954235
feature_28,0.0037627650949949797
feature_88,0.004387322064922272
feature_12,0.005071792197408631
feature_6,0.0320805834916464
feature_8,0.06756210075869418
