feature,mean_importance
feature_3,-0.0012727566588384143
feature_5,-0.0005190157518572214
feature_69,-0.0003215402511851595
feature_31,-0.0001743347073399404
feature_94,-0.00016933906727989445
feature_106,-0.00016301311893764935
feature_37,-0.00014052964936481783
feature_78,-0.00013729981629373444
feature_98,-0.00013706283603132086
feature_101,-0.00013142206500771358
feature_135,-0.0001227723585369489
feature_86,-0.00012110961527498355
feature_121,-0.00011731587276111454
feature_23,-0.00010921248784572235
feature_42,-0.00010134981505529605
feature_85,-9.231043052575494e-05
feature_28,-9.088200224418585e-05
feature_65,-8.972697370273064e-05
feature_75,-7.767155761091437e-05
feature_34,-7.598257071146363e-05
feature_14,-7.151992386287276e-05
feature_119,-6.841722638493142e-05
feature_27,-5.374630513612644e-05
feature_97,-5.031033955371633e-05
feature_84,-4.8412673169329067e-05
feature_50,-4.728129057933739e-05
feature_40,-4.1205491685603056e-05
feature_71,-3.790804759422617e-05
feature_114,-3.1061014893052354e-05
feature_96,-2.7830625112823527e-05
feature_129,-2.764201826910284e-05
feature_10,-2.7193175940398717e-05
feature_136,-2.6078252283889824e-05
feature_17,-2.2601041996050954e-05
feature_41,-2.2141247588214342e-05
feature_9,-2.0699133894286347e-05
feature_46,-2.022948752715692e-05
feature_110,-2.010393640654584e-05
feature_95,-1.9709222225872124e-05
feature_51,-1.7749156855484394e-05
feature_12,-1.7598798743168052e-05
feature_24,-1.6440576727494437e-05
feature_109,-1.5650678821899076e-05
feature_90,-1.4335391213449178e-05
feature_66,-1.3626032071889504e-05
feature_52,-1.0921734340163524e-05
feature_120,-9.54877753638339e-06
feature_32,-9.39177224901222e-06
feature_122,-9.061115016484323e-06
feature_93,-9.01210109747197e-06
feature_79,-6.8033800285638435e-06
feature_83,-5.182147963855854e-06
feature_113,-3.72984220740058e-06
feature_15,-2.1522134065143917e-06
feature_70,-4.4763944559989e-07
feature_133,-5.134008209672913e-08
feature_117,0.0
feature_26,3.415343918788949e-09
feature_61,6.561821936923451e-08
feature_29,2.1192323447882798e-06
feature_108,2.2374590462392873e-06
feature_60,3.1532829201541547e-06
feature_131,5.816634628752481e-06
feature_111,6.890659924629894e-06
feature_100,8.599627194216808e-06
feature_39,9.2439159840918e-06
feature_128,1.0932760549398069e-05
feature_80,1.2898366495162073e-05
feature_44,1.5758977373603322e-05
feature_132,2.0200730499198017e-05
feature_88,2.3391060614219583e-05
feature_118,2.7862796434852122e-05
feature_36,2.844473045997553e-05
feature_49,3.207620215819329e-05
feature_54,3.351633585555458e-05
feature_125,3.7672710390523886e-05
feature_43,3.822269882478579e-05
feature_72,3.877044064253266e-05
feature_103,4.153831888578097e-05
feature_48,4.220436367250446e-05
feature_127,4.733695460785725e-05
feature_126,5.190396069427727e-05
feature_116,5.396117152902669e-05
feature_92,6.0516002300237123e-05
feature_21,6.054445146150833e-05
feature_55,6.167653084947489e-05
feature_89,6.266503826208858e-05
feature_73,6.645219429970428e-05
feature_105,7.038316479288654e-05
feature_62,7.305360582985366e-05
feature_104,7.605085293909131e-05
feature_112,8.937113079872105e-05
feature_67,9.672585554265645e-05
feature_77,9.961619787914877e-05
feature_38,0.00011321405527935369
feature_47,0.00012751518795499627
feature_58,0.00013235770577850746
feature_56,0.00013420304932521
feature_87,0.00014818756488474972
feature_115,0.0001893065258107285
feature_25,0.0002836495604946476
feature_16,0.00031943103929774617
feature_4,0.0005661287608925258
feature_1,0.004341743394448527
feature_7,0.008395886847339783
feature_2,0.021094520227622527
feature_6,0.05097148643633098
feature_8,0.06160072783045847
