feature,mean_importance
feature_126,-0.00038705638898721694
feature_92,-0.0003298858140653893
feature_116,-0.00021081278022283545
feature_78,-0.00020062812358676574
feature_120,-0.0001927911238177593
feature_72,-0.00018411821287478425
feature_87,-0.00018304108624485061
feature_29,-0.0001453242695820478
feature_108,-0.0001337788191006828
feature_34,-0.0001248819840128146
feature_44,-9.64921083543846e-05
feature_17,-9.535895734156253e-05
feature_110,-9.330744251518918e-05
feature_85,-7.982298386337572e-05
feature_27,-7.477315132433659e-05
feature_103,-7.26558571939151e-05
feature_113,-6.97840341325584e-05
feature_21,-6.95635800946448e-05
feature_55,-6.650919887873918e-05
feature_58,-6.429097645075377e-05
feature_10,-5.902910800927863e-05
feature_122,-5.667949370007364e-05
feature_31,-4.901534435808319e-05
feature_129,-4.8551069411506555e-05
feature_80,-4.41810363690287e-05
feature_32,-4.288160775738348e-05
feature_50,-4.1618846053559365e-05
feature_101,-3.729613430627499e-05
feature_73,-3.4141947485211156e-05
feature_37,-3.297269837592154e-05
feature_114,-3.0758527348462295e-05
feature_42,-1.852506253325892e-05
feature_65,-1.544904309334072e-05
feature_95,-1.3600981584649396e-05
feature_12,-9.444593697516269e-06
feature_135,-8.727845556522062e-06
feature_56,-8.26469139245667e-06
feature_15,-7.983663853861068e-06
feature_4,-7.81676064023351e-06
feature_60,-7.496613930491059e-06
feature_127,-5.0631950653468035e-06
feature_62,-2.6474874648130253e-06
feature_136,-1.175993830559996e-06
feature_47,-1.1292912487137484e-06
feature_25,-9.57381256072587e-07
feature_117,0.0
feature_26,0.0
feature_16,0.0
feature_61,0.0
feature_52,3.201535206720507e-06
feature_121,4.818221431923675e-06
feature_115,4.822028187634331e-06
feature_48,1.05822636542241e-05
feature_1,1.200182880853884e-05
feature_38,1.5091599502481402e-05
feature_106,2.1768160897206456e-05
feature_23,2.548800363679771e-05
feature_43,3.6933971528663176e-05
feature_70,4.3653791601916406e-05
feature_132,4.5700062752551676e-05
feature_111,5.289121047138412e-05
feature_67,6.9440423555589e-05
feature_83,7.466910705782315e-05
feature_118,7.680708549961945e-05
feature_9,8.314994408309406e-05
feature_75,8.527331438801244e-05
feature_89,8.594880307140062e-05
feature_105,9.0902107938029e-05
feature_51,9.162504957656026e-05
feature_69,9.191260329814988e-05
feature_98,9.850591446527445e-05
feature_79,0.00010131454150630326
feature_77,0.00010517911934737612
feature_131,0.0001074796016429902
feature_46,0.00010896311035388795
feature_125,0.000109861198182859
feature_14,0.00011458749237129862
feature_84,0.00012293955538749123
feature_96,0.0001232399594851552
feature_39,0.00012838852817864677
feature_100,0.00013458016421250552
feature_90,0.0001362987454003095
feature_66,0.0001393258157368571
feature_119,0.00015458030633572762
feature_86,0.00016245344981158372
feature_88,0.0001638134633616728
feature_104,0.00016718834663673743
feature_128,0.0001690740336604879
feature_97,0.0001722319303279596
feature_133,0.00017332938280050224
feature_36,0.00017678966821821351
feature_41,0.00018366704877064154
feature_71,0.00018368408950675263
feature_28,0.00018603801650853846
feature_109,0.00019120070903997367
feature_93,0.0002231984126989106
feature_7,0.0002569279812015601
feature_94,0.00028160697096035747
feature_5,0.0004180406941552528
feature_24,0.0004312088213761278
feature_49,0.0006467124111758871
feature_112,0.0006666386104884792
feature_54,0.0006680710323919703
feature_40,0.0007131956559407904
feature_2,0.0007350333998517699
feature_3,0.0009700971776564815
feature_6,0.03954102838324889
feature_8,0.05899197182489657
