feature,mean_importance
feature_93,-0.00020706933496716928
feature_23,-0.00020528012424709808
feature_95,-0.00014363554701970482
feature_5,-0.00013820710989231877
feature_110,-0.00011522745429253245
feature_10,-9.094050985838375e-05
feature_121,-8.46816352106039e-05
feature_111,-8.254984177014091e-05
feature_40,-6.876549641248176e-05
feature_85,-6.818489451287935e-05
feature_100,-6.31069978426435e-05
feature_98,-6.186258201570371e-05
feature_109,-5.9006114785420396e-05
feature_90,-5.8372520452598664e-05
feature_79,-5.739150840018414e-05
feature_113,-4.771725933445658e-05
feature_135,-3.00508808772193e-05
feature_41,-2.9323866670138975e-05
feature_49,-2.868585777722199e-05
feature_51,-2.8428638005273398e-05
feature_116,-2.6102222135615527e-05
feature_88,-2.5476428469417557e-05
feature_28,-2.1557905647173747e-05
feature_126,-2.1424884778120656e-05
feature_4,-2.107452639605878e-05
feature_42,-1.5855811685594466e-05
feature_55,-1.3518391811717656e-05
feature_34,-1.185297328696322e-05
feature_71,-8.331641690029201e-06
feature_62,-8.061788431934502e-06
feature_80,-7.174903311879532e-06
feature_115,-3.6801397218955147e-06
feature_14,2.2204460492503132e-17
feature_117,2.2204460492503132e-17
feature_60,2.2204460492503132e-17
feature_108,2.2204460492503132e-17
feature_15,2.2204460492503132e-17
feature_133,4.4408920985006264e-17
feature_97,4.4408920985006264e-17
feature_46,4.4408920985006264e-17
feature_26,4.4408920985006264e-17
feature_89,4.4408920985006264e-17
feature_61,6.661338147750939e-17
feature_96,6.661338147750939e-17
feature_129,1.5918530154035437e-06
feature_105,5.126201466376656e-06
feature_128,1.0394868588514684e-05
feature_127,1.219194694412895e-05
feature_122,1.2898608220157648e-05
feature_83,1.3881194710840816e-05
feature_21,1.4647245197307867e-05
feature_136,1.7983014103850616e-05
feature_36,1.881436105124479e-05
feature_114,2.6257690926345667e-05
feature_38,3.618254029431611e-05
feature_72,3.7854498401879155e-05
feature_120,3.860927769072653e-05
feature_39,4.24340272631385e-05
feature_43,4.294198468508536e-05
feature_47,4.847048725471481e-05
feature_119,4.991678465249283e-05
feature_112,5.2992165338783256e-05
feature_131,5.435691829718259e-05
feature_77,5.5160715997626396e-05
feature_25,6.248202249297119e-05
feature_48,6.497192945118525e-05
feature_69,6.524631870823417e-05
feature_17,7.695930377893401e-05
feature_87,8.156402533023854e-05
feature_50,8.64710184840023e-05
feature_65,8.877372150746243e-05
feature_103,8.914637635502043e-05
feature_9,8.932894094244581e-05
feature_29,9.871234416323205e-05
feature_37,9.995464943182152e-05
feature_58,0.00010244393190579348
feature_1,0.00010323200365902618
feature_66,0.00010334205104580718
feature_12,0.00010403794875013528
feature_106,0.00010861454303678908
feature_27,0.00010982498646943118
feature_78,0.00011025574263801019
feature_92,0.00011499667681975634
feature_75,0.00013793625482625416
feature_44,0.00014201526445400958
feature_94,0.00014221870103141575
feature_73,0.0001483342032731594
feature_125,0.00016067936739780909
feature_67,0.0001842542560648752
feature_86,0.00018490980472378736
feature_118,0.00018714166634872242
feature_24,0.00020065115039962221
feature_52,0.00020112200358946009
feature_84,0.0002020060838149762
feature_31,0.00022426458530371284
feature_32,0.00022449446533818752
feature_16,0.00023261083173553576
feature_70,0.00025410292683762935
feature_56,0.0002624739098061379
feature_104,0.0002705308577482191
feature_132,0.0002997141563673367
feature_54,0.00031444312750765756
feature_101,0.00032564883350978403
feature_7,0.0008072917902601118
feature_2,0.0018323736192798813
feature_3,0.004554745373104208
feature_6,0.010009631216672355
feature_8,0.040344475352844175
