feature,shap_importance
feature_34,0.16615495956966705
feature_8,0.09154511808099643
feature_32,0.042044479852708413
feature_6,0.03716239345567673
feature_1,0.0
feature_25,0.0
feature_38,0.0
feature_37,0.0
feature_35,0.0
feature_33,0.0
feature_31,0.0
feature_30,0.0
feature_29,0.0
feature_28,0.0
feature_27,0.0
feature_26,0.0
feature_23,0.0
feature_24,0.0
feature_2,0.0
feature_22,0.0
feature_21,0.0
feature_17,0.0
feature_15,0.0
feature_13,0.0
feature_12,0.0
feature_10,0.0
feature_7,0.0
feature_5,0.0
feature_4,0.0
feature_3,0.0
feature_40,0.0
