feature,mean_importance
feature_7,-0.00013921768045757065
feature_23,0.0
feature_35,0.0
feature_31,0.0
feature_30,0.0
feature_10,0.0
feature_12,0.0
feature_27,0.0
feature_17,0.0
feature_21,0.0
feature_25,0.0
feature_4,2.9245774513819713e-05
feature_38,6.163945104673552e-05
feature_5,0.0006328438961554328
feature_2,0.0006621908503688489
feature_26,0.0007479254003689873
feature_1,0.0007716238658138419
feature_28,0.0008184948027299965
feature_3,0.0013905696948705692
feature_37,0.0016958302696878703
feature_13,0.0023604604216721945
feature_33,0.0028520775804672825
feature_29,0.0030729848121942905
feature_40,0.0034285216681673837
feature_22,0.003951935596962075
feature_24,0.007584488806102185
feature_15,0.010163912313145706
feature_6,0.020692718064825377
feature_32,0.034124579610689376
feature_34,0.03535835421257534
feature_8,0.03842559125841531
