feature,mean_importance
feature_4,-0.00039269091515790053
feature_23,-4.8209179536184976e-05
feature_38,-3.643954626975088e-05
feature_25,-3.541348938900235e-05
feature_17,-3.2285786947805484e-05
feature_21,-2.2798099380061388e-05
feature_35,0.0
feature_30,0.0
feature_27,0.0
feature_10,0.0
feature_12,1.2686978178244602e-06
feature_31,0.00020801342476073348
feature_7,0.000548600555422607
feature_37,0.0008447492897267539
feature_2,0.0009725309284610573
feature_28,0.0009802325092943321
feature_29,0.0011437040441773182
feature_1,0.0013378422679064972
feature_3,0.001499679151274802
feature_22,0.0017498782297973082
feature_13,0.0020489449720382247
feature_5,0.0022512516052469954
feature_26,0.002777861541869586
feature_33,0.003947314666964519
feature_40,0.008001773548611401
feature_24,0.008561065970390835
feature_15,0.016897134638696843
feature_6,0.03151856050495163
feature_34,0.03190002179810021
feature_32,0.039016024062633894
feature_8,0.05329349885261083
