feature,shap_importance
feature_8,0.42958158
feature_34,0.32614696
feature_6,0.31808972
feature_32,0.27034038
feature_15,0.2134135
feature_24,0.1539971
feature_40,0.07763392
feature_33,0.07141774
feature_1,0.07103673
feature_26,0.067580074
feature_13,0.06691317
feature_5,0.05890943
feature_7,0.05189211
feature_3,0.048027743
feature_29,0.040053435
feature_28,0.039025914
feature_37,0.033640344
feature_2,0.033580646
feature_22,0.032279283
feature_4,0.0108342655
feature_38,0.008766397
feature_25,0.005770788
feature_23,0.0043759015
feature_17,0.001520766
feature_31,0.0007625318
feature_35,0.00071981153
feature_21,0.00057784
feature_10,0.0005125731
feature_12,0.0003122236
feature_30,0.0
feature_27,0.0
