feature,mean_importance
feature_38,-0.00027086123309687514
feature_30,-0.00010998280055469767
feature_21,-0.00010367867198051162
feature_10,-9.968997990745798e-05
feature_31,-8.328122640806068e-05
feature_25,-5.690681967733813e-05
feature_17,-1.4492354932205132e-05
feature_4,-4.869549726271849e-06
feature_27,0.0
feature_35,0.0
feature_12,1.676966226675791e-05
feature_23,3.119892509728661e-05
feature_7,0.0006671043811190769
feature_2,0.0006682391952801181
feature_13,0.0009246855833367152
feature_28,0.0009639076981056149
feature_29,0.0015432686281301677
feature_24,0.001582524664475482
feature_22,0.0016482194828482343
feature_26,0.0017461518369119577
feature_40,0.002254204242839619
feature_5,0.0023379779537260116
feature_3,0.0026646139823497616
feature_33,0.003017465032228128
feature_1,0.0036355789131403025
feature_37,0.004664091733549536
feature_15,0.015249675455727463
feature_32,0.017437151647497352
feature_6,0.01787584898285539
feature_34,0.018270738490669357
feature_8,0.05302511090732718
