feature,mean_importance
feature_25,-1.7364457841173575e-05
feature_30,-5.053506562213705e-06
feature_35,-3.803508570077163e-06
feature_23,-3.5836952261503186e-06
feature_10,-6.713716045991803e-07
feature_12,-2.5358474542436227e-07
feature_27,0.0
feature_21,2.2360002555510407e-06
feature_17,2.4323493547306897e-06
feature_31,4.109632205184788e-06
feature_37,4.0268442539082014e-05
feature_38,7.42014088580989e-05
feature_4,0.00039423500996125236
feature_2,0.0007487486243381803
feature_13,0.0009735887728546056
feature_40,0.001348096208582028
feature_5,0.001928565934894788
feature_26,0.002437031394487854
feature_7,0.002832656278384782
feature_22,0.004442769429908555
feature_29,0.005350678164599554
feature_15,0.006164487111594785
feature_1,0.007647862310346065
feature_33,0.008067310798719207
feature_28,0.010692302797930963
feature_3,0.01376077148445709
feature_24,0.020775775688785657
feature_34,0.027005047623413915
feature_6,0.047500957337413593
feature_8,0.06410896416206976
feature_32,0.0914402510398689
