feature,mean_importance
feature_4,-1.505063276374674e-05
feature_1,-5.373239298167576e-06
feature_10,-3.5703307463830216e-07
feature_23,-6.661338147750939e-17
feature_25,-4.4408920985006264e-17
feature_35,-4.4408920985006264e-17
feature_30,-4.4408920985006264e-17
feature_27,-4.4408920985006264e-17
feature_12,-4.4408920985006264e-17
feature_21,-2.2204460492503132e-17
feature_17,-2.2204460492503132e-17
feature_31,0.0
feature_38,4.76563117768336e-06
feature_5,1.8527611347529672e-05
feature_7,0.00013568949445856847
feature_2,0.00013585085487399784
feature_26,0.00021212180406671166
feature_37,0.0002247757420061891
feature_33,0.00027666893442526155
feature_29,0.0004059040723038532
feature_22,0.0004258156216327746
feature_28,0.00046990958045980415
feature_40,0.000617491690317995
feature_13,0.0007074765911854408
feature_3,0.0017656959168370844
feature_24,0.004109380577826527
feature_32,0.009316112073804983
feature_6,0.01754766528486542
feature_34,0.019160136585153587
feature_15,0.022715481529074856
feature_8,0.04335491324739005
