feature,mean_importance
feature_4,-2.6241985361386e-06
feature_5,-2.55923283218884e-06
feature_12,-2.2204460492503132e-17
feature_23,0.0
feature_35,0.0
feature_31,0.0
feature_30,0.0
feature_27,0.0
feature_25,0.0
feature_38,0.0
feature_21,0.0
feature_17,0.0
feature_10,1.7499983463231671e-06
feature_1,8.197861484859903e-05
feature_7,0.00010880461674216413
feature_33,0.0003237641637296784
feature_26,0.00041921243930211907
feature_40,0.0004766297245204276
feature_2,0.00048447469191346124
feature_28,0.0005328265885646388
feature_29,0.0005931867275890124
feature_13,0.0020501613035234455
feature_3,0.002182056864187265
feature_37,0.003303807068564102
feature_6,0.004726057259892636
feature_15,0.005295730854654845
feature_24,0.005825243407651537
feature_22,0.006613502975163055
feature_34,0.0072531368329297186
feature_32,0.009124389940742095
feature_8,0.034948117056823394
