feature,mean_importance
feature_2,-0.0612432209232797
feature_3,-0.03828549186669603
feature_29,-0.025570753446108662
feature_1,-0.025435859810770855
feature_37,-0.02420981693332913
feature_13,-0.021870190591193016
feature_34,-0.021376996828301742
feature_15,-0.020880249439765786
feature_33,-0.014339393043311822
feature_22,-0.01381080661264673
feature_24,-0.01122951269885628
feature_32,-0.0035634629012784914
feature_6,-0.0025771053385890584
feature_26,-0.001424100756465263
feature_30,0.0
feature_35,0.0
feature_27,0.0
feature_31,0.0
feature_23,0.0
feature_38,0.0
feature_21,0.0
feature_17,0.0
feature_12,0.0
feature_10,0.0
feature_25,0.0
feature_40,0.0021158033331170056
feature_5,0.011128903224801645
feature_4,0.01621178277084332
feature_7,0.03994232136777294
feature_28,0.18910253171924168
feature_8,0.20788664205538915
