feature,mean_importance
feature_49,-0.004683837009966374
feature_120,-0.003911276403814545
feature_17,-0.0032357931509613856
feature_35,-0.0031397999547421395
feature_30,-0.003076933319866626
feature_103,-0.002998360501602271
feature_28,-0.0022261313717812036
feature_48,-0.0020712688628583553
feature_128,-0.002057137922570096
feature_105,-0.001756915904581513
feature_111,-0.0015613491661846223
feature_119,-0.0015592351008206328
feature_61,-0.0015220019351690705
feature_47,-0.0014842101693153253
feature_85,-0.001374484660476427
feature_11,-0.001288041667640183
feature_12,-0.0012645947411656032
feature_41,-0.0012352761525660449
feature_126,-0.0012241488352417562
feature_125,-0.0011768489856272657
feature_90,-0.001141605300456261
feature_101,-0.0010145660761743613
feature_95,-0.0009517789676785293
feature_122,-0.0009414287839084601
feature_96,-0.000938355956971626
feature_107,-0.0008995322175323617
feature_73,-0.0008775292720645478
feature_100,-0.000862935881689153
feature_31,-0.0008519819132983386
feature_115,-0.0008141227997839229
feature_53,-0.0007775459911674165
feature_76,-0.0007612914413213546
feature_45,-0.0007209439799189088
feature_50,-0.0007196750856935496
feature_36,-0.0006728463254868533
feature_62,-0.0006389546312391525
feature_99,-0.0005959472186863434
feature_44,-0.0005835185550153055
feature_72,-0.0005779289379715724
feature_127,-0.0005269624020904029
feature_123,-0.0005231316410004849
feature_92,-0.0005176222711801293
feature_138,-0.00048623305410147035
feature_19,-0.0004723143704235433
feature_59,-0.0004468213431536805
feature_86,-0.00039235913939770215
feature_112,-0.0003844254761933952
feature_121,-0.0003748429246246632
feature_55,-0.0003633113190531168
feature_63,-0.00033649484217164184
feature_32,-0.0003170106980949328
feature_110,-0.00031076313704248015
feature_67,-0.00030098605901001106
feature_139,-0.0002880318805575044
feature_129,-0.00028765185102817
feature_94,-0.0002757433675229182
feature_117,-0.00024061184078452146
feature_24,-0.00023591472953554682
feature_13,-0.00021452701315278767
feature_116,-0.0002046277172863098
feature_84,-0.00016970208883282378
feature_74,-8.228302299972956e-05
feature_39,-7.095844820137476e-05
feature_77,-1.7390295118047128e-05
feature_140,0.0
feature_124,0.0
feature_1,0.0
feature_68,0.0
feature_91,1.9501156359935655e-05
feature_9,4.1296789050138114e-05
feature_97,4.474457129839404e-05
feature_65,8.876668289306e-05
feature_136,0.00013045069351795834
feature_80,0.00015179740935566954
feature_93,0.00017114244699480973
feature_34,0.00018686949685220444
feature_69,0.00022297769002619373
feature_33,0.00023105339556932502
feature_54,0.00023178664445882012
feature_21,0.0002425253324210841
feature_102,0.0002466395534575172
feature_23,0.00027125686183573363
feature_38,0.0003745951630175215
feature_108,0.000449959196150318
feature_113,0.0005129028618336085
feature_78,0.0005324431922287154
feature_135,0.0005440312922001311
feature_4,0.0005441868100315661
feature_14,0.0005526593800634138
feature_10,0.0005553462930024012
feature_133,0.0006589634504169384
feature_87,0.0007018341373652426
feature_118,0.0007200025841594293
feature_46,0.0007669619742781464
feature_2,0.0009442725650966377
feature_57,0.001036099661141643
feature_51,0.0010531596723944102
feature_43,0.0010547358192503741
feature_142,0.0012128895498812575
feature_7,0.0012696559827775067
feature_56,0.0012809243548661752
feature_143,0.0013204543378204426
feature_104,0.0013337576840073196
feature_16,0.001411409118026552
feature_82,0.0014121281601488845
feature_58,0.0014766081344336434
feature_79,0.0015072732351720797
feature_134,0.001791801578551544
feature_3,0.0018114757701754637
feature_22,0.0020274556778371753
feature_132,0.0021896414540708343
feature_15,0.002503837236389561
feature_5,0.0026158915691077756
feature_6,0.01610352374501529
feature_8,0.05452280781865122
