feature,shap_importance
feature_8,0.45747805
feature_6,0.2639947
feature_17,0.07094388
feature_10,0.06509775
feature_11,0.061162047
feature_5,0.05493352
feature_79,0.054725405
feature_15,0.05238021
feature_12,0.051017255
feature_135,0.04710474
feature_13,0.045531176
feature_53,0.044612344
feature_120,0.042676874
feature_2,0.04241847
feature_49,0.042015553
feature_30,0.04175779
feature_100,0.041286282
feature_126,0.040178683
feature_48,0.03994423
feature_99,0.03836947
feature_47,0.038169928
feature_7,0.036894314
feature_111,0.03604031
feature_61,0.035788078
feature_87,0.03437364
feature_46,0.033093598
feature_86,0.031954862
feature_103,0.02911733
feature_9,0.02896481
feature_3,0.028874027
feature_14,0.028285496
feature_41,0.027570298
feature_35,0.02751228
feature_121,0.026629679
feature_43,0.025435729
feature_58,0.025340429
feature_134,0.025297903
feature_90,0.024615807
feature_123,0.024160778
feature_132,0.024125421
feature_73,0.024007343
feature_85,0.023434097
feature_104,0.02299966
feature_56,0.022372209
feature_105,0.019615665
feature_108,0.019609336
feature_57,0.018636988
feature_115,0.017752511
feature_125,0.017747527
feature_65,0.017625893
feature_128,0.017569281
feature_22,0.01749949
feature_133,0.017379422
feature_24,0.017251411
feature_31,0.016053317
feature_16,0.016011167
feature_21,0.015934274
feature_94,0.015738798
feature_107,0.0151444785
feature_122,0.0150717525
feature_69,0.014871373
feature_101,0.014423158
feature_78,0.013576254
feature_119,0.01320593
feature_50,0.013007524
feature_55,0.012315198
feature_34,0.012277409
feature_112,0.012158782
feature_28,0.012047005
feature_39,0.01173849
feature_113,0.011594369
feature_54,0.011128985
feature_136,0.010906229
feature_44,0.010902586
feature_36,0.010646498
feature_143,0.0101055205
feature_82,0.010021593
feature_19,0.010018591
feature_95,0.009493963
feature_84,0.009108206
feature_51,0.0082714
feature_96,0.007856545
feature_72,0.007795734
feature_67,0.007618245
feature_62,0.007600922
feature_142,0.0074423617
feature_23,0.007307976
feature_138,0.0071392423
feature_116,0.006513481
feature_127,0.006429232
feature_97,0.0064031417
feature_77,0.0062569906
feature_38,0.0058817905
feature_91,0.0058009247
feature_92,0.005603218
feature_32,0.00551298
feature_139,0.0051514087
feature_117,0.0051214704
feature_59,0.004980742
feature_45,0.0046101063
feature_118,0.0045519774
feature_4,0.004113042
feature_76,0.004011893
feature_102,0.0036306907
feature_129,0.003489068
feature_93,0.0034830114
feature_110,0.002970743
feature_63,0.0028592206
feature_80,0.0026151298
feature_74,0.0022815056
feature_33,0.0022517028
feature_68,0.00015779093
feature_140,6.237715e-05
feature_124,0.0
feature_1,0.0
