feature,mean_importance
feature_9,-0.000218158208840058
feature_15,-3.3746333403139595e-05
feature_50,-1.3858777995179317e-05
feature_104,-1.2197567187688386e-05
feature_33,-5.780962491330754e-06
feature_22,-4.640748922457583e-06
feature_68,-1.8286814069234936e-06
feature_87,-1.0147629852630402e-06
feature_53,-1.8009165612120625e-07
feature_124,0.0
feature_140,6.467154589628876e-10
feature_67,2.311081829775574e-06
feature_57,4.044677291892284e-06
feature_99,4.638602449369422e-06
feature_120,9.966089648361098e-06
feature_133,1.4486126158286261e-05
feature_122,1.6419739382222965e-05
feature_126,1.6652687792562127e-05
feature_134,1.748272689006125e-05
feature_43,1.9223270924806358e-05
feature_115,2.0794720308936478e-05
feature_96,2.212145005398014e-05
feature_41,2.3095106469828154e-05
feature_79,2.3363403061216205e-05
feature_90,2.427751059963512e-05
feature_138,3.03064555829069e-05
feature_21,3.131949209329576e-05
feature_16,3.213430862620825e-05
feature_34,3.2169762111888825e-05
feature_47,3.5816933061760814e-05
feature_135,3.764663233294385e-05
feature_119,3.848707142162233e-05
feature_95,4.097294235965166e-05
feature_123,4.331497914129567e-05
feature_69,4.4963821395205274e-05
feature_28,4.522849497794468e-05
feature_58,4.554074567171273e-05
feature_19,4.8647086926378866e-05
feature_94,4.9960482772082317e-05
feature_46,5.388607759055919e-05
feature_103,5.409304267729453e-05
feature_111,5.494411327442439e-05
feature_85,5.5646283758847835e-05
feature_39,5.945433917116105e-05
feature_24,6.025388175681101e-05
feature_48,6.05463207127066e-05
feature_100,6.22657502333368e-05
feature_121,6.71445691536654e-05
feature_55,6.80638700434777e-05
feature_107,6.952456752931102e-05
feature_30,7.102250841135582e-05
feature_35,8.079371515623546e-05
feature_143,8.085973199145613e-05
feature_105,8.304721510046242e-05
feature_65,8.785015063463852e-05
feature_101,8.794207544766674e-05
feature_116,9.154664524768652e-05
feature_59,9.168202050324759e-05
feature_129,9.285782215637806e-05
feature_17,9.533817829743274e-05
feature_73,9.587991870021461e-05
feature_49,9.74739461939711e-05
feature_78,0.00010081148244280857
feature_36,0.00010134225444144996
feature_86,0.00010176242082797771
feature_4,0.00010394798464814503
feature_61,0.0001041500812620999
feature_125,0.00010536952957824752
feature_82,0.00012527744656416485
feature_132,0.00012652797570105178
feature_56,0.0001328555289230815
feature_128,0.000137806627065018
feature_72,0.00014150852044427786
feature_76,0.00014518760798658547
feature_102,0.00014658053765403967
feature_62,0.0001475013178286355
feature_91,0.00015751496760212368
feature_97,0.00016292895147076436
feature_118,0.0001636320818421577
feature_112,0.0001687187164302939
feature_142,0.00017227114193387738
feature_31,0.00017823548036728366
feature_44,0.0001813210153162492
feature_77,0.0001871049825857396
feature_136,0.00019357333936820265
feature_51,0.00019830175831714314
feature_108,0.00020058294869249594
feature_38,0.00021441091810463496
feature_127,0.00021683099672167305
feature_113,0.00021737922867028913
feature_117,0.0002177459556320205
feature_93,0.000219201464661678
feature_84,0.0002254603035559688
feature_139,0.0002358771284413308
feature_45,0.00027833872260631944
feature_63,0.0002796692010763824
feature_54,0.00027999694831797316
feature_92,0.00029158704495957366
feature_110,0.0003483766099055208
feature_32,0.0003652491533027824
feature_74,0.0003804993574122673
feature_80,0.00038483951822658734
feature_23,0.00038898793085968554
feature_3,0.00042254304105338036
feature_13,0.0004904063401939051
feature_14,0.0005538468665277297
feature_10,0.0007303255664604435
feature_11,0.0007388749717909926
feature_2,0.000855864892090219
feature_1,0.000945038810056853
feature_7,0.0009791272540349949
feature_12,0.0016138199179020819
feature_5,0.0022473885972470907
feature_6,0.012378156227394178
feature_8,0.04866274080635154
