feature,mean_importance
feature_11,-0.0002900655368514027
feature_120,-0.00025771585648897143
feature_72,-0.00015680780095124193
feature_94,-0.00013873464191842543
feature_96,-0.0001343930548981964
feature_54,-0.00011889425231543793
feature_62,-0.00011333139578395546
feature_51,-7.661286598217298e-05
feature_22,-6.754985236729904e-05
feature_117,-6.381425455805889e-05
feature_97,-6.349146117385906e-05
feature_13,-6.271193682656495e-05
feature_7,-4.408294282542968e-05
feature_21,-3.237046105182273e-05
feature_31,-3.2003506019817606e-05
feature_115,-2.2488983960844422e-05
feature_78,-7.019777299865915e-06
feature_16,-1.3220190697049716e-06
feature_45,0.0
feature_1,0.0
feature_63,0.0
feature_67,0.0
feature_68,0.0
feature_110,0.0
feature_59,0.0
feature_124,0.0
feature_102,0.0
feature_33,0.0
feature_19,0.0
feature_129,0.0
feature_140,0.0
feature_4,0.0
feature_105,6.113764053905513e-07
feature_135,7.454218928670819e-06
feature_134,9.857547706637604e-06
feature_55,1.0883290246610499e-05
feature_113,1.1501076987840975e-05
feature_58,1.7783530453674423e-05
feature_48,1.7790044341614575e-05
feature_57,3.328414005774327e-05
feature_136,3.8253887878592074e-05
feature_118,4.5328264863142564e-05
feature_53,5.3876617311598984e-05
feature_84,5.612720085583778e-05
feature_23,5.707845001852174e-05
feature_39,5.7113296103694644e-05
feature_122,5.891455205950802e-05
feature_32,6.501515242154365e-05
feature_44,6.52055932286233e-05
feature_2,6.976341992199764e-05
feature_125,7.773514930149439e-05
feature_87,8.116415585279757e-05
feature_34,8.392718471537109e-05
feature_91,9.247551057578463e-05
feature_139,0.00010141863434804943
feature_92,0.00010162631305947745
feature_82,0.00010809513090508372
feature_77,0.0001157996750355439
feature_138,0.00011961254032375468
feature_65,0.00012443945850271199
feature_46,0.0001320683740754447
feature_104,0.00014298956126208574
feature_41,0.00014392086136356675
feature_132,0.00015913244635401558
feature_49,0.00016406258187535717
feature_76,0.0001758024285317905
feature_28,0.0001809383159701472
feature_5,0.00018517821664028046
feature_30,0.00018991197328650512
feature_133,0.00020947058132116946
feature_43,0.00021835323546386397
feature_38,0.00022976317049347995
feature_95,0.00023105626342829756
feature_9,0.0002337913582940887
feature_103,0.00024030682587552476
feature_61,0.00024460870766345176
feature_80,0.0002583035830995728
feature_99,0.0002774161824592447
feature_119,0.0002793471320266416
feature_74,0.00030323585227260975
feature_143,0.00030600661483564106
feature_35,0.0003077639902009821
feature_73,0.00031962967655490003
feature_36,0.00032361102054554445
feature_116,0.0003292668807428845
feature_107,0.0003340607060274836
feature_127,0.00035160520962671524
feature_142,0.00037030779122022573
feature_79,0.0003750118941307168
feature_47,0.0003818457322969815
feature_14,0.000390440380733903
feature_3,0.0003917672159222896
feature_128,0.0004080060632538407
feature_15,0.0004168580729074778
feature_123,0.0004371746429705503
feature_85,0.0004400121416017866
feature_24,0.00045175487741202505
feature_108,0.00045903058900749195
feature_86,0.0004822810480368922
feature_100,0.0005554506513863577
feature_121,0.000602297941820118
feature_56,0.0006033401006736439
feature_50,0.0006273995364339368
feature_12,0.0006557229976383195
feature_90,0.0006673695003277302
feature_101,0.0007376637805590391
feature_93,0.0008320354455957135
feature_112,0.001066901649038221
feature_17,0.0013162563223307667
feature_69,0.0013444631768812832
feature_111,0.0013469067965943937
feature_126,0.0022740638049871587
feature_10,0.002902757680032586
feature_6,0.01774368636045063
feature_8,0.07017327245836995
