feature,mean_importance
feature_2,-0.0010065112203359928
feature_84,-0.0007305653721094262
feature_85,-0.000674641543626775
feature_17,-0.0006128973186016129
feature_107,-0.000558532908558873
feature_15,-0.0005015013217925856
feature_77,-0.0004633692115545207
feature_13,-0.0004178178235888508
feature_62,-0.0003920947730541302
feature_72,-0.00037077690064903914
feature_86,-0.00036548950374126754
feature_78,-0.00036284684389831234
feature_93,-0.0003541493311524535
feature_128,-0.0002824591785669517
feature_21,-0.0002673067003488683
feature_102,-0.00026632600426674814
feature_100,-0.00018192874193192487
feature_118,-0.00012909928262236914
feature_110,-0.00011599414199592317
feature_48,-0.00010263080596923934
feature_52,-9.718677401542309e-05
feature_123,-9.172710478306811e-05
feature_96,-8.705397844317453e-05
feature_40,-7.896521091463882e-05
feature_41,-5.320436060427536e-05
feature_58,-4.4319230318090595e-05
feature_105,-3.3757689595237395e-05
feature_76,-3.236044943333294e-05
feature_67,-5.006003379826041e-06
feature_109,0.0
feature_125,0.0
feature_18,0.0
feature_53,0.0
feature_104,9.717151522536938e-07
feature_39,2.2221541404698898e-05
feature_23,3.551381677389109e-05
feature_80,5.560614168642619e-05
feature_127,8.207712471484108e-05
feature_112,8.734194338320123e-05
feature_30,9.762797206640528e-05
feature_113,0.00011212182641029411
feature_65,0.00011335421800613421
feature_95,0.00011383836269378556
feature_114,0.0001184670209884553
feature_19,0.00014561075568197968
feature_106,0.00016176794171331998
feature_120,0.00016305603981017213
feature_103,0.00016748880147934297
feature_61,0.00017049800157544758
feature_36,0.00017557499557732114
feature_8,0.00018820591866970383
feature_6,0.00019358671903610958
feature_59,0.00022567914426325776
feature_47,0.00022977162599562283
feature_63,0.00025347613394259837
feature_87,0.00030494972467420833
feature_117,0.00032890405207870456
feature_32,0.0003513168096542341
feature_26,0.0003753750517964116
feature_81,0.00045113187432286315
feature_50,0.00046071176528930116
feature_92,0.00046784540116784346
feature_54,0.0004695464462041832
feature_75,0.0005293127924203888
feature_7,0.0005423506185412208
feature_64,0.0005616437330841828
feature_82,0.000566942852735508
feature_9,0.0005732305899262214
feature_101,0.0006356843546032831
feature_79,0.00067831333279611
feature_16,0.0007098021104931851
feature_98,0.0007299348711967468
feature_28,0.000774511842429626
feature_119,0.0008149793028831454
feature_46,0.0008331091389059741
feature_69,0.0008880310922861012
feature_97,0.0008950650155544304
feature_70,0.0009902079418301567
feature_29,0.0009970197260379843
feature_57,0.001018510417640206
feature_108,0.0010429843455552978
feature_4,0.0011745643496513304
feature_121,0.0012439063280820894
feature_44,0.0013259797424078012
feature_24,0.0013371459126472417
feature_1,0.0013847164571285208
feature_124,0.0013961580544710195
feature_90,0.001472487062215766
feature_71,0.001535931828617998
feature_31,0.0016278391912579293
feature_88,0.0016411909863352837
feature_111,0.0019705943793058454
feature_33,0.002172196453809727
feature_89,0.002222593857347954
feature_34,0.0024001100122928555
feature_38,0.0026835056632757313
feature_43,0.0030801386207341963
feature_42,0.0033088469326495893
feature_20,0.00465500075966121
feature_35,0.008486788044869886
