feature,shap_importance
feature_35,0.10964277
feature_20,0.095713
feature_57,0.07548092
feature_64,0.046114296
feature_33,0.044883233
feature_38,0.043642312
feature_111,0.038011644
feature_89,0.036816254
feature_4,0.035874035
feature_42,0.034133583
feature_88,0.03296664
feature_34,0.032478016
feature_117,0.030761095
feature_120,0.030543271
feature_90,0.029719815
feature_104,0.02771307
feature_84,0.027688665
feature_105,0.026526423
feature_1,0.026236072
feature_72,0.025667394
feature_26,0.025288157
feature_75,0.024785368
feature_46,0.024776474
feature_15,0.02303859
feature_119,0.022428676
feature_31,0.022047834
feature_43,0.021871146
feature_24,0.021098932
feature_79,0.020813685
feature_123,0.020541942
feature_78,0.019468516
feature_63,0.019356616
feature_32,0.018652562
feature_54,0.018526284
feature_6,0.0185244
feature_9,0.018260479
feature_82,0.01739377
feature_124,0.016962111
feature_85,0.016856141
feature_59,0.016696952
feature_71,0.016319199
feature_107,0.014942336
feature_92,0.014831647
feature_81,0.013891011
feature_41,0.013793714
feature_98,0.013468213
feature_29,0.013420078
feature_16,0.013072996
feature_28,0.01287823
feature_101,0.0128322
feature_7,0.012622606
feature_110,0.012413425
feature_70,0.012369153
feature_13,0.012314815
feature_93,0.012133611
feature_97,0.01199051
feature_100,0.0119690085
feature_86,0.011934198
feature_108,0.011275636
feature_2,0.011004474
feature_21,0.011002279
feature_118,0.010878259
feature_106,0.010845938
feature_44,0.010240023
feature_69,0.00973412
feature_112,0.009694725
feature_128,0.00884375
feature_19,0.008800055
feature_77,0.008670896
feature_52,0.008510639
feature_48,0.00821212
feature_87,0.00784904
feature_80,0.0077690277
feature_61,0.0076707113
feature_121,0.0070832362
feature_47,0.007053117
feature_96,0.0066437274
feature_65,0.0063561085
feature_50,0.005938735
feature_58,0.005573085
feature_39,0.005515548
feature_102,0.0054203523
feature_36,0.004877691
feature_95,0.004687568
feature_76,0.0045414167
feature_30,0.004512657
feature_8,0.0043752445
feature_53,0.0041865767
feature_17,0.004052097
feature_103,0.003735247
feature_62,0.003687959
feature_40,0.0035178429
feature_23,0.0034203907
feature_113,0.003064668
feature_127,0.0029937718
feature_67,0.00246746
feature_114,0.0019189718
feature_18,0.00035534127
feature_125,0.000116239054
feature_109,0.0
