feature,mean_importance
feature_81,-3.7166753750117466e-05
feature_38,-2.6485886567817472e-05
feature_29,-2.314747043146159e-05
feature_35,-2.0433768849059673e-05
feature_106,-1.9905378786599925e-05
feature_43,-1.7011121574550537e-05
feature_105,-1.5224664226587414e-05
feature_113,-9.698236258204318e-06
feature_90,-8.723363105511695e-06
feature_72,-8.315232201105971e-06
feature_42,-8.088765847635849e-06
feature_70,-7.741533208793783e-06
feature_7,-7.632726495465648e-06
feature_120,-4.4450670189100094e-06
feature_100,-3.275683965497933e-06
feature_88,-3.060480858962933e-06
feature_110,-2.8576744996344773e-06
feature_119,-2.2960314585374065e-06
feature_79,-2.047679037642247e-06
feature_127,-1.5040706310864848e-06
feature_61,-1.1683230712655756e-06
feature_52,-7.233853365429255e-07
feature_89,-2.552078796291823e-07
feature_33,-2.2503160117537392e-07
feature_18,-2.0310019790414913e-07
feature_125,-8.920847025528644e-08
feature_53,-2.9742861951120858e-08
feature_109,0.0
feature_108,4.758773777258085e-08
feature_84,6.721922718444517e-08
feature_34,7.188542854308366e-08
feature_97,4.298070244601604e-07
feature_28,4.3896035206714146e-07
feature_64,1.6539941618987086e-06
feature_85,2.9455594851013345e-06
feature_41,4.156153537859808e-06
feature_15,4.24778424008565e-06
feature_71,4.461717807102694e-06
feature_92,5.330005178616481e-06
feature_32,6.834569292291093e-06
feature_118,6.986322706969972e-06
feature_80,7.993959621566127e-06
feature_63,8.48783157432198e-06
feature_6,8.839008738226185e-06
feature_31,9.55380326119748e-06
feature_117,9.925442430214203e-06
feature_107,1.1481561343940071e-05
feature_58,1.1872239936905338e-05
feature_123,1.534695694069832e-05
feature_20,1.7027496470545245e-05
feature_1,1.7469858521868e-05
feature_4,1.86982134027458e-05
feature_57,1.9312844175822796e-05
feature_104,1.9434119879702116e-05
feature_96,1.952356476175865e-05
feature_16,2.049472277882991e-05
feature_75,2.0977885625694802e-05
feature_77,2.2549373455538203e-05
feature_26,2.304034688609402e-05
feature_111,2.3062117750716205e-05
feature_78,2.5611981510320626e-05
feature_54,2.738647401256955e-05
feature_98,2.7694861913007962e-05
feature_114,2.9731881086036972e-05
feature_23,3.4412979302445026e-05
feature_2,3.770186667952924e-05
feature_24,3.7712474374473894e-05
feature_67,4.185848659767899e-05
feature_40,4.42920361438004e-05
feature_87,4.871896744091941e-05
feature_124,4.929457367504053e-05
feature_46,5.838918981468932e-05
feature_13,5.850483758087499e-05
feature_19,5.9824844511369156e-05
feature_86,5.989440788867206e-05
feature_44,6.341950413977227e-05
feature_82,6.80672964591178e-05
feature_50,6.970004249085004e-05
feature_21,7.154153244837147e-05
feature_47,8.010464212613311e-05
feature_103,8.723662477803096e-05
feature_9,8.997620171882214e-05
feature_102,9.032503767925082e-05
feature_93,9.599814313301369e-05
feature_128,0.00010371035242089377
feature_48,0.00011313548540472506
feature_112,0.00012014470654932995
feature_101,0.00012719427286231877
feature_121,0.00014324078709428977
feature_30,0.00014528539391356343
feature_76,0.0001822151084504453
feature_62,0.00020171978641516652
feature_36,0.00021792031360661212
feature_39,0.0002456964418355856
feature_65,0.0002597360860961295
feature_69,0.00030696776862935147
feature_59,0.00030782994803397746
feature_95,0.00036488365974094437
feature_8,0.0003999157092204886
feature_17,0.00047327052517391887
