feature,mean_importance
feature_69,-0.00042627287447045693
feature_77,-0.00029443133388418197
feature_76,-0.0002574590681556188
feature_71,-0.0002563650075683599
feature_47,-0.0002220888459927073
feature_63,-0.00020474270211896518
feature_79,-0.0001899371607715361
feature_110,-0.00017984293055450795
feature_111,-0.0001790722265444078
feature_9,-0.00017756751749922194
feature_128,-0.00014959522293389593
feature_106,-0.0001489917688898501
feature_58,-0.00013981559733560188
feature_19,-0.00013619907132151888
feature_105,-0.00013121909209985462
feature_42,-0.00013032085308872787
feature_70,-0.00011807731240245367
feature_121,-0.00011371956585561893
feature_75,-0.00011046654110034027
feature_118,-9.525762613435962e-05
feature_82,-9.476669241674785e-05
feature_108,-8.344794201875505e-05
feature_89,-7.984258355560047e-05
feature_78,-6.401849429666928e-05
feature_13,-3.537558368282845e-05
feature_97,-3.085619605394108e-05
feature_100,-2.449381012243901e-05
feature_65,-1.5777227654378833e-05
feature_52,-1.2889613938571464e-05
feature_29,-1.1992647973624315e-05
feature_1,-8.77904444229749e-06
feature_48,-6.981202864331238e-06
feature_23,-5.526155604473892e-06
feature_114,0.0
feature_125,0.0
feature_18,0.0
feature_39,0.0
feature_109,0.0
feature_53,2.2204460492503132e-17
feature_62,3.263749690951556e-06
feature_34,9.832723322156233e-06
feature_8,1.4492736780380432e-05
feature_6,1.562736084408378e-05
feature_2,1.625409714882675e-05
feature_113,2.2030529193672875e-05
feature_26,3.2773659437612676e-05
feature_107,3.851540055193059e-05
feature_61,4.695190985857245e-05
feature_90,4.737797606921834e-05
feature_17,5.379919051295978e-05
feature_7,5.39119683625966e-05
feature_43,5.552363427008267e-05
feature_50,5.624524333489589e-05
feature_21,6.379119399855249e-05
feature_30,6.382215682474435e-05
feature_38,6.94101775404743e-05
feature_127,7.073267257657889e-05
feature_103,7.279237018948947e-05
feature_102,7.973448542231143e-05
feature_124,9.660865477238989e-05
feature_98,0.00011372611427700186
feature_80,0.00012201453424700581
feature_28,0.00012697715380056708
feature_87,0.00012713379474871278
feature_64,0.00013297848082720608
feature_112,0.00013332309818931966
feature_16,0.00013734692662374924
feature_72,0.00013777191506421095
feature_40,0.00014187797843017157
feature_96,0.00015753821557482617
feature_101,0.00016552126460864792
feature_20,0.00019190368177712802
feature_15,0.00019728451129468193
feature_67,0.00020168172186811882
feature_120,0.0002095958419537247
feature_81,0.0002272025703526026
feature_123,0.0002518921346893688
feature_117,0.00025228927835747595
feature_93,0.00027581807967347327
feature_85,0.00027723764475648947
feature_54,0.0002780119582056928
feature_119,0.00028963897708200737
feature_95,0.00028972311776693794
feature_86,0.00029478092706478607
feature_35,0.0002971159606722562
feature_44,0.00030762860575899164
feature_24,0.00032010728934881436
feature_31,0.00033646571003036473
feature_59,0.0003527385533249605
feature_33,0.0003624304983302462
feature_57,0.00040173525459454853
feature_36,0.0004222701304175347
feature_92,0.00043217823519037246
feature_41,0.0004888248324089073
feature_32,0.0005487829490773199
feature_84,0.0008758030933657679
feature_46,0.0008997904710174697
feature_104,0.0010768723286850523
feature_88,0.0011698604395601775
feature_4,0.001451418906237012
