feature,shap_importance
feature_10,0.2515681
feature_12,0.09949508
feature_25,0.096145906
feature_20,0.09103897
feature_48,0.08859727
feature_2,0.08829479
feature_7,0.08202973
feature_8,0.07585316
feature_85,0.07459524
feature_95,0.07059315
feature_37,0.07025854
feature_90,0.06561631
feature_62,0.057135466
feature_14,0.054453798
feature_46,0.051152635
feature_92,0.050950546
feature_21,0.050710645
feature_43,0.048892356
feature_31,0.048572287
feature_29,0.047448635
feature_1,0.04742051
feature_91,0.046903677
feature_86,0.045787804
feature_69,0.045427535
feature_78,0.04491996
feature_39,0.043945324
feature_22,0.04374501
feature_66,0.043257166
feature_41,0.04280549
feature_84,0.04174688
feature_88,0.04166773
feature_50,0.04114667
feature_19,0.040217537
feature_26,0.039964773
feature_3,0.039394747
feature_94,0.038665846
feature_45,0.038610812
feature_99,0.03847188
feature_79,0.03751817
feature_74,0.037203703
feature_6,0.03699366
feature_52,0.03698356
feature_75,0.036630083
feature_68,0.036370058
feature_44,0.035851736
feature_34,0.0354059
feature_93,0.035185684
feature_54,0.03493071
feature_13,0.03394305
feature_47,0.03255569
feature_16,0.032152664
feature_61,0.031755973
feature_32,0.031099336
feature_38,0.029954635
feature_53,0.029081566
feature_15,0.028153896
feature_81,0.027839357
feature_27,0.027720386
feature_80,0.026545048
feature_73,0.02615027
feature_100,0.025793144
feature_40,0.02532433
feature_17,0.024865054
feature_57,0.024822915
feature_71,0.024529787
feature_23,0.023882234
feature_58,0.023586785
feature_49,0.023462143
feature_59,0.023411602
feature_11,0.023345217
feature_77,0.02273963
feature_36,0.022425115
feature_42,0.022202263
feature_55,0.021484599
feature_65,0.02036269
feature_24,0.020095687
feature_18,0.01948523
feature_5,0.019290682
feature_89,0.017653666
feature_64,0.01734214
feature_97,0.017156076
feature_76,0.016960237
feature_87,0.01682099
feature_60,0.016691582
feature_35,0.016208185
feature_28,0.016046226
feature_33,0.014699612
feature_4,0.014658314
feature_98,0.0136346975
feature_83,0.013135836
feature_72,0.0130524915
feature_82,0.012550555
feature_30,0.011529755
feature_96,0.011138213
feature_9,0.011112184
feature_51,0.010870949
feature_67,0.010676893
feature_56,0.008144547
feature_70,0.005695485
feature_63,0.0
