feature,mean_importance
feature_15,-0.003535391462185644
feature_47,-0.0025434344948831013
feature_16,-0.0024313190597164526
feature_34,-0.0023505892024394902
feature_29,-0.0019080410134052039
feature_49,-0.0018986369542831837
feature_9,-0.0018128275486712698
feature_96,-0.0016228217853448078
feature_94,-0.0011154424457935797
feature_45,-0.001110052102510739
feature_4,-0.001094366049281348
feature_3,-0.00099803804137224
feature_84,-0.0008962069122506966
feature_92,-0.0008741662443142451
feature_78,-0.0008276726927522349
feature_65,-0.0008223291516907371
feature_52,-0.0008199435928555987
feature_76,-0.0007076122031971277
feature_64,-0.0006745309300814073
feature_6,-0.000662190949107222
feature_18,-0.0006486399906902917
feature_73,-0.0005810697691130296
feature_44,-0.0005770266746178754
feature_8,-0.0005130438137228355
feature_46,-0.0004557817514465601
feature_24,-0.00042246988730898494
feature_56,-0.0003979919291861922
feature_75,-0.0003809562726517335
feature_35,-0.00033250142671823466
feature_41,-0.0003227433898581822
feature_100,-0.0002382562117452469
feature_11,-0.00018547214040243176
feature_1,-0.00018457266080991187
feature_88,-0.00017543079942774486
feature_77,-0.0001702582265087571
feature_86,-0.00015609097902662404
feature_87,-0.000129649093948081
feature_58,-0.00010311311333228712
feature_68,-3.932079280644096e-05
feature_66,-1.5955081766128033e-05
feature_69,4.8470487232576966e-05
feature_79,5.470297671748003e-05
feature_10,0.00011919276813117108
feature_60,0.0001576667372259699
feature_82,0.000182623149557104
feature_32,0.00018401785427404337
feature_83,0.00018837917198906152
feature_14,0.0001901729038404465
feature_50,0.00020582798165129644
feature_85,0.00023427390108845536
feature_2,0.00027812307318082486
feature_27,0.0003265173113684128
feature_57,0.00038318707597513325
feature_61,0.00040411069707824154
feature_38,0.00042028878875399744
feature_33,0.00042726713613063796
feature_51,0.0004522399445451075
feature_95,0.0005090334211589331
feature_72,0.0005206040367291998
feature_23,0.0005340422577850612
feature_13,0.0005391432752265945
feature_48,0.0005454489694819431
feature_40,0.0005616999522656485
feature_81,0.0005946775916665148
feature_62,0.0006730139705166671
feature_89,0.000684025494445395
feature_80,0.0008715745948730147
feature_36,0.0009016375000011623
feature_5,0.000946591793509688
feature_7,0.0009559339071585127
feature_70,0.0009784516364998552
feature_20,0.0009918427286081278
feature_30,0.0010043073845408257
feature_67,0.0010345821304821757
feature_28,0.0010509125133185693
feature_42,0.0010615178638067936
feature_97,0.0011649946148165613
feature_55,0.001205344826910104
feature_59,0.0012086064508140648
feature_17,0.0012976145607430656
feature_21,0.001327014638601276
feature_63,0.0013465296739200827
feature_54,0.0014123406121004489
feature_19,0.0014661845889687663
feature_93,0.001610954200775394
feature_25,0.0016302435064580179
feature_37,0.0019007667787360294
feature_31,0.0019170589958118934
feature_12,0.002003661948815738
feature_91,0.00201711861233711
feature_53,0.0020480825033607265
feature_39,0.0022245839025371696
feature_71,0.002282303864218371
feature_74,0.0025081303036596837
feature_99,0.0027293782030564763
feature_26,0.002795447451971378
feature_22,0.0028445437156230822
feature_90,0.003402739954066214
feature_98,0.0039548518984168
feature_43,0.00497309790174485
