feature,mean_importance
feature_78,-0.0005105003697679855
feature_7,-0.000426449844778265
feature_1,-0.00041551645213244726
feature_15,-0.00020706271768309304
feature_97,-0.00018840352822024897
feature_50,-0.00017167955373806887
feature_34,-0.00011978709594431258
feature_36,-9.322468386938621e-05
feature_27,-8.895660959964413e-05
feature_6,-6.995953649717724e-05
feature_86,-6.0644834765888335e-05
feature_93,-5.723146126590528e-05
feature_47,-5.2793812797213846e-05
feature_46,-4.564402755726782e-05
feature_52,-3.371393016353697e-05
feature_60,-3.2683633689067906e-05
feature_74,-3.22898746189848e-05
feature_76,-2.9350155371776766e-05
feature_4,-2.580769447633191e-05
feature_73,-2.555622441648975e-05
feature_28,-2.542432836118991e-05
feature_53,-2.485121550948044e-05
feature_37,-2.3587573893868452e-05
feature_56,-2.1646390151897066e-05
feature_83,-2.0205213951340894e-05
feature_67,-1.8678034491603766e-05
feature_30,-1.661958420176024e-05
feature_96,-1.5115930212949991e-05
feature_23,-1.0640007686468778e-05
feature_92,-9.699581635347343e-06
feature_22,-7.362873121574687e-06
feature_94,-5.777477707002987e-06
feature_80,-4.6945054115843375e-06
feature_61,-4.473425959483635e-06
feature_75,-1.4792937357066548e-06
feature_58,0.0
feature_64,9.236960292646756e-07
feature_98,1.8773087246959363e-06
feature_68,4.51482735324138e-06
feature_84,5.420488078144992e-06
feature_26,7.6261035359959095e-06
feature_38,7.693252766727277e-06
feature_70,8.566653650388111e-06
feature_72,1.0724474770329451e-05
feature_2,1.624098955081976e-05
feature_51,1.6713800028145264e-05
feature_71,1.7712774175016045e-05
feature_33,1.8776760859839926e-05
feature_14,1.9136348059389796e-05
feature_45,1.976076202228061e-05
feature_79,2.1452277671363262e-05
feature_24,2.3851638414007503e-05
feature_95,2.4743443804520203e-05
feature_35,2.6537302134732597e-05
feature_5,2.6763070604873816e-05
feature_13,2.7656566156930573e-05
feature_32,3.2050218745127704e-05
feature_44,3.570600372913013e-05
feature_18,3.6302264900500704e-05
feature_29,3.759496067403667e-05
feature_43,3.850178050261999e-05
feature_3,3.8662729012850504e-05
feature_89,3.972412148356419e-05
feature_63,4.053749440435794e-05
feature_49,4.700339948020549e-05
feature_59,4.9664361682588695e-05
feature_54,5.01139999427247e-05
feature_9,5.127242668190313e-05
feature_11,5.4133763420050054e-05
feature_17,5.485287644522163e-05
feature_91,5.5646520049501545e-05
feature_20,6.226093631453989e-05
feature_81,7.070310955963333e-05
feature_40,7.177394409920712e-05
feature_87,7.321111010862857e-05
feature_16,7.8617616208021e-05
feature_82,8.818621256474479e-05
feature_62,9.216139247056888e-05
feature_8,0.0001173131851738729
feature_65,0.00013485719927537333
feature_19,0.0001387416628535254
feature_99,0.00017083344089507957
feature_88,0.00018710098682279687
feature_57,0.00021039653405223734
feature_100,0.0002257385385976418
feature_41,0.00023462288171993695
feature_31,0.0002691171262830805
feature_21,0.0003283536966523171
feature_90,0.00034020370037748384
feature_69,0.00037819655925286355
feature_66,0.00039831723030585574
feature_39,0.00047276002784994996
feature_55,0.0004999753879565638
feature_42,0.0005203646395903095
feature_12,0.001865802742009759
feature_48,0.0022082264659432083
feature_85,0.0026886097261209275
feature_77,0.0030287463073316533
feature_25,0.016572323915331234
feature_10,0.035427724510882386
