feature,mean_importance
feature_111,-0.004165075985588329
feature_273,-0.002257913751296492
feature_355,-0.00031030636613580407
feature_305,0.0
feature_304,0.0
feature_303,0.0
feature_302,0.0
feature_301,0.0
feature_300,0.0
feature_299,0.0
feature_298,0.0
feature_297,0.0
feature_296,0.0
feature_295,0.0
feature_294,0.0
feature_293,0.0
feature_292,0.0
feature_291,0.0
feature_290,0.0
feature_289,0.0
feature_288,0.0
feature_287,0.0
feature_286,0.0
feature_285,0.0
feature_284,0.0
feature_283,0.0
feature_306,0.0
feature_307,0.0
feature_1,0.0
feature_309,0.0
feature_333,0.0
feature_332,0.0
feature_331,0.0
feature_330,0.0
feature_329,0.0
feature_328,0.0
feature_327,0.0
feature_326,0.0
feature_325,0.0
feature_324,0.0
feature_323,0.0
feature_282,0.0
feature_322,0.0
feature_320,0.0
feature_319,0.0
feature_318,0.0
feature_317,0.0
feature_316,0.0
feature_315,0.0
feature_314,0.0
feature_313,0.0
feature_312,0.0
feature_311,0.0
feature_310,0.0
feature_321,0.0
feature_308,0.0
feature_280,0.0
feature_279,0.0
feature_249,0.0
feature_248,0.0
feature_247,0.0
feature_246,0.0
feature_245,0.0
feature_244,0.0
feature_243,0.0
feature_242,0.0
feature_241,0.0
feature_240,0.0
feature_239,0.0
feature_250,0.0
feature_238,0.0
feature_236,0.0
feature_235,0.0
feature_234,0.0
feature_233,0.0
feature_232,0.0
feature_231,0.0
feature_230,0.0
feature_229,0.0
feature_228,0.0
feature_227,0.0
feature_226,0.0
feature_237,0.0
feature_281,0.0
feature_251,0.0
feature_253,0.0
feature_278,0.0
feature_277,0.0
feature_276,0.0
feature_275,0.0
feature_274,0.0
feature_272,0.0
feature_271,0.0
feature_270,0.0
feature_269,0.0
feature_268,0.0
feature_267,0.0
feature_252,0.0
feature_266,0.0
feature_264,0.0
feature_263,0.0
feature_262,0.0
feature_261,0.0
feature_260,0.0
feature_259,0.0
feature_258,0.0
feature_257,0.0
feature_256,0.0
feature_255,0.0
feature_254,0.0
feature_265,0.0
feature_334,0.0
feature_335,0.0
feature_336,0.0
feature_418,0.0
feature_417,0.0
feature_416,0.0
feature_414,0.0
feature_413,0.0
feature_412,0.0
feature_411,0.0
