feature,mean_importance
feature_60,-0.003941848744451981
feature_3,-0.0027728463232517208
feature_28,-0.0019195056363940477
feature_25,-0.001741688057780255
feature_59,-0.0012507931053638455
feature_67,-0.0012073658108711083
feature_4,-0.0012062087789177945
feature_48,-0.0009285607442260036
feature_11,-0.0006593516752123607
feature_32,-0.00048279554843899675
feature_46,-0.0004800378799438176
feature_43,-0.0004314826950430728
feature_51,-0.00041610656827688607
feature_50,-0.00032473136186599304
feature_9,-0.0003113379016518536
feature_70,-0.0001676442727446492
feature_22,-0.00012455626875160775
feature_24,-8.116692304604989e-06
feature_36,0.0
feature_27,2.1133947372442562e-05
feature_49,3.981089890003897e-05
feature_73,0.00011213895976540656
feature_33,0.0001536078065633939
feature_57,0.00018756676912308202
feature_7,0.0003094772666693002
feature_2,0.0003200112178921799
feature_74,0.000354713010787977
feature_56,0.00037229956835509447
feature_1,0.00044111109822988495
feature_29,0.0005114701896905994
feature_64,0.000582557016611096
feature_52,0.0005917944610118964
feature_44,0.0006074916183948398
feature_14,0.0006343847364187249
feature_42,0.0006713935524224945
feature_63,0.0006845100462436804
feature_53,0.0006911234840750957
feature_12,0.0007243622124195159
feature_37,0.0007313634037971805
feature_71,0.0007595371350645807
feature_18,0.0007785822078585803
feature_68,0.0007860296130180356
feature_26,0.0009149015739560173
feature_38,0.0009222814336419027
feature_35,0.0009375253602862399
feature_5,0.0009800307303666988
feature_17,0.0010342856734991245
feature_65,0.0010464472234249067
feature_8,0.0010493061095476319
feature_21,0.0010675466254353783
feature_72,0.0010823894828557944
feature_23,0.0011193064302206235
feature_16,0.0011215034127235236
feature_31,0.0012756949424743702
feature_40,0.0013324385091662227
feature_76,0.001355151911079866
feature_6,0.0014011938601732332
feature_62,0.0014139728069305635
feature_55,0.0017239294216036872
feature_34,0.0017798010155558597
feature_41,0.0018513166218996346
feature_13,0.0018602449104189623
feature_69,0.002114856578409685
feature_30,0.002155329850316057
feature_19,0.002166801355779202
feature_47,0.0021797818377613963
feature_58,0.0022359613001347034
feature_20,0.0022864037156104856
feature_54,0.0025003765836358214
feature_39,0.0025353782355785224
feature_15,0.0029795683920383676
feature_75,0.0030592485204339105
feature_45,0.0032451094776392076
feature_61,0.0033406421393155973
feature_10,0.0036460375964641354
feature_66,0.0048522143319248865
