feature,shap_importance
feature_11,0.121927686
feature_9,0.11209808
feature_29,0.09547974
feature_45,0.09257235
feature_67,0.09194875
feature_70,0.091142714
feature_30,0.090658575
feature_57,0.08705139
feature_6,0.081876755
feature_33,0.08083421
feature_20,0.07901578
feature_15,0.0778222
feature_25,0.07536072
feature_47,0.074440874
feature_35,0.07393067
feature_65,0.06859521
feature_8,0.06704528
feature_53,0.06633663
feature_60,0.06602111
feature_32,0.065747485
feature_5,0.06573273
feature_72,0.064792655
feature_37,0.06311696
feature_26,0.0630628
feature_69,0.062707625
feature_46,0.061444808
feature_58,0.05905168
feature_54,0.056248996
feature_68,0.056165144
feature_21,0.055000592
feature_44,0.05492665
feature_4,0.05465252
feature_75,0.05448959
feature_50,0.054138932
feature_55,0.052811507
feature_43,0.052335944
feature_73,0.04983098
feature_31,0.048132706
feature_28,0.048086755
feature_39,0.047925115
feature_13,0.047203
feature_22,0.04629306
feature_10,0.045737687
feature_66,0.045372613
feature_24,0.044839777
feature_71,0.043511637
feature_16,0.043380108
feature_1,0.042269096
feature_61,0.041995276
feature_34,0.039418727
feature_59,0.039357983
feature_74,0.03916792
feature_52,0.03803828
feature_42,0.037258614
feature_41,0.037185732
feature_64,0.0365327
feature_23,0.035288613
feature_14,0.035047784
feature_51,0.034247234
feature_7,0.032639652
feature_56,0.03205279
feature_17,0.03183396
feature_19,0.030921802
feature_12,0.02988558
feature_62,0.029549249
feature_48,0.02902976
feature_63,0.028168902
feature_40,0.026902763
feature_3,0.026009692
feature_38,0.024428219
feature_49,0.023214879
feature_18,0.02309267
feature_27,0.022649912
feature_2,0.021885129
feature_76,0.015804982
feature_36,0.0
