feature,mean_importance
feature_27,-0.005918173484318978
feature_5,-0.005441156238928224
feature_73,-0.003930373420999911
feature_25,-0.0032432052872435114
feature_32,-0.0031233604405600302
feature_59,-0.0028515427000466165
feature_11,-0.0023402125054802435
feature_38,-0.002324342204395746
feature_37,-0.0020863584130980106
feature_53,-0.0019152953654405724
feature_8,-0.0015964616469504645
feature_24,-0.0015386642148705887
feature_52,-0.0011022352854562322
feature_51,-0.001086905853985698
feature_2,-0.0010453818995018072
feature_31,-0.000993011580654013
feature_57,-0.0008883246406121037
feature_67,-0.0008778908072824443
feature_61,-0.0007432882059464685
feature_28,-0.0006599359172915875
feature_17,-0.0006367146020531678
feature_18,-0.000584138504860432
feature_4,-0.0005284462304096848
feature_63,-0.0005081168747821607
feature_46,-0.0004242407812252047
feature_9,-0.00036819433897203877
feature_60,-0.0002818804094040228
feature_64,-0.00018980165253650315
feature_50,-0.00012546349002562351
feature_29,-0.00012448412187695545
feature_21,-0.0001191405566264736
feature_43,-8.260291689359267e-05
feature_12,-1.8174101933587926e-05
feature_56,4.263023607895544e-05
feature_36,4.785592546752149e-05
feature_68,9.610226862686311e-05
feature_20,0.00033257284103933583
feature_76,0.000586860919248422
feature_1,0.0007168557534934283
feature_35,0.0007210619751935709
feature_45,0.0007267031646434497
feature_14,0.0007420318130671344
feature_42,0.0007758876627111721
feature_74,0.0007955263198887064
feature_49,0.0008276553250416097
feature_40,0.0008389338197500873
feature_16,0.0008847848605976427
feature_10,0.0009284241296714013
feature_55,0.0009626618461339387
feature_7,0.0010057528235157599
feature_39,0.0010538285762366818
feature_3,0.0012797683993761133
feature_26,0.0013733269671880378
feature_6,0.0013750290699266366
feature_19,0.0013772676696471198
feature_34,0.0014253620784318688
feature_75,0.001489040168095701
feature_33,0.0015915462511693513
feature_66,0.0017754717845287703
feature_65,0.0017978474400087263
feature_13,0.0017982220583895093
feature_69,0.0021214190141001454
feature_62,0.0023026683994630927
feature_15,0.0023718778827370056
feature_72,0.0024478980305786546
feature_48,0.0025079613879087415
feature_58,0.002628737314372276
feature_54,0.002755358599747848
feature_30,0.0028042408268953876
feature_41,0.0029396615948076078
feature_23,0.0029816649909347958
feature_71,0.0032212728724221097
feature_22,0.003221709146570495
feature_70,0.0035039209326452212
feature_47,0.004161033612965004
feature_44,0.004226303168571421
