feature,mean_importance
feature_11,-0.0009245941515190204
feature_67,-0.0003270250335619673
feature_28,-0.00031415515636914473
feature_60,-0.0002945620650713687
feature_4,-0.00018777291968115063
feature_27,-0.00018423300285905775
feature_8,-0.00018013036164146178
feature_59,-0.00011828849393376028
feature_73,-7.602725061590654e-05
feature_71,-3.520395780731711e-05
feature_43,-2.7811468267180394e-05
feature_19,-2.4290709861052307e-05
feature_25,-2.1511135716312247e-05
feature_23,-2.040097499977911e-06
feature_9,1.470375807621771e-06
feature_51,1.2247508255769369e-05
feature_17,1.7325164072445887e-05
feature_12,2.5909921183009388e-05
feature_41,3.486565820385312e-05
feature_74,4.0188575460708974e-05
feature_52,4.825164282191707e-05
feature_37,5.782874100273006e-05
feature_65,6.365845231095512e-05
feature_38,6.614125771300383e-05
feature_5,7.152108297912019e-05
feature_55,7.30868728033629e-05
feature_10,7.833133372419088e-05
feature_16,7.92754294362652e-05
feature_31,9.407363252360579e-05
feature_18,9.465228982266093e-05
feature_24,9.636835518165299e-05
feature_64,9.870755600585034e-05
feature_72,0.00010618743850046019
feature_36,0.00010943773412421808
feature_46,0.00011010929549399861
feature_33,0.00011239997740666307
feature_1,0.00011295436336993259
feature_13,0.00011306328741240712
feature_39,0.00012166864621945272
feature_49,0.00012717734505556243
feature_35,0.00014316926509496674
feature_22,0.00014987461949518278
feature_32,0.00016695956063808026
feature_3,0.00016879868563446365
feature_20,0.00017102409435330035
feature_63,0.00018227799574181968
feature_76,0.0001932453718655358
feature_7,0.0002013732365210963
feature_34,0.00021172042725565722
feature_14,0.00022300786056252963
feature_75,0.00022367851620421763
feature_56,0.00024088633608767562
feature_68,0.000249388979035059
feature_53,0.00028083673270022923
feature_44,0.0002828875198478409
feature_42,0.00028537318221555363
feature_40,0.00028878193464849656
feature_29,0.00028995850110804524
feature_6,0.000301935381147711
feature_61,0.0003233747993002023
feature_48,0.00032941619041586544
feature_70,0.00035588671997226483
feature_2,0.0003595625789185153
feature_30,0.00037504925326399264
feature_21,0.00037880311322975314
feature_62,0.00038207347054397545
feature_54,0.0003858766909210498
feature_57,0.0004825788519643659
feature_26,0.0005011690559257431
feature_69,0.0005043611956955685
feature_15,0.0005161325370349968
feature_58,0.000675419403698152
feature_66,0.0007065384723037527
feature_45,0.0007421462071995011
feature_50,0.0008073728393174883
feature_47,0.0016248193979850223
