feature,mean_importance
feature_54,-0.0022857083159434134
feature_30,-0.001611662833478089
feature_75,-0.0013032345676544654
feature_44,-0.001022306691277275
feature_122,-0.001000257333688004
feature_124,-0.000984566352874916
feature_56,-0.0009282956245654894
feature_22,-0.0005639972225880641
feature_71,-0.00047334008376200833
feature_43,-0.0004294910069823521
feature_66,-0.0004157419274524399
feature_63,-0.0003600264440361656
feature_106,-0.00029781731160589687
feature_49,-0.0002883832226626915
feature_104,-0.0002675673470464712
feature_117,-0.00023026854501606575
feature_90,-0.00023026854501602135
feature_65,-0.00022451405603443053
feature_79,-0.00019451826985443786
feature_25,-0.00017309472679529758
feature_119,-0.00014524295565649937
feature_12,-0.00011235637223303563
feature_58,-0.0001016973128188825
feature_36,-0.0001016973128188825
feature_95,-0.00010169731281883809
feature_123,-0.00010169731281883809
feature_2,-8.859122788964501e-05
feature_11,-6.760254795923348e-05
feature_74,-6.407904506331442e-05
feature_46,-4.474043747340062e-05
feature_109,-2.4257562794693933e-05
feature_99,-6.920774408647468e-06
feature_26,-1.5559295010847407e-06
feature_76,-1.4481097762475414e-06
feature_24,1.3128990888233715e-06
feature_60,1.2899720850900743e-05
feature_45,1.5827374291266237e-05
feature_91,2.2399461839905932e-05
feature_18,3.5405482866268655e-05
feature_59,4.9762337726466654e-05
feature_4,5.50047463233172e-05
feature_92,6.181257980173439e-05
feature_52,6.68747094465738e-05
feature_35,8.381295023780488e-05
feature_68,9.520311903363777e-05
feature_88,0.00012066719964229922
feature_10,0.00013703957123478716
feature_77,0.00014137584888882505
feature_29,0.00017127403305077226
feature_64,0.00018222587651457457
feature_98,0.00019419976496251045
feature_34,0.00019709924033219916
feature_40,0.00020663303951673484
feature_47,0.00022456946251792065
feature_83,0.000260458201116287
feature_3,0.00027656316275090906
feature_61,0.000290407623982869
feature_110,0.000290407623982869
feature_108,0.00031928539486942854
feature_80,0.00031965927633978983
feature_87,0.0003196626494204713
feature_31,0.0003218458084911058
feature_84,0.0003314765986865753
feature_81,0.0003410910651967525
feature_17,0.0003425399305593491
feature_38,0.0003657675285044126
feature_78,0.00037527795585450273
feature_97,0.00041290102688120724
feature_73,0.00042294400079994076
feature_14,0.00042667862117720114
feature_86,0.0004283742789919387
feature_9,0.0004506582472429299
feature_105,0.000454475460663728
feature_48,0.0004705734818401863
feature_57,0.0005261715727323368
feature_15,0.0005635388471227021
feature_120,0.0005733628374207545
feature_8,0.000590256193648786
feature_33,0.0005927999295428643
feature_41,0.0006387201009583788
feature_6,0.000644965284037391
feature_27,0.0006480770111800371
feature_89,0.0006713677911951655
feature_93,0.0007007901011111262
feature_118,0.000704735782232957
feature_70,0.0007342564399345442
feature_16,0.0007442656670355374
feature_116,0.0007501265019652425
feature_62,0.0007581914578005833
feature_20,0.0008503754306371958
feature_96,0.0008571228326389457
feature_1,0.0008625957443312738
feature_85,0.0008657520568079224
feature_72,0.0009173280946551232
feature_82,0.0009355402709255057
feature_50,0.0009435958655767517
feature_28,0.0009440886535430737
feature_5,0.0009747703342211977
feature_37,0.0009827615915547038
feature_112,0.000983522912570023
feature_13,0.0010073459492420112
feature_19,0.0010274659936511555
feature_94,0.0010641608264232883
feature_67,0.0012608116244077871
feature_51,0.001313143359039559
feature_121,0.0013551652829881355
feature_23,0.0014056291434998425
feature_111,0.0015137284088194037
feature_21,0.001600470837456114
feature_114,0.0017308893268432434
feature_101,0.0018145575282130012
feature_55,0.001841012640440387
feature_32,0.0019195381435770154
feature_100,0.001984546588579028
feature_103,0.0020481477941658665
feature_39,0.002067956343340027
feature_7,0.0021842703296259145
feature_53,0.0022285480575457094
feature_42,0.0026646455237933075
feature_107,0.003740036778800193
feature_115,0.004356954066842933
feature_69,0.004559540427095032
feature_113,0.004576563112911524
feature_102,0.007910967175042981
