feature,mean_importance
feature_71,-0.0024742900480826833
feature_20,-0.002339094065626468
feature_15,-0.001346265899141641
feature_56,-0.0012684949457645756
feature_57,-0.0012111720701058592
feature_41,-0.001204603870709775
feature_63,-0.0011740800589323142
feature_89,-0.0011108704388141711
feature_91,-0.000997347829739237
feature_44,-0.0009638387223085187
feature_106,-0.0009196450034777204
feature_75,-0.0009020848770936452
feature_118,-0.0007622402797142991
feature_25,-0.0007610726376374721
feature_77,-0.0007604511320591145
feature_65,-0.0006337764968475046
feature_5,-0.000614494512478525
feature_4,-0.0005979788422584731
feature_68,-0.0005942547321319935
feature_48,-0.0004925970921914269
feature_54,-0.00044600159525873815
feature_97,-0.0004410165578127012
feature_86,-0.0003827784498532383
feature_24,-0.00035441631972792375
feature_102,-0.0003419593910376495
feature_66,-0.00032754665315153363
feature_69,-0.0003209337115288147
feature_10,-0.00026765577395757576
feature_109,-0.00020782570640245356
feature_50,-0.00018640948335331143
feature_124,-0.0001636364281177638
feature_105,-0.0001232498566309692
feature_2,-9.626540541649576e-05
feature_18,-4.2122822999957064e-05
feature_3,-3.340018590292093e-05
feature_22,-2.7972807486875693e-05
feature_96,-8.841955661775813e-06
feature_117,0.0
feature_123,0.0
feature_58,0.0
feature_110,0.0
feature_95,0.0
feature_1,1.8530235687896913e-05
feature_78,2.2609375913917873e-05
feature_31,2.2755372524252414e-05
feature_21,3.6336984237039796e-05
feature_59,8.607325355209916e-05
feature_46,0.0001661631981531686
feature_28,0.0002351528704166439
feature_98,0.0002455543637275515
feature_111,0.00024985549449918487
feature_60,0.0002528028945127936
feature_49,0.0002601029217242923
feature_37,0.00030471839110055574
feature_74,0.000317723276217774
feature_43,0.00031782159507272035
feature_39,0.0003195887486139526
feature_23,0.0003288549234469418
feature_80,0.0003311413665612495
feature_76,0.0003314523537953695
feature_40,0.00035473800301550896
feature_81,0.00036409905354179984
feature_90,0.0003688489039739062
feature_32,0.0003804670135179711
feature_26,0.0003817647894223342
feature_45,0.00038212055762607553
feature_52,0.00039027043581005836
feature_92,0.00039887139797205594
feature_122,0.0004156820972760489
feature_99,0.0004411885797977355
feature_55,0.00044940264622368443
feature_61,0.0004534940560658285
feature_116,0.0004620231091975846
feature_64,0.0004870608985423575
feature_51,0.000493698694308553
feature_70,0.0005470624109109145
feature_79,0.0005660067607958785
feature_12,0.000585745396216697
feature_112,0.0005882815996805623
feature_101,0.000590748580296796
feature_72,0.0006533356845378924
feature_94,0.0006719463090101741
feature_87,0.000682124852140742
feature_120,0.0006900651196638519
feature_9,0.0007006175786256508
feature_119,0.0008014754891395359
feature_100,0.0008019035518169071
feature_83,0.0008019135634104391
feature_104,0.0008851518273353509
feature_19,0.0008938702503839879
feature_16,0.0009469127813974687
feature_35,0.00098688566883407
feature_38,0.0010306301971276578
feature_73,0.0010436765333016406
feature_108,0.0010815278828143703
feature_103,0.0011049421677986394
feature_14,0.0011703565130630976
feature_82,0.0012100285102923714
feature_6,0.001237245635191564
feature_8,0.0012587437093257935
feature_53,0.0012698204120000112
feature_27,0.00128787634372709
feature_93,0.0013316183805465397
feature_33,0.001374547663331027
feature_11,0.0015360340098539815
feature_85,0.0015414034456014524
feature_17,0.0016268382489680988
feature_29,0.001668353492021546
feature_62,0.0017295454521974118
feature_34,0.0017828031520048526
feature_115,0.0018005892535050583
feature_7,0.001871855793396615
feature_47,0.0019653263390064122
feature_30,0.0019926589985688413
feature_114,0.0020848934352397652
feature_84,0.0022707030773162717
feature_107,0.0022970365037520367
feature_13,0.002348565778136247
feature_121,0.002375792413949962
feature_113,0.0025092943380276233
feature_42,0.002514481776952704
feature_36,0.002562878578901273
feature_67,0.002863170424103734
feature_88,0.003789080208539941
