feature,shap_importance
feature_39,0.09675016
feature_30,0.0944133
feature_113,0.08645891
feature_115,0.08555878
feature_7,0.08281246
feature_33,0.07750832
feature_88,0.07615079
feature_107,0.06857713
feature_121,0.068498835
feature_34,0.06678217
feature_85,0.063334435
feature_75,0.06248551
feature_31,0.061047457
feature_41,0.058917977
feature_87,0.05834532
feature_27,0.05781302
feature_71,0.057782568
feature_67,0.056339394
feature_52,0.05602591
feature_54,0.055601627
feature_43,0.05436266
feature_92,0.051105242
feature_104,0.050729886
feature_24,0.049359657
feature_38,0.049020123
feature_42,0.048420925
feature_35,0.04806501
feature_16,0.047105175
feature_13,0.04640005
feature_84,0.046315156
feature_124,0.044680428
feature_99,0.044676363
feature_103,0.04315986
feature_57,0.0428109
feature_101,0.04268118
feature_36,0.04199316
feature_15,0.04194178
feature_98,0.041573428
feature_64,0.041458484
feature_25,0.041395374
feature_48,0.04069027
feature_46,0.03990303
feature_18,0.03979702
feature_51,0.039661385
feature_23,0.03900759
feature_97,0.03873308
feature_70,0.03829146
feature_44,0.037419274
feature_17,0.03604185
feature_65,0.03576128
feature_93,0.03556291
feature_53,0.03505594
feature_1,0.034259807
feature_119,0.03385175
feature_69,0.033753958
feature_49,0.03366426
feature_82,0.03300893
feature_11,0.032888707
feature_63,0.032819424
feature_73,0.032282237
feature_62,0.032066945
feature_66,0.031967588
feature_114,0.03184341
feature_78,0.0317147
feature_4,0.03170428
feature_6,0.031367287
feature_89,0.031097857
feature_56,0.030360768
feature_9,0.03033408
feature_59,0.030021168
feature_106,0.029312883
feature_14,0.027948163
feature_29,0.02792964
feature_86,0.027483637
feature_47,0.02742711
feature_37,0.026919052
feature_108,0.02654418
feature_112,0.026232522
feature_94,0.025497606
feature_32,0.024619695
feature_22,0.024324566
feature_20,0.024097923
feature_77,0.02392167
feature_8,0.023758398
feature_72,0.022838138
feature_2,0.022734897
feature_120,0.022596292
feature_81,0.022045054
feature_55,0.021621715
feature_105,0.021546515
feature_61,0.020808132
feature_26,0.020725617
feature_100,0.020661026
feature_111,0.019957779
feature_91,0.019433185
feature_80,0.018815286
feature_45,0.018687937
feature_21,0.018616268
feature_10,0.01830403
feature_116,0.017710643
feature_3,0.016883157
feature_50,0.016761921
feature_74,0.016623523
feature_68,0.015442566
feature_60,0.015410167
feature_19,0.014870312
feature_79,0.014736524
feature_122,0.014498482
feature_96,0.014047727
feature_76,0.013671513
feature_12,0.01220557
feature_83,0.012166603
feature_5,0.011914153
feature_40,0.011830762
feature_109,0.011796555
feature_28,0.011653152
feature_118,0.011572926
feature_90,0.005433259
feature_102,0.0039197914
feature_117,0.0
feature_95,0.0
feature_110,0.0
feature_123,0.0
feature_58,0.0
