feature,mean_importance
feature_44,-0.0003634639263644379
feature_54,-0.000317100773271628
feature_75,-0.00026161844083514294
feature_30,-0.0002590564395048789
feature_43,-0.00021678489338512464
feature_115,-0.00017996465468093082
feature_65,-0.00014684289647248772
feature_124,-0.0001388788424610432
feature_104,-0.00013343483789542975
feature_95,-0.00012245888328052957
feature_88,-0.000108191022109283
feature_92,-9.583362531799811e-05
feature_56,-8.936756279700475e-05
feature_22,-8.891676866660259e-05
feature_4,-8.053698153187572e-05
feature_15,-6.993307075731092e-05
feature_99,-6.534250932477281e-05
feature_71,-6.427245549356364e-05
feature_25,-5.37132971182519e-05
feature_112,-4.883160579733925e-05
feature_69,-4.7752479213736265e-05
feature_31,-4.483532301067239e-05
feature_98,-4.025412343631185e-05
feature_28,-3.321064903647475e-05
feature_108,-2.6945287148860686e-05
feature_85,-2.6553440219712064e-05
feature_34,-2.2282171941623297e-05
feature_87,-2.047393653936691e-05
feature_2,-2.0190396343666706e-05
feature_49,-1.7515074879992375e-05
feature_102,-1.6262616341911063e-05
feature_11,-1.4399629015438008e-05
feature_18,-1.0729054430047568e-05
feature_64,-8.350544274349226e-06
feature_63,-6.0512846191906885e-06
feature_61,-5.644651979630488e-06
feature_52,-2.25588774998009e-06
feature_119,3.1423617063985887e-07
feature_100,1.14214990949435e-06
feature_123,1.388842484550956e-06
feature_76,6.180953742940254e-06
feature_60,7.259621487820667e-06
feature_89,9.948532142312061e-06
feature_58,1.0401452027841706e-05
feature_91,1.3026355854783844e-05
feature_10,1.420901219362225e-05
feature_101,1.707297946238473e-05
feature_110,1.7528960632806624e-05
feature_77,1.7914577223510087e-05
feature_81,2.1690655054973362e-05
feature_94,2.2901218605442254e-05
feature_90,2.3392223273743795e-05
feature_117,2.468431911544222e-05
feature_74,2.550512917307568e-05
feature_9,2.6711363639497775e-05
feature_80,2.6853641894630797e-05
feature_17,2.6991013080368555e-05
feature_27,2.6992940968284528e-05
feature_118,2.7162318107087914e-05
feature_116,3.2023037885364755e-05
feature_97,3.499599930685271e-05
feature_106,4.020688824084573e-05
feature_83,4.05963115855279e-05
feature_36,4.095313206824436e-05
feature_12,4.1101599431248025e-05
feature_47,4.1190785583311575e-05
feature_1,4.149733907614639e-05
feature_105,4.2547861637709516e-05
feature_19,4.524669589582864e-05
feature_55,4.6264229039616465e-05
feature_14,5.1106178792514886e-05
feature_82,5.201981810174505e-05
feature_109,5.225730932272299e-05
feature_122,5.261626632602212e-05
feature_59,5.6839414286269375e-05
feature_20,5.7017902382594524e-05
feature_114,6.080247276605277e-05
feature_79,6.228988945105041e-05
feature_73,6.237877859058827e-05
feature_38,6.248948044584868e-05
feature_57,6.566829299472498e-05
feature_68,6.67658626184453e-05
feature_86,6.910698559732253e-05
feature_5,7.67774650183961e-05
feature_50,7.802703799995037e-05
feature_70,8.204177457931117e-05
feature_66,8.280680303767163e-05
feature_78,8.377144556308558e-05
feature_46,8.915736783492445e-05
feature_16,9.082622391749506e-05
feature_96,9.351046961658671e-05
feature_24,9.991434726039917e-05
feature_53,0.00011185352709304208
feature_26,0.00011331851955378446
feature_6,0.00012055952851326434
feature_45,0.00012119939859771556
feature_13,0.00012227050438418097
feature_29,0.00012245797300549643
feature_62,0.0001289458662107501
feature_84,0.00012998878963694783
feature_51,0.0001314061775629538
feature_103,0.00013674570499293547
feature_107,0.00013896671733966138
feature_3,0.0001407736650549607
feature_48,0.00014137512798253482
feature_8,0.00014370676670920622
feature_35,0.00015339816500066218
feature_41,0.00015570265385593806
feature_40,0.00016833227278756357
feature_21,0.0001807985090257036
feature_111,0.00018492765430977443
feature_37,0.00018498391276202674
feature_32,0.00021375208054632555
feature_93,0.00021678073748561123
feature_33,0.00022233327227849653
feature_67,0.00023352976314008344
feature_72,0.00024467297121151256
feature_120,0.0002568406018305769
feature_7,0.0002859059650087259
feature_23,0.0003275003406842947
feature_121,0.000517349700709735
feature_42,0.0005372209655873705
feature_39,0.0006027194523689384
feature_113,0.0013135970408731045
