feature,mean_importance
feature_83,-0.0005098830710053903
feature_170,-0.0004270855379376881
feature_54,-0.0003486703303312577
feature_19,-0.0002927508964496228
feature_183,-0.00027839654376029534
feature_144,-0.00026597079522969744
feature_40,-0.00021667244839467247
feature_51,-0.00020648772742579702
feature_70,-0.00019584160660652828
feature_31,-0.00018297606622830198
feature_194,-0.00017908819880714245
feature_121,-0.0001765185274337444
feature_174,-0.00016738962297166982
feature_74,-0.00016567707437611378
feature_128,-0.0001492124277352014
feature_15,-0.0001470931201739356
feature_116,-0.00014479688297208693
feature_69,-0.00013393851810210576
feature_9,-0.00012886941085383797
feature_143,-0.00012820989193755848
feature_48,-0.00012811820340257184
feature_64,-0.0001232910266835141
feature_145,-0.00012217342634295302
feature_24,-0.00011764736495307737
feature_198,-0.0001142518770677281
feature_21,-0.00011388732566601778
feature_178,-0.00010733416372994408
feature_60,-0.00010482650297689577
feature_36,-0.00010197565843812484
feature_118,-0.00010018582034718727
feature_85,-9.51162595504984e-05
feature_162,-9.20795497323157e-05
feature_75,-9.058267620216664e-05
feature_186,-9.021715640884498e-05
feature_135,-8.235700937162527e-05
feature_112,-8.119972137441423e-05
feature_25,-7.852598068376348e-05
feature_180,-7.63181732769569e-05
feature_29,-7.4657383144916e-05
feature_38,-7.329988563880008e-05
feature_126,-7.162010256909213e-05
feature_17,-7.120310239436823e-05
feature_62,-6.868029237134809e-05
feature_119,-6.834128306731913e-05
feature_102,-6.636349224407035e-05
feature_164,-6.55795442519036e-05
feature_45,-6.51062758561416e-05
feature_141,-5.895390964527625e-05
feature_127,-5.60427851133305e-05
feature_107,-5.09266745906567e-05
feature_106,-4.770149883430719e-05
feature_1,-4.599729642253969e-05
feature_130,-4.438471805341404e-05
feature_138,-3.848572213862589e-05
feature_154,-3.712187924742594e-05
feature_89,-3.702824550670947e-05
feature_67,-3.481405944794069e-05
feature_57,-3.1486843590755596e-05
feature_16,-2.765017124188862e-05
feature_13,-2.6696119223035276e-05
feature_108,-2.604159544143947e-05
feature_139,-2.53369104275869e-05
feature_188,-2.0706408676551823e-05
feature_73,-2.0690293582958928e-05
feature_140,-1.886157594634952e-05
feature_98,-1.7596315433898723e-05
feature_117,-1.7365496437471427e-05
feature_168,-1.600750352250824e-05
feature_103,-1.585762309435079e-05
feature_77,-1.390097178126659e-05
feature_156,-1.204000006183037e-05
feature_187,-1.0620181537812635e-05
feature_96,-9.913587752397035e-06
feature_82,-8.71191679001626e-06
feature_104,-8.027152694389806e-06
feature_23,-7.603848422887971e-06
feature_133,-4.099559796677532e-06
feature_76,-3.4316632962827497e-06
feature_173,-2.042613424069195e-06
feature_93,0.0
feature_185,0.0
feature_52,0.0
feature_59,0.0
feature_190,0.0
feature_20,0.0
feature_32,0.0
feature_2,0.0
feature_7,0.0
feature_95,1.2086386152132534e-06
feature_5,2.4869206631139564e-06
feature_166,2.8093449159216632e-06
feature_152,7.490934252096793e-06
feature_184,7.55587487020204e-06
feature_137,1.3225811599326676e-05
feature_90,1.495750471141033e-05
feature_27,1.4997560361029727e-05
feature_155,1.5253692050376521e-05
feature_33,1.5270719296478497e-05
feature_8,1.529738785042145e-05
feature_37,1.6950405666871228e-05
