feature,shap_importance
feature_341,0.13111131
feature_446,0.1020203
feature_45,0.099836044
feature_86,0.086677946
feature_36,0.07666693
feature_212,0.07458977
feature_431,0.071255304
feature_442,0.07074075
feature_93,0.05874891
feature_430,0.057509016
feature_38,0.05278583
feature_343,0.05273138
feature_37,0.04386161
feature_73,0.038574237
feature_57,0.03712102
feature_350,0.035674635
feature_192,0.03488562
feature_61,0.03378346
feature_91,0.031563576
feature_354,0.031281132
feature_182,0.030629976
feature_67,0.030269992
feature_355,0.029951658
feature_108,0.029182963
feature_348,0.028827626
feature_140,0.028609855
feature_83,0.027701486
feature_16,0.027661433
feature_295,0.027653808
feature_60,0.027042655
feature_421,0.02698986
feature_397,0.026800651
feature_256,0.026439471
feature_155,0.025859974
feature_251,0.025670683
feature_433,0.025477434
feature_294,0.025288507
feature_210,0.025128089
feature_426,0.025082998
feature_238,0.023955336
feature_170,0.023938043
feature_346,0.02377256
feature_198,0.02336951
feature_405,0.02330863
feature_11,0.022689018
feature_204,0.021772198
feature_66,0.021447655
feature_114,0.02142543
feature_269,0.02139749
feature_440,0.021112878
feature_82,0.020289684
feature_49,0.020090885
feature_290,0.019774092
feature_316,0.019534405
feature_266,0.019388927
feature_282,0.018590722
feature_41,0.018476583
feature_159,0.018451132
feature_163,0.018112766
feature_154,0.017913407
feature_28,0.017870108
feature_142,0.017382327
feature_68,0.0172722
feature_85,0.017096436
feature_99,0.017024854
feature_417,0.016984584
feature_392,0.016879087
feature_434,0.016875798
feature_351,0.016605098
feature_34,0.016394166
feature_363,0.016352924
feature_191,0.016288701
feature_187,0.016268468
feature_261,0.016268365
feature_224,0.016260676
feature_368,0.016238242
feature_104,0.015570501
feature_317,0.01547137
feature_24,0.01539055
feature_213,0.015313662
feature_56,0.015196064
feature_245,0.015095263
feature_21,0.014981166
feature_425,0.014745213
feature_81,0.014739612
feature_31,0.0147167975
feature_288,0.014464809
feature_312,0.0144575
feature_119,0.0143517945
feature_407,0.014326119
feature_40,0.01418253
feature_217,0.014136735
feature_72,0.014105117
feature_15,0.013913791
feature_175,0.013899112
feature_39,0.0137516055
feature_101,0.013706363
feature_113,0.013683363
feature_319,0.013544283
feature_183,0.013534643
feature_318,0.013372568
feature_313,0.0133267725
feature_404,0.013135422
feature_254,0.013067096
feature_202,0.01300097
feature_2,0.012973571
feature_375,0.0128413495
feature_263,0.012703896
feature_243,0.012675898
feature_330,0.012670946
feature_278,0.012537176
feature_232,0.012482244
feature_127,0.012202274
feature_206,0.0120006045
feature_311,0.011931718
feature_152,0.011928465
feature_164,0.011536405
feature_211,0.011503625
feature_396,0.01148065
feature_242,0.011418267
feature_98,0.01137659
feature_436,0.011326756
feature_117,0.011299361
feature_226,0.011259235
feature_247,0.011186644
feature_389,0.011109296
feature_214,0.010907529
feature_7,0.010871848
feature_340,0.010721791
feature_216,0.010642875
feature_137,0.010533331
feature_87,0.010526461
feature_333,0.010471454
feature_75,0.010370936
feature_88,0.010340375
feature_209,0.010331424
feature_332,0.010303347
feature_30,0.010265991
feature_338,0.010201526
feature_35,0.010191132
feature_201,0.010115275
feature_365,0.010114275
feature_162,0.010080239
feature_411,0.010019718
feature_4,0.010016299
feature_352,0.009947261
feature_262,0.009849482
feature_309,0.009827114
feature_17,0.009646613
feature_134,0.0096185515
feature_438,0.009618403
feature_9,0.009522688
feature_22,0.009482577
feature_386,0.009481474
feature_331,0.009431795
feature_64,0.009399012
feature_267,0.009288778
feature_305,0.009273169
feature_249,0.009203506
feature_199,0.009092897
feature_264,0.0090774605
feature_18,0.009054496
feature_237,0.009018544
feature_52,0.00895539
feature_158,0.008907799
feature_302,0.008905582
feature_177,0.008763705
feature_227,0.00875267
feature_276,0.008746912
feature_252,0.008647797
