feature,mean_importance
feature_97,-0.0022222260937095006
feature_22,-0.002186298575997392
feature_32,-0.0019961899086833323
feature_200,-0.001984284043312123
feature_40,-0.0018509156093001965
feature_108,-0.0016719286561012402
feature_199,-0.0016166041061282499
feature_115,-0.001504163900017752
feature_94,-0.0014880440413951978
feature_123,-0.0013937601611018423
feature_170,-0.0013320430651307057
feature_49,-0.0013277916625141994
feature_113,-0.0012915145710110875
feature_171,-0.0010947101771831668
feature_3,-0.0010909689307212922
feature_48,-0.0010565889209509071
feature_110,-0.0010413604319095882
feature_144,-0.0010227373406291429
feature_43,-0.0010047742605209908
feature_191,-0.0009999380454421391
feature_103,-0.000995784747600581
feature_168,-0.0009925969555974134
feature_1,-0.000963424456119566
feature_87,-0.0009478090673685546
feature_99,-0.0009426059067249471
feature_187,-0.0009316251218319139
feature_137,-0.000916028417646908
feature_54,-0.0009077353477478401
feature_169,-0.0009012623801827769
feature_109,-0.0008977619126439463
feature_61,-0.0008888171970844461
feature_163,-0.0008860715478659076
feature_180,-0.000838683210313329
feature_98,-0.0008166234761476599
feature_35,-0.0007766665101051507
feature_79,-0.000754456093907363
feature_179,-0.0007048473387956556
feature_196,-0.0006779782250523781
feature_25,-0.0006655948296189429
feature_75,-0.0005842151090502901
feature_150,-0.0005827190965414175
feature_107,-0.0005427289456129581
feature_83,-0.0005296900779008906
feature_151,-0.0005067705556750512
feature_58,-0.00048323417007927193
feature_31,-0.0004663557723164624
feature_185,-0.0004376639544964034
feature_6,-0.0004062455713748969
feature_69,-0.0003973081246018806
feature_57,-0.00038600132018329347
feature_44,-0.0003684085220098776
feature_13,-0.00034316842556001423
feature_122,-0.0003110995501280023
feature_14,-0.0003087569147348868
feature_195,-0.00025665185898546825
feature_183,-0.0002556419625878492
feature_126,-0.00023590719997887977
feature_86,-0.00023274361938239175
feature_16,-0.00022040450870994822
feature_147,-0.0002095614448189842
feature_130,-0.00020878156423569382
feature_72,-0.00019570297002795555
feature_190,-0.00016031995713712278
feature_95,-0.00013909378200771538
feature_177,-0.0001228467300534275
feature_192,-0.00010680553764106371
feature_162,-0.00010257973670959596
feature_70,-8.950237929823412e-05
feature_139,-8.380186706784532e-05
feature_92,-7.183482646944128e-05
feature_51,-6.882499158384902e-05
feature_18,-4.811919480565141e-05
feature_143,-4.566178321840919e-05
feature_68,-4.018812328578925e-05
feature_77,5.3814619779490865e-06
feature_182,2.5506362318972187e-05
feature_89,2.840641289947321e-05
feature_38,2.9022426903191346e-05
feature_27,3.1516776978945946e-05
feature_141,5.398467630144399e-05
feature_155,7.402731329200218e-05
feature_21,7.449498027563006e-05
feature_55,8.127879202366462e-05
feature_42,9.495159238575024e-05
