feature,mean_importance
feature_129,-0.0024329320915131626
feature_36,-0.0014623917586960911
feature_14,-0.0012542262943743942
feature_84,-0.001130559822467836
feature_68,-0.0011305575802142086
feature_163,-0.0011055256254221657
feature_2,-0.0010532040608767002
feature_191,-0.000984142313302172
feature_132,-0.0009102009017090351
feature_128,-0.0008491429709335918
feature_61,-0.0008125280634301735
feature_41,-0.0007407320336072276
feature_28,-0.0007257516922936303
feature_195,-0.0006360061425386033
feature_23,-0.0006244701808280073
feature_122,-0.0006160808519535266
feature_150,-0.0006130829964502204
feature_43,-0.0005670300019138041
feature_126,-0.0005360915748288785
feature_165,-0.0005286689258993116
feature_58,-0.0005233053255738085
feature_135,-0.000505603287656009
feature_62,-0.00047987836254881344
feature_67,-0.0004673445320762859
feature_127,-0.00046452368545013556
feature_189,-0.0004619714976299427
feature_75,-0.0004378943374312216
feature_176,-0.0004225263408686564
feature_38,-0.0004039481618237195
feature_65,-0.00038794607217964574
feature_11,-0.0003870435321123855
feature_85,-0.0003688628580148068
feature_16,-0.00034660933548071873
feature_102,-0.0003445403644928735
feature_100,-0.00033784147325250925
feature_17,-0.0003268938543325772
feature_26,-0.00032263238445486844
feature_138,-0.0003189113369911789
feature_86,-0.0003168075116857461
feature_22,-0.00029690885959610114
feature_5,-0.0002721184982356073
feature_175,-0.00026496374626323594
feature_144,-0.0002608153207038333
feature_146,-0.0002592654693539975
feature_48,-0.00025214295143782817
feature_3,-0.0002475647918469548
feature_18,-0.00024692038216804767
feature_59,-0.00023591207330917464
feature_174,-0.0002322646942864548
feature_147,-0.00021526319665072792
feature_55,-0.00021356487354573517
feature_74,-0.00020057853652206693
feature_9,-0.00020052722433197
feature_70,-0.00018092441578831941
feature_64,-0.00017710539266864168
feature_196,-0.00017110283861632158
feature_7,-0.00015892577482674587
feature_162,-0.00015488983921601028
feature_71,-0.00015407906051481123
feature_98,-0.00012436758629064126
feature_120,-0.00011786700603879651
feature_112,-0.00011550593676090681
feature_96,-7.00429258501556e-05
feature_93,-6.689929072289935e-05
feature_92,-6.426549066143039e-05
feature_54,-3.315201402260825e-05
feature_89,-3.0333948665139943e-05
feature_77,-2.711495479488235e-05
feature_199,-2.333425413718615e-05
feature_157,-2.3324915518574406e-05
feature_117,-3.0031411242248395e-07
feature_171,1.2595087825584272e-05
feature_124,3.957982526794357e-05
feature_114,4.19667146060343e-05
feature_155,5.384735539581964e-05
feature_1,8.313402753694632e-05
feature_21,9.20882837736503e-05
feature_140,0.0001233199988036837
feature_152,0.00012719201697739547
feature_83,0.000133983799717563
feature_193,0.00014847946844429583
feature_153,0.00017082744083685153
feature_118,0.00017812221984454536
feature_31,0.000180047853815668
feature_60,0.0001814706355570017
feature_123,0.00018233400800449218
feature_158,0.00018667443306688014
feature_182,0.00018688239744790724
feature_76,0.0001944228748766097
feature_56,0.0001977839391194669
feature_47,0.0002020711886714155
feature_82,0.00020608179168262185
feature_198,0.00021974997108353822
feature_8,0.00022210808525096047
feature_95,0.0002281325748064722
feature_125,0.00023263376999986817
feature_57,0.00023351945591427726
feature_160,0.0002373408265912591
feature_115,0.00023975585673718935
feature_145,0.0002534614200774943
feature_6,0.00026066931372070723
feature_13,0.00026288915330354714
feature_10,0.0002684825262571078
feature_20,0.0002757640347651469
feature_173,0.00027854740891908314
feature_91,0.0002839712206433864
feature_164,0.0002841145384282928
feature_143,0.00032162755083462444
feature_139,0.0003392312813507381
feature_181,0.00034647128139797534
feature_109,0.00035370173553357366
feature_141,0.0003609328317898175
feature_137,0.00036879495619299705
feature_108,0.0003731845192503691
feature_148,0.00038802872300938154
feature_169,0.0004037653120865459
feature_156,0.00041251842705050115
feature_44,0.0004156881904149756
feature_179,0.000416027432208077
feature_183,0.0004478435996285057
feature_172,0.00045201615750305456
feature_133,0.0004580527050238148
feature_66,0.00048177864514893366
feature_30,0.0004991000763548525
feature_97,0.0004997568193748414
feature_72,0.0005017875455377574
feature_63,0.0005105331833334725
feature_170,0.0005251202071599792
feature_110,0.0005335626565409646
feature_99,0.0005340070519111118
feature_25,0.0005415693520714581
feature_111,0.0005467229425745401
feature_46,0.0005488875066383514
feature_51,0.0005631403528147061
feature_39,0.0005711215687847826
feature_194,0.0005757811346089881
feature_166,0.000590735839867329
feature_177,0.0005919210052121703
feature_142,0.0006099394353700882
feature_104,0.0006129105959676417
feature_200,0.0006212774427277745
feature_88,0.00063671634063871
feature_159,0.0006390245213096612
feature_106,0.0006470098267282731
feature_130,0.0006980091865769645
feature_42,0.0007010357121254307
feature_81,0.0007466845578011138
feature_53,0.0007516541687065725
feature_149,0.0007538757485439973
feature_188,0.0007874650799360117
feature_37,0.0008034422002537678
feature_105,0.0008194216026359058
feature_178,0.0008448273238688353
feature_35,0.0008454264188872517
feature_12,0.0008597840948768365
feature_131,0.0008733350878745938
feature_167,0.0008749227656976944
feature_103,0.0008780978355259483
feature_27,0.0009000229772244906
feature_52,0.0009058881548319242
feature_45,0.0009344362717578214
feature_50,0.000936208340409328
feature_168,0.0009615628641835627
feature_34,0.0009618032785227327
feature_184,0.0009653915111942802
feature_185,0.000967171579478987
feature_101,0.0009903139308962583
feature_69,0.0009912246250162848
feature_94,0.0010478961132774022
feature_187,0.0010483289755123914
feature_87,0.0010659957964489486
feature_90,0.0010709582644433224
feature_151,0.0010812207671543784
feature_192,0.001098718531565468
feature_121,0.0011109779605254833
feature_119,0.0011228113730057609
feature_190,0.0011470342903946884
feature_79,0.0011892329302850113
feature_161,0.0011987342984291383
feature_29,0.001206062028100141
feature_15,0.001206959171816857
feature_186,0.0012217208423822789
feature_180,0.0012447856503397415
feature_154,0.0012462408666254366
feature_32,0.0012737899706956712
feature_4,0.0013089982736049332
feature_40,0.0013454786453082513
feature_24,0.0013793254545169998
feature_134,0.0013854148046290149
feature_113,0.0014066433954924794
feature_136,0.001501168369517325
feature_49,0.0015095445458821466
feature_116,0.0015499518764369835
feature_197,0.0015521523097399737
feature_33,0.0016280805378271258
