feature,mean_importance
feature_22,-0.04230238241865671
feature_124,-0.028788702417963698
feature_88,-0.028129356608579403
feature_72,-0.027778872624080186
feature_195,-0.026737516202145706
feature_196,-0.02638653022031443
feature_45,-0.026052076748319886
feature_34,-0.02501699777162103
feature_51,-0.024181735251340708
feature_33,-0.023805696858448487
feature_137,-0.023150775065705044
feature_14,-0.019213137336347108
feature_29,-0.0187149788887222
feature_54,-0.01799158958307876
feature_65,-0.017738089355670627
feature_90,-0.016126925448197316
feature_13,-0.015672547728397258
feature_170,-0.015540791256175268
feature_109,-0.014733393522092663
feature_173,-0.014151816526020688
feature_23,-0.013969867278814396
feature_161,-0.013790683209242306
feature_58,-0.013531894424087376
feature_142,-0.012390127602251466
feature_154,-0.012020837203532642
feature_69,-0.011894222161232504
feature_94,-0.01167188039130922
feature_115,-0.011450156720214988
feature_19,-0.011247952069350742
feature_95,-0.011245683419947916
feature_160,-0.010698900235469645
feature_149,-0.010469167064926621
feature_187,-0.010441442623237363
feature_176,-0.010255018859265252
feature_44,-0.00987223880644299
feature_37,-0.009620309423317642
feature_78,-0.009446736206399197
feature_82,-0.009424747022511415
feature_114,-0.008993726149988435
feature_172,-0.00854357275039419
feature_56,-0.008366704180282892
feature_10,-0.008315920478306805
feature_48,-0.007978016684309353
feature_122,-0.007912976124625803
feature_40,-0.007642378229906566
feature_157,-0.007432484941237938
feature_85,-0.007377069132980196
feature_146,-0.007282001911046177
feature_4,-0.007203872577275616
feature_167,-0.007122789412630848
feature_53,-0.0070731967725012005
feature_200,-0.00698072382220385
feature_91,-0.006700326009332791
feature_108,-0.006582835123169284
feature_118,-0.006373705411871456
feature_1,-0.006181872525228327
feature_17,-0.006128582744043864
feature_126,-0.006096009904696409
feature_31,-0.006073523308726081
feature_38,-0.006006744075332327
feature_175,-0.006004736852687343
feature_41,-0.005647195609807998
feature_155,-0.005419318911710347
feature_26,-0.005335160362108837
feature_153,-0.005303659158592921
feature_117,-0.004959510954641288
feature_148,-0.004884957517742583
feature_192,-0.004830768462051394
feature_15,-0.00467490910410664
feature_35,-0.004612390605023364
feature_99,-0.004592783441367177
feature_165,-0.0044400268976130695
feature_106,-0.004249713878248329
feature_171,-0.00422710565904163
feature_43,-0.003931299633350482
feature_47,-0.003922742939218349
feature_5,-0.003758521047311181
feature_59,-0.0033440101996108583
feature_179,-0.0032904212540423305
feature_150,-0.0032600793130957762
feature_127,-0.0032073548856726307
feature_84,-0.0030305392774029106
feature_188,-0.002866682569849388
feature_120,-0.002594656011813523
feature_32,-0.0024257441489663025
feature_16,-0.002122929110767968
feature_21,-0.002034214961803782
feature_55,-0.0018710449357485005
feature_24,-0.0016007816099453454
feature_162,-0.001094849571543355
feature_20,-0.0010159622455027328
feature_138,-0.00031595695042629934
feature_129,-0.0002890802174634999
feature_113,-6.802154167795393e-05
feature_7,0.0003879904421933755
feature_189,0.00044991824653006773
feature_62,0.0005113388939026464
feature_168,0.0010244903121208627
feature_197,0.0012770317171374667
feature_100,0.001724885949435606
feature_87,0.0019444527704248315
feature_158,0.0021338757338906335
feature_60,0.0023470939881350184
feature_107,0.00282316915464107
feature_199,0.003165527981116201
feature_2,0.003457984223336297
feature_139,0.0034798297899071074
feature_42,0.003748494802960245
feature_164,0.0037814038096106286
feature_104,0.0040371970359831975
feature_80,0.004131683321604252
feature_79,0.004179528390989206
feature_12,0.0043090649146602985
feature_27,0.00437991277722607
feature_49,0.004498938931977392
feature_141,0.004564325791624224
feature_105,0.004594231964431472
feature_121,0.005153869232196273
feature_36,0.005508887590237821
feature_151,0.005540064745698903
feature_11,0.005941091469209114
feature_111,0.005975853847517731
feature_166,0.006026370632277711
feature_96,0.0061792824712048056
feature_194,0.006385644337009033
feature_190,0.00646571947389929
feature_76,0.006606824566821779
feature_73,0.0066435645751335756
feature_75,0.00677097030788878
feature_147,0.0068833762152483045
feature_98,0.0070732678305645
feature_156,0.007110243782614356
feature_9,0.007674834496489691
feature_101,0.007735909360994153
feature_66,0.007765357384790983
feature_57,0.007785826827625542
feature_8,0.007953116741097244
feature_30,0.008000131614050022
feature_181,0.008057883409344147
feature_71,0.008520222214852246
feature_128,0.009184007532745887
feature_83,0.009252267747126286
feature_191,0.009270116132179585
feature_174,0.009270936650708394
feature_145,0.00930456503302488
feature_67,0.009346340775877194
feature_68,0.009557530731867426
feature_163,0.009739206019883317
feature_185,0.00978022392744462
feature_183,0.009798062527055285
feature_46,0.010179802187572617
feature_110,0.010553827805689942
feature_50,0.010560095318024399
feature_93,0.010584941345604549
feature_136,0.010759180321837291
feature_134,0.010816157658764558
feature_193,0.010941904285250059
feature_61,0.011197791299746651
feature_132,0.011214915615750743
feature_92,0.011231310529235827
feature_39,0.011501529944022293
feature_159,0.01177728546668506
feature_125,0.012015860284079593
feature_130,0.012175141709923532
feature_131,0.01223555161256149
feature_135,0.012262073405598395
feature_152,0.012269140264291245
feature_119,0.01229138970756929
feature_144,0.012860401946720845
feature_169,0.01321989429597159
feature_143,0.013574536498161649
feature_140,0.013883759087159664
feature_18,0.014612324169323409
feature_63,0.015148774979914492
feature_70,0.015266372989019006
feature_133,0.015312144202723888
feature_178,0.01542114443334235
feature_77,0.015868102305253685
feature_89,0.01631755289815029
feature_52,0.016927404062301754
feature_81,0.016929331408898164
feature_184,0.017174182165450524
feature_64,0.017222607762346652
feature_3,0.018033161280750498
feature_86,0.01851421852468409
feature_6,0.018562830391216024
feature_198,0.01870211291088948
feature_112,0.018743125847771536
feature_97,0.01967623941364356
feature_102,0.01998454556449536
feature_103,0.02053872972580768
feature_25,0.021244138004257663
feature_74,0.02291792295048505
feature_180,0.022938509849500122
feature_28,0.024964902692837444
feature_182,0.026426068547755577
feature_186,0.027417909978269116
feature_123,0.027896422198264582
feature_116,0.03234635862386557
feature_177,0.03505080325842611
