feature,mean_importance
feature_170,-0.0002314124694484443
feature_56,-0.00015752666298991526
feature_120,-0.00015587184524059605
feature_43,-0.00015054208316975793
feature_60,-0.00013830423649630053
feature_134,-0.000134281883485321
feature_100,-0.00012160779268046706
feature_98,-0.00011075799186255342
feature_79,-0.00010420403027757707
feature_109,-9.051206707706427e-05
feature_125,-9.040520979068934e-05
feature_34,-8.986774888053439e-05
feature_198,-8.860340408924915e-05
feature_111,-8.824912391653949e-05
feature_33,-8.795845136864156e-05
feature_177,-8.74034906418908e-05
feature_11,-7.154341371478079e-05
feature_130,-6.972237196880559e-05
feature_143,-6.764444143803061e-05
feature_75,-6.606774638244773e-05
feature_127,-6.461220506999154e-05
feature_85,-6.172055310680325e-05
feature_153,-5.968669970484175e-05
feature_76,-5.6662740343060844e-05
feature_165,-5.533046281731568e-05
feature_191,-5.5013975167805816e-05
feature_35,-5.1301695106720226e-05
feature_188,-4.9953824123316615e-05
feature_13,-4.7790097460653766e-05
feature_164,-4.735030539522178e-05
feature_123,-4.567572616747118e-05
feature_106,-4.306969401484118e-05
feature_42,-4.234099440216799e-05
feature_69,-4.1933131051496986e-05
feature_50,-4.1303537839976204e-05
feature_83,-4.039778249695924e-05
feature_36,-3.928498971559335e-05
feature_48,-3.904672623087357e-05
feature_152,-3.882589583537044e-05
feature_82,-3.639470340990325e-05
feature_200,-3.496649876273405e-05
feature_70,-3.284002553960441e-05
feature_45,-3.1417052251025976e-05
feature_160,-3.015123120160279e-05
feature_126,-2.986939766038699e-05
feature_18,-2.9681124579417074e-05
feature_14,-2.9187929708274217e-05
feature_32,-2.811672877316429e-05
feature_99,-2.7247379523509528e-05
feature_186,-2.6474951566690662e-05
feature_96,-2.5642770025591233e-05
feature_121,-2.5599528095243686e-05
feature_117,-2.5464429423394107e-05
feature_199,-2.5372441437920835e-05
feature_27,-2.5320263397943242e-05
feature_73,-2.4608041142459847e-05
feature_148,-2.4485194580226023e-05
feature_25,-2.4010433143462072e-05
feature_108,-2.33346218987851e-05
feature_29,-2.2261309489324253e-05
feature_118,-2.1050603594718888e-05
feature_55,-2.077556150699156e-05
feature_23,-1.709875460818022e-05
feature_147,-1.6600522932552763e-05
feature_169,-1.6422609055921632e-05
feature_110,-1.6325883511125738e-05
feature_154,-1.6293244039200518e-05
feature_62,-1.5742453279776746e-05
feature_161,-1.55505829370961e-05
feature_3,-1.516208536689323e-05
feature_171,-1.3766015734062443e-05
feature_46,-1.3253406302404791e-05
feature_174,-1.140232477438996e-05
feature_185,-1.0776094466780073e-05
feature_132,-1.0042472968452287e-05
feature_163,-9.993691327103705e-06
feature_107,-9.976194265925997e-06
feature_6,-9.860857813959178e-06
feature_139,-9.29001088612047e-06
feature_181,-7.974651206921202e-06
feature_162,-6.996305824968907e-06
feature_196,-6.380722416476914e-06
feature_142,-6.150308276642314e-06
feature_136,-5.5457902046418536e-06
feature_102,-3.406853555576461e-06
feature_91,-3.2564825926284515e-06
feature_175,-2.820324165941912e-06
feature_168,-1.3873185483292972e-06
feature_8,-6.738459048971634e-07
feature_71,0.0
feature_38,0.0
feature_167,5.937438005476636e-07
feature_101,1.0495793565601375e-06
feature_119,1.0907659046655028e-06
feature_166,1.8507716676330332e-06
feature_180,1.998650362611265e-06
feature_19,2.5491652026143897e-06
feature_78,2.8095958094498386e-06
feature_7,3.0207679013960488e-06
feature_113,3.029475725502273e-06
