feature,mean_importance
feature_149,-0.0013968854958918754
feature_33,-0.0005475935625212314
feature_140,-0.00040838030719023697
feature_125,-0.00034318946810110165
feature_14,-0.000266772297385276
feature_111,-0.0002505272938814196
feature_183,-0.00020333203081679407
feature_113,-0.00019943019529369276
feature_184,-0.00015576166971700278
feature_76,-0.0001538565095179578
feature_24,-0.0001255323004178299
feature_97,-0.00011696048649751933
feature_34,-0.00011291122181256164
feature_91,-0.00010873773115378515
feature_21,-0.00010538672854045749
feature_22,-8.748276052450432e-05
feature_48,-8.451465844272477e-05
feature_49,-8.238965044649049e-05
feature_88,-7.448133556480219e-05
feature_25,-6.974501621259677e-05
feature_153,-6.252668310873233e-05
feature_116,-6.220585213407847e-05
feature_170,-5.972031521088717e-05
feature_164,-5.477750469531362e-05
feature_74,-4.603699254261962e-05
feature_169,-4.5777172776007015e-05
feature_194,-4.439040372288261e-05
feature_133,-3.9452337140555295e-05
feature_58,-3.8150156374960885e-05
feature_81,-2.884752987570849e-05
feature_8,-2.7589240033232267e-05
feature_198,-2.75877003709013e-05
feature_157,-2.2500704070371745e-05
feature_99,-1.090453123389068e-05
feature_192,0.0
feature_124,0.0
feature_182,0.0
feature_128,0.0
feature_130,0.0
feature_131,0.0
feature_132,0.0
feature_126,0.0
feature_127,0.0
feature_118,0.0
feature_120,0.0
feature_193,0.0
feature_135,0.0
feature_117,0.0
feature_115,0.0
feature_112,0.0
feature_195,0.0
feature_110,0.0
feature_107,0.0
feature_106,0.0
feature_105,0.0
feature_104,0.0
feature_102,0.0
feature_101,0.0
feature_121,0.0
feature_137,0.0
feature_141,0.0
feature_139,0.0
feature_189,0.0
feature_171,0.0
feature_172,0.0
feature_173,0.0
feature_174,0.0
feature_175,0.0
feature_190,0.0
feature_177,0.0
feature_188,0.0
feature_179,0.0
feature_187,0.0
feature_186,0.0
feature_180,0.0
feature_181,0.0
feature_178,0.0
feature_138,0.0
feature_168,0.0
feature_166,0.0
feature_191,0.0
feature_185,0.0
feature_142,0.0
feature_145,0.0
feature_146,0.0
feature_147,0.0
feature_167,0.0
feature_150,0.0
feature_98,0.0
feature_154,0.0
feature_158,0.0
feature_159,0.0
feature_163,0.0
feature_165,0.0
feature_152,0.0
feature_1,0.0
feature_200,0.0
feature_52,0.0
feature_15,0.0
feature_67,0.0
feature_41,0.0
feature_65,0.0
feature_64,0.0
feature_17,0.0
feature_63,0.0
feature_62,0.0
feature_18,0.0
feature_23,0.0
feature_59,0.0
feature_57,0.0
feature_68,0.0
feature_26,0.0
feature_53,0.0
feature_96,0.0
feature_51,0.0
feature_29,0.0
feature_30,0.0
feature_46,0.0
feature_45,0.0
feature_32,0.0
feature_35,0.0
feature_36,0.0
feature_37,0.0
feature_42,0.0
feature_27,0.0
feature_69,0.0
feature_16,0.0
feature_71,0.0
feature_94,0.0
feature_92,0.0
feature_90,0.0
feature_89,0.0
feature_87,0.0
feature_5,0.0
feature_6,0.0
feature_85,0.0
feature_70,0.0
feature_7,0.0
feature_40,0.0
feature_13,0.0
feature_79,0.0
feature_12,0.0
feature_77,0.0
feature_10,0.0
feature_80,0.0
feature_75,0.0
feature_55,2.178362312776905e-06
feature_9,1.1935310355659646e-05
feature_11,1.5449557137037216e-05
feature_156,1.5623768366967995e-05
feature_199,2.439949234436245e-05
feature_78,3.04654599945442e-05
feature_114,3.063380141425931e-05
feature_196,3.1612797915658854e-05
feature_136,3.327203176839433e-05
feature_155,4.1818634467682966e-05
feature_2,4.707540556256884e-05
feature_31,4.7941563379416686e-05
feature_143,4.80465719586709e-05
feature_122,5.5582368173956455e-05
feature_28,5.5635625260408436e-05
feature_54,5.796638996047321e-05
feature_197,5.854941898602029e-05
feature_82,5.8578832111999545e-05
feature_176,6.111733300784294e-05
feature_95,6.160541633717375e-05
feature_38,6.621862165780978e-05
feature_151,7.217718553298447e-05
feature_56,7.282493490874397e-05
feature_47,7.709654039587122e-05
feature_4,7.826112813396069e-05
feature_123,8.253362112984331e-05
feature_108,9.10892662784768e-05
feature_66,9.44285540643408e-05
feature_103,0.00010081290445991264
feature_20,0.00010690981229162233
feature_109,0.00010741217067766762
feature_3,0.00012647517181494373
feature_148,0.0001320991094866164
feature_100,0.00013348544954105979
feature_119,0.00013385473289264648
feature_93,0.0001575960349856853
feature_61,0.00017250962894370668
feature_160,0.00018674344211566662
feature_161,0.00019331613850328555
feature_73,0.00019912415730949373
feature_44,0.0002021967222033849
feature_39,0.0002277038710782442
feature_19,0.00023540462376867577
feature_162,0.0002879287622170823
feature_72,0.00029150567371427627
feature_50,0.00029583323669493124
feature_144,0.0003041363614790127
feature_134,0.00034119588181649176
feature_43,0.0003954154446321301
feature_86,0.0004074164806715519
feature_83,0.0004720339004859797
feature_84,0.0004942842920683477
feature_129,0.0005682115708982138
feature_60,0.000932027883261699
