feature,shap_importance
feature_21,0.020558000648934954
feature_71,0.013702942410423094
feature_30,0.009330591580657875
feature_79,0.0063066540497188385
feature_52,0.005921806041886727
feature_23,0.004502353354852239
feature_62,0.00288313181779533
feature_46,0.0
feature_60,0.0
feature_45,0.0
feature_59,0.0
feature_58,0.0
feature_57,0.0
feature_56,0.0
feature_48,0.0
feature_49,0.0
feature_54,0.0
feature_53,0.0
feature_61,0.0
feature_47,0.0
feature_51,0.0
feature_50,0.0
feature_55,0.0
feature_1,0.0
feature_43,0.0
feature_63,0.0
feature_80,0.0
feature_78,0.0
feature_77,0.0
feature_76,0.0
feature_75,0.0
feature_74,0.0
feature_73,0.0
feature_72,0.0
feature_70,0.0
feature_69,0.0
feature_68,0.0
feature_67,0.0
feature_66,0.0
feature_65,0.0
feature_64,0.0
feature_44,0.0
feature_41,0.0
feature_42,0.0
feature_11,0.0
feature_18,0.0
feature_17,0.0
feature_16,0.0
feature_15,0.0
feature_14,0.0
feature_13,0.0
feature_12,0.0
feature_10,0.0
feature_2,0.0
feature_9,0.0
feature_8,0.0
feature_7,0.0
feature_6,0.0
feature_5,0.0
feature_4,0.0
feature_3,0.0
feature_19,0.0
feature_20,0.0
feature_22,0.0
feature_24,0.0
feature_40,0.0
feature_39,0.0
feature_38,0.0
feature_37,0.0
feature_36,0.0
feature_35,0.0
feature_34,0.0
feature_33,0.0
feature_32,0.0
feature_31,0.0
feature_29,0.0
feature_28,0.0
feature_27,0.0
feature_26,0.0
feature_25,0.0
feature_81,0.0
