feature,mean_importance
feature_74,-0.00242484210729601
feature_54,-0.0013274296700954702
feature_30,-0.0012301937460899692
feature_21,-0.0012201377034187556
feature_13,-0.0007327975988387969
feature_6,-0.0006847839891910512
feature_66,-0.0005368034243583786
feature_40,-0.0004816838085651698
feature_67,-0.0004504788994789344
feature_23,-0.0004499972522258977
feature_25,-0.00041159132719039706
feature_4,-0.000378943431377432
feature_9,-0.0003551163077354591
feature_32,-0.0003291834890842615
feature_8,-0.00032452453970910344
feature_56,-0.00031275444030762765
feature_16,-0.00031225963830949777
feature_5,-0.0002718486189842384
feature_57,-0.00025385230779650936
feature_12,-0.00023892706632613336
feature_41,-0.0002242306172848041
feature_10,-0.00020395820140839405
feature_2,-0.00019808406829835423
feature_14,-0.0001803463757038104
feature_55,-0.0001779551625251896
feature_50,-0.00016623116731646627
feature_59,-0.00015639324784280095
feature_20,-0.00013075643181803542
feature_63,-0.00012340251803399926
feature_29,-9.341112375260696e-05
feature_46,-9.021013379100218e-05
feature_43,-5.700732469560155e-05
feature_19,-4.357060194017937e-05
feature_31,-4.077533483506368e-05
feature_36,-3.075710535054288e-05
feature_38,-3.075579404834272e-05
feature_42,-2.0662486553213456e-05
feature_53,0.0
feature_64,0.0
feature_65,0.0
feature_58,0.0
feature_60,0.0
feature_48,0.0
feature_75,0.0
feature_68,0.0
feature_81,0.0
feature_28,0.0
feature_33,0.0
feature_37,0.0
feature_39,1.0114759206758528e-05
feature_18,1.6699129343011877e-05
feature_52,2.0875471830339443e-05
feature_44,2.3222327232352847e-05
feature_34,3.0168116092665896e-05
feature_1,5.044434666630071e-05
feature_3,5.4449248313881426e-05
feature_45,7.994458079334521e-05
feature_27,8.199647068976023e-05
feature_51,9.847520589827408e-05
feature_73,0.00011242307424543795
feature_77,0.00016079751849169545
feature_7,0.00020472664237018988
feature_15,0.00020600088834759055
feature_47,0.00021631351709363588
feature_61,0.00022311612367627022
feature_24,0.000226593852043111
feature_69,0.00026737847328184294
feature_11,0.00030692907571792103
feature_22,0.00032431956529614946
feature_17,0.0003610714793204961
feature_35,0.00038354417085646465
feature_78,0.00040157604217527787
feature_80,0.00044232883453367846
feature_72,0.0004492517650127148
feature_49,0.0004771489560603692
feature_70,0.0004788230061530729
feature_76,0.0004939343094825688
feature_26,0.001099357080459562
feature_71,0.0014959624826907936
feature_79,0.0019940955996513355
feature_62,0.0027086885273456263
